year,seraient_VERB assez_ADV
1908,2.0382265120133525e-07
1909,1.9473482382181828e-07
1910,1.7796021722915611e-07
1911,1.505665920831234e-07
1912,2.229632229955314e-07
1913,1.5643819040178641e-07
1914,1.767940318586625e-07
1915,1.8024566372787376e-07
1916,2.010705486554798e-07
1917,2.2810162647601828e-07
1918,1.8722793981851282e-07
1919,1.9336481216214452e-07
1920,1.9839247045183583e-07
1921,1.8401776458176755e-07
1922,1.785460455039356e-07
1923,1.6136240788000578e-07
1924,1.5469949232738145e-07
1925,1.5287467647340236e-07
1926,1.415559580664194e-07
1927,1.6054883644756046e-07
1928,1.4054030827992392e-07
1929,1.5485164794881712e-07
1930,1.796116180230456e-07
1931,1.585344620025353e-07
1932,1.6439304317827919e-07
1933,1.307655423943288e-07
1934,1.3059921855074208e-07
1935,1.543908609846767e-07
1936,1.2245961045209697e-07
1937,1.8131210310912138e-07
1938,1.7762343418326054e-07
1939,1.5446991596945736e-07
1940,1.0143131845552489e-07
1941,1.2396310467011062e-07
1942,1.1833425617169269e-07
1943,1.0451646659248581e-07
1944,1.799384250489311e-07
1945,1.2199622290154366e-07
1946,1.559163678166442e-07
1947,1.4662671787846193e-07
1948,1.30462652236929e-07
1949,1.3351130689898127e-07
1950,1.254972659125997e-07
1951,1.6311945216784807e-07
1952,1.6449894246761687e-07
1953,1.551431125790259e-07
1954,1.485425542568919e-07
1955,1.1825866153003517e-07
1956,1.465151768798023e-07
1957,1.298750476053101e-07
1958,1.249108692036316e-07
1959,1.193615162264905e-07
1960,1.1973041580404242e-07
1961,1.2506686175584036e-07
1962,1.420598181312016e-07
1963,1.52598857994235e-07
1964,1.3871448345526005e-07
1965,1.4665076264464005e-07
1966,1.3293779943523987e-07
1967,1.291747935283638e-07
1968,1.4192873720730859e-07
1969,1.44882079666786e-07
1970,1.3014391697652172e-07
1971,1.1972466040788277e-07
1972,1.0927212912292816e-07
1973,1.1577728287193167e-07
1974,8.71963621307259e-08
1975,8.33876114825216e-08
1976,1.1084242146353063e-07
1977,8.932708084330443e-08
1978,1.045544095745754e-07
1979,9.831315139763319e-08
1980,1.0290122531841916e-07
1981,6.958104137311238e-08
1982,9.745778584147047e-08
1983,7.641532562274733e-08
1984,7.306750404723061e-08
1985,8.361625702946185e-08
1986,7.373217414397004e-08
1987,7.210763897091965e-08
1988,7.25583007010755e-08
1989,9.878620232939284e-08
1990,8.390922801027045e-08
1991,7.854363559545163e-08
1992,6.391535123384529e-08
1993,7.976458960001764e-08
1994,8.703629106321387e-08
1995,6.452716405647152e-08
1996,6.085424786306248e-08
1997,7.863626905191268e-08
1998,7.342919161601458e-08
1999,6.901003501980085e-08
2000,7.775735610948686e-08
2001,7.316623396036448e-08
2002,6.922329731651189e-08
2003,8.375515392344823e-08
2004,6.959569986975112e-08
2005,6.845699118684934e-08
2006,7.206307373053278e-08
2007,6.071608993352129e-08
2008,7.322796591324732e-08
2009,6.007922337403215e-08
2010,8.030448128693024e-08
2011,7.227306753065932e-08
2012,7.931908641012342e-08
2013,9.036764936354302e-08
2014,9.268105571891283e-08
2015,8.799804618320195e-08
2016,1.0915962178614791e-07
2017,7.999643969469616e-08
2018,8.828616415712531e-08
2019,7.933572021556756e-08
