year,serait_VERB assez_ADV,serait_VERB cassé_ADJ
1992,4.523664074440603e-07,5.509944167592096e-10
1993,4.763718379763304e-07,5.539207426075166e-10
1994,4.6313854795698717e-07,5.274926606624319e-10
1995,4.516901412898733e-07,5.422450821690461e-10
1996,4.190402478343458e-07,5.338092190498855e-10
1997,4.348969184775342e-07,4.79489448146353e-10
1998,4.6632302996840735e-07,4.768129224785866e-10
1999,4.60676290003903e-07,0.0
2000,3.879031567066704e-07,8.836062992401139e-10
2001,4.149007679643546e-07,4.3812117822561447e-10
2002,4.1884476331688347e-07,1.3143663935011318e-09
2003,4.429439002251456e-07,1.2500769308587678e-09
2004,4.224194753987831e-07,8.809582507929292e-10
2005,4.3100882862745493e-07,1.3511248786457486e-09
2006,4.4102600327278196e-07,0.0
2007,4.889242859462684e-07,7.988958938831558e-10
2008,4.985461714568373e-07,0.0
2009,4.6871332415321376e-07,4.76819250749827e-10
2010,5.186724933992082e-07,0.0
2011,5.303849093252211e-07,0.0
2012,6.31829323083366e-07,6.808505426114664e-10
2013,7.056486310830223e-07,2.789125042035323e-10
2014,7.455627724084479e-07,8.661780737106994e-10
2015,7.722548502897553e-07,1.329945265027277e-09
2016,8.330929404110066e-07,1.2428040818690533e-09
2017,6.434933652599284e-07,7.54683426862357e-10
2018,7.88121781170048e-07,7.744400121190154e-10
2019,7.408068540826207e-07,1.02039510174734e-09
