year,tout_DET art_NOUN
1890,1.6451509576853596e-07
1891,2.071621465482565e-07
1892,2.394571678721036e-07
1893,2.235505172087926e-07
1894,2.066904827291438e-07
1895,3.1657912824556433e-07
1896,2.187797802921665e-07
1897,2.0568298997325485e-07
1898,2.6650852413823145e-07
1899,2.106007368496421e-07
1900,2.647437084002391e-07
1901,2.3416815869703456e-07
1902,2.1801660887721397e-07
1903,2.0250826526790888e-07
1904,2.3594603959509186e-07
1905,2.286216234104188e-07
1906,2.6904085403955946e-07
1907,2.79770673738966e-07
1908,2.7307323957614926e-07
1909,2.948527212387475e-07
1910,2.709484334673107e-07
1911,2.8038372645866616e-07
1912,2.8912288696503197e-07
1913,3.457549360152967e-07
1914,2.491188690889601e-07
1915,1.460814509357533e-07
1916,1.5052823032490892e-07
1917,2.2371506536167374e-07
1918,2.6533529684513724e-07
1919,2.522950512950928e-07
1920,4.0057106343027726e-07
1921,4.0287016789264385e-07
1922,4.035730798435111e-07
1923,3.842973086420898e-07
1924,3.33893080295411e-07
1925,3.794371341570013e-07
1926,4.636793620171886e-07
1927,4.359347052229623e-07
1928,3.793445642052973e-07
1929,3.6651938017939756e-07
1930,3.455685728681601e-07
1931,3.6953356818969496e-07
1932,3.2769015634315224e-07
1933,4.267086453069169e-07
1934,2.863597643454341e-07
1935,3.482770836171767e-07
1936,2.594688877088913e-07
1937,3.449966248236791e-07
1938,3.44874714897081e-07
1939,3.257632785746978e-07
1940,3.575453959570041e-07
1941,4.515798863735654e-07
1942,4.520975476207667e-07
1943,4.267755786546701e-07
1944,3.1167906122675504e-07
1945,4.0084474317581e-07
1946,4.955913102122622e-07
1947,4.959082249289537e-07
1948,4.272651930037341e-07
1949,4.083875349003563e-07
1950,4.466851764028945e-07
1951,4.904244816916759e-07
1952,4.038659962013469e-07
1953,4.568102958124598e-07
1954,4.671272160194917e-07
1955,4.777274429379474e-07
1956,4.988492934288047e-07
1957,4.7620851972851597e-07
1958,3.6397870539772725e-07
1959,4.0536411205494005e-07
1960,4.270154132512971e-07
1961,4.564940656592853e-07
1962,3.881277246264858e-07
1963,5.237503235555607e-07
1964,4.53255626697846e-07
1965,4.96861531473769e-07
1966,3.345601068405202e-07
1967,3.766776313085529e-07
1968,5.56037308863111e-07
1969,3.5380291929509866e-07
1970,4.0376806076380944e-07
1971,4.984245709493962e-07
1972,3.919432159937841e-07
1973,4.019125521281808e-07
1974,3.600365723332999e-07
1975,3.626789948363296e-07
1976,3.5252461727530715e-07
1977,3.5378225754501e-07
1978,3.62970135947549e-07
1979,3.7160029653371396e-07
1980,4.5196948983416974e-07
1981,3.6371909284405035e-07
1982,4.053499034206709e-07
1983,3.4418472960595636e-07
1984,3.9027326259599704e-07
1985,4.132688475877444e-07
1986,3.716580920798407e-07
1987,3.953698588521348e-07
1988,3.9817117403195823e-07
1989,4.390497752027045e-07
1990,3.182012189295591e-07
1991,3.622385431611974e-07
1992,4.4685646116704447e-07
1993,4.298425033688602e-07
1994,4.1144426865535877e-07
1995,3.936699179973857e-07
1996,3.923497675639709e-07
1997,3.5482220317462065e-07
1998,3.919402131735694e-07
1999,4.1908743719787367e-07
2000,3.883449797292826e-07
2001,3.6013560344994033e-07
2002,3.7503254368687067e-07
2003,3.6918937756924564e-07
2004,3.5634762429737066e-07
2005,3.5669696829554454e-07
2006,3.5290315869573874e-07
2007,3.762799671847006e-07
2008,3.359119780110831e-07
2009,3.4140259264070494e-07
2010,2.791761695153383e-07
2011,2.6270687825125094e-07
2012,2.2910621022553812e-07
2013,2.2842933511402208e-07
2014,2.42746410750172e-07
2015,2.584526863635972e-07
2016,2.45868066461874e-07
2017,1.9345051005537073e-07
2018,2.2329686233391044e-07
2019,1.9999744765852867e-07
