year,dut_VERB causer_VERB
1889,2.8193115397812107e-08
1890,1.2453334363726754e-08
1891,1.211101796627645e-08
1892,1.56712811616444e-08
1893,3.263960834942736e-08
1894,3.150769600779313e-08
1895,3.7315409429083957e-08
1896,2.5357223876198987e-08
1897,1.806281169081103e-08
1898,2.8291774256672397e-08
1899,2.266307141951529e-08
1900,2.076421168339948e-08
1901,2.0678333711998675e-08
1902,2.1114219705964388e-08
1903,1.296052865029651e-08
1904,3.171028950532673e-08
1905,1.2385822145688508e-08
1906,8.745113966313056e-09
1907,1.7999951751335175e-08
1908,1.0313916831705683e-08
1909,1.1001967337165297e-08
1910,2.5651923252212327e-08
1911,2.2877609140437016e-08
1912,2.5526164293410147e-08
1913,2.2802856491921375e-08
1914,1.1384464038144415e-08
1915,2.0027295377644805e-08
1916,6.592477230782379e-09
1917,3.289927441585405e-09
1918,2.5270027848023346e-08
1919,1.4732557396257562e-08
1920,1.514446346106979e-08
1921,8.330022005509363e-09
1922,1.770704471937279e-08
1923,8.492758496458919e-09
1924,1.1602462102189293e-08
1925,1.9796720707176974e-08
1926,2.229227646921572e-08
1927,6.689535148041159e-09
1928,1.82816659588525e-08
1929,1.7824650200282122e-08
1930,1.575540586884472e-08
1931,9.124285327288817e-09
1932,5.4797681947604815e-09
1933,1.1470662197865522e-09
1934,1.3179738189705859e-08
1935,1.196828414151696e-08
1936,1.4549657478823974e-08
1937,2.2664012888640173e-08
1938,2.074434313215079e-08
1939,6.117620188206274e-09
1940,1.0143131667916805e-08
1941,1.7709016475464523e-08
1942,1.8205270180260413e-08
1943,1.1612940831184915e-08
1944,9.639558484764166e-09
1945,2.178504132643866e-08
1946,1.1136883415474585e-08
1947,1.907339353124371e-08
1948,1.6307831529616124e-08
1949,1.570721330779179e-08
1950,2.1270722960764488e-09
1951,8.529121409139861e-09
1952,3.1634410646574906e-09
1953,5.386913581872932e-09
1954,3.9090144454689835e-09
1955,8.447047505910632e-09
1956,4.360570571293465e-09
1957,6.184526224473075e-09
1958,5.790570245522986e-09
1959,6.975672928177801e-09
1960,6.2287499602575735e-09
1961,5.55852741612739e-09
1962,6.976152100435229e-09
1963,9.052474325699222e-09
1964,5.475571551727398e-09
1965,1.0396882466068291e-08
1966,1.1078149952936656e-08
1967,6.902469706915326e-09
1968,1.257596426995633e-08
1969,8.175163657142548e-09
1970,3.219107425067591e-09
1971,4.1107179882260425e-09
1972,2.565073486948677e-09
1973,8.821126051827832e-09
1974,6.1881286761433785e-09
1975,6.8537762132336866e-09
1976,3.9994687561772935e-09
1977,7.052138428775834e-09
1978,8.316828115084718e-09
1979,5.266775904289034e-09
1980,3.97960553399912e-09
1981,3.1627747087981106e-09
1982,6.2075020679230875e-09
1983,2.5261264191556165e-09
1984,2.8995041922996734e-09
1985,1.8046674155058895e-09
1986,4.7955883708539204e-09
1987,4.888653482026939e-09
1988,4.197587610832443e-09
1989,4.390497743145261e-09
1990,4.90378582185258e-09
1991,7.033758464558559e-09
1992,3.30596661157756e-09
1993,3.323524566667402e-09
1994,3.6924485691258724e-09
1995,2.7112254663563817e-09
1996,1.6014276571496566e-09
1997,1.917957792585412e-09
1998,2.86087753487152e-09
1999,3.1991407301035224e-09
2000,2.6508188977203417e-09
2001,2.6287270138425356e-09
2002,3.504977197366088e-09
2003,2.5001538617175356e-09
2004,2.2023955992267474e-09
2005,4.053374524914943e-09
2006,2.8825228870488218e-09
2007,1.5977917877663117e-09
2008,2.1287198670449925e-09
2009,1.430457752249481e-09
2010,1.4171379625338432e-09
2011,1.911985902935953e-09
2012,1.0212758416727752e-09
2013,4.183687618564136e-09
2014,2.3819897165822113e-09
2015,3.546520632724537e-09
2016,5.178350193091319e-09
2017,1.0062445321423752e-09
2018,3.614053500911041e-09
2019,3.5713827450933877e-09
