year,grand_ADJ art_NOUN
1944,8.900525756416755e-07
1945,9.215072167556571e-07
1946,9.842220904943133e-07
1947,1.040692046316849e-06
1948,1.0002137091902341e-06
1949,9.306523907071096e-07
1950,7.551106691039422e-07
1951,9.040868711451822e-07
1952,7.803155028796027e-07
1953,7.918763023084807e-07
1954,9.1861840090246e-07
1955,9.010183301683128e-07
1956,7.927517700068165e-07
1957,7.712987697416906e-07
1958,7.138946163109949e-07
1959,7.766249074947496e-07
1960,9.121658628430396e-07
1961,8.240517033186734e-07
1962,8.130388362559415e-07
1963,8.593384954735939e-07
1964,8.255944905499746e-07
1965,8.74979727782943e-07
1966,8.081510340929299e-07
1967,9.352846674914872e-07
1968,1.1745052308498316e-06
1969,7.730072031364443e-07
1970,8.663997963509473e-07
1971,9.876000035546895e-07
1972,1.0403937462655222e-06
1973,6.946636901261627e-07
1974,6.328767963026394e-07
1975,7.447770116186803e-07
1976,6.930508353875098e-07
1977,6.105976435577531e-07
1978,6.938610885853791e-07
1979,7.432006103869071e-07
1980,8.067228982611141e-07
1981,7.502101873058109e-07
1982,6.797215075238228e-07
1983,7.180514565163776e-07
1984,6.953011038035584e-07
1985,6.996094246147777e-07
1986,7.517084883446046e-07
1987,8.280156951201434e-07
1988,7.7535441800336e-07
1989,7.968753461540246e-07
1990,7.58997105165804e-07
1991,7.748857164813217e-07
1992,8.286956258984901e-07
1993,8.657780945497962e-07
1994,7.590619572894752e-07
1995,8.29634984711447e-07
1996,7.702867250714007e-07
1997,7.278649887254574e-07
1998,8.930706307808123e-07
1999,6.873582716337978e-07
2000,7.983382896981084e-07
2001,7.062513187605646e-07
2002,7.009954554604292e-07
2003,8.125499402211744e-07
2004,7.254691380964573e-07
2005,7.976140246057639e-07
2006,7.910466379712489e-07
2007,7.61347795474876e-07
2008,7.109924009540691e-07
2009,6.966329433311103e-07
2010,6.48576788719879e-07
2011,7.376442088258273e-07
2012,6.144676216734979e-07
2013,6.122129718733049e-07
2014,7.472951164544384e-07
2015,9.107908205407966e-07
2016,8.285359909265821e-07
2017,5.300393288720784e-07
2018,6.389130211559291e-07
2019,6.910625938161274e-07
