year,tout_DET canal_NOUN
1940,0.0
1941,8.854507793643052e-09
1942,1.8205270846394228e-08
1943,2.6129117092210663e-08
1944,3.2131861615880553e-09
1945,1.3071024262956144e-08
1946,2.7842208538686464e-09
1947,5.960435700558264e-09
1948,5.435943917220243e-09
1949,7.853606653895895e-09
1950,0.0
1951,1.3859822622919182e-08
1952,1.3708244983590134e-08
1953,1.0773827163745864e-08
1954,1.0749789725039705e-08
1955,2.2525458387434583e-08
1956,8.721141364631535e-09
1957,1.236905244894615e-08
1958,1.7371711014124713e-08
1959,2.4802393028267034e-08
1960,2.8375416460946212e-08
1961,8.33779090214648e-09
1962,5.0735651235811474e-09
1963,7.112658684249595e-09
1964,9.73434927109551e-09
1965,8.20806533852192e-09
1966,8.308612242657887e-09
1967,6.409436315024664e-09
1968,1.3923389080572335e-08
1969,6.358460757915907e-09
1970,2.299362444890818e-08
1971,2.2095109963871096e-08
1972,2.61637485010624e-08
1973,1.3783009622514442e-08
1974,1.125114323929921e-08
1975,1.7134440977173426e-08
1976,2.285410793945175e-08
1977,2.585783925868057e-08
1978,2.1386129422928946e-08
1979,1.1118749698724173e-08
1980,9.096241204709088e-09
1981,6.958104425969225e-09
1982,1.924325765401136e-08
1983,4.104955431127877e-08
1984,3.82734566262144e-08
1985,5.895246923959263e-08
1986,2.3378494029557828e-08
1987,6.355249837497468e-08
1988,5.81665702270584e-08
1989,4.994191171725504e-08
1990,1.3621627381610324e-08
1991,5.275318681885466e-09
1992,4.958949750832886e-09
1993,8.308811416668505e-09
1994,7.912389632380723e-09
1995,5.4224509327127635e-09
1996,6.939519625603907e-09
1997,6.712852052004337e-09
1998,2.8608774238492174e-09
1999,6.855301576402795e-09
2000,8.39425973175878e-09
2001,9.20054432640427e-09
2002,8.762442937904069e-09
2003,5.8336921959778465e-09
2004,3.9643121285681815e-09
2005,4.053374524914943e-09
2006,3.706100981659688e-09
2007,8.787854721692412e-09
2008,6.386159323579221e-09
2009,3.814554005998616e-09
2010,5.1961723257498704e-09
2011,9.942326933964907e-09
2012,7.829781489832044e-09
2013,3.6258626101570712e-09
2014,6.496335663852548e-09
2015,6.206411051756788e-09
2016,3.728412162340433e-09
2017,2.012489092040326e-09
2018,7.744400287723607e-09
2019,4.59177795786303e-09
