year,tout_DET cadeau_NOUN
1915,1.1780761921542648e-09
1916,0.0
1917,9.869782324756216e-09
1918,3.44591288836682e-09
1919,2.762354567309444e-09
1920,1.1358347151713133e-08
1921,2.2718242842501013e-09
1922,1.3280284150152255e-08
1923,2.1231896241147297e-09
1924,1.289162443462999e-09
1925,5.499089184013428e-09
1926,3.343841648018042e-09
1927,1.1149224654616319e-08
1928,4.570416489713125e-09
1929,2.2280812750352652e-09
1930,6.30216201447098e-09
1931,7.983749661377715e-09
1932,6.575722188983946e-09
1933,8.02946331646126e-09
1934,5.990790086229936e-09
1935,1.196828414151696e-09
1936,8.487299751891442e-09
1937,1.1332006444320086e-08
1938,1.2965214679638848e-08
1939,4.588215141154706e-09
1940,1.0143131667916805e-08
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,1.6705325123211878e-08
1947,8.344609447874518e-09
1948,1.3046265179283978e-08
1949,8.835307596655184e-09
1950,1.2762433776458693e-08
1951,9.595261474260042e-09
1952,1.265376459169687e-08
1953,1.6160741300730308e-08
1954,2.7363101118282884e-08
1955,1.407841132561316e-08
1956,1.0465369904011368e-08
1957,9.718541527092839e-09
1958,8.272243334772611e-09
1959,1.2401196736178122e-08
1960,1.3149583755200922e-08
1961,1.4591134855912458e-08
1962,1.2049717501572133e-08
1963,6.466053026343843e-09
1964,4.867174663303331e-09
1965,9.849678073159396e-09
1966,1.5509408979319517e-08
1967,6.902469651404175e-09
1968,8.084548530629121e-09
1969,9.537691053607134e-09
1970,6.438215127690938e-09
1971,5.6522370117662035e-09
1972,7.182205663536223e-09
1973,1.2680368977058265e-08
1974,1.0126029015289362e-08
1975,1.599214494163448e-08
1976,1.4855169538918744e-08
1977,5.289103821581875e-09
1978,5.940591241149207e-09
1979,1.2289144368793359e-08
1980,9.09624131573139e-09
1981,1.075343419865149e-08
1982,1.1794254017871708e-08
1983,1.326216381158929e-08
1984,1.2177918229383522e-08
1985,9.023337077529447e-09
1986,1.3187867686781374e-08
1987,1.3443796742507175e-08
1988,9.594486038988492e-09
1989,8.780995708335126e-09
1990,1.3621627881210685e-08
1991,1.4067516318494455e-08
1992,1.983579878128694e-08
1993,2.4926434250005514e-08
1994,1.476979427650349e-08
1995,1.5182862966867106e-08
1996,1.3345230476247139e-08
1997,1.5343662340683295e-08
1998,1.239713631751016e-08
1999,1.4624643718263997e-08
2000,2.1206551625851944e-08
2001,9.638666198519275e-09
2002,1.4896152755738967e-08
2003,1.5834307920403745e-08
2004,1.805964355838796e-08
2005,2.1617997170153558e-08
2006,2.2236605445868918e-08
2007,1.5977917655618512e-08
2008,1.6178270501043812e-08
2009,1.6211854969583328e-08
2010,2.3618965228067168e-08
2011,1.8737463081119898e-08
2012,3.199997511416086e-08
2013,2.1755174772764008e-08
2014,2.1870995514650104e-08
2015,1.3964425171764105e-08
2016,1.8020657965855946e-08
2017,1.4590545660553289e-08
2018,1.7295826992835828e-08
2019,1.3775333540522183e-08
