year,furent_VERB assez_ADV
2004,2.0658471555634605e-07
2005,1.977146126819207e-07
2006,2.0548270640574628e-07
2007,1.9453115385204e-07
2008,1.9073330292940227e-07
2009,1.8929723921701225e-07
2010,1.9273075224646163e-07
2011,1.996113354607587e-07
2012,2.0834026770444325e-07
2013,2.2954499456773192e-07
2014,2.633181281908037e-07
2015,2.673189953839028e-07
2016,3.1152953283708484e-07
2017,2.0451919624520087e-07
2018,2.5220930410796427e-07
2019,2.2295633073099452e-07
