year,est_VERB in_ADJ,est_VERB fine_ADJ
1850,1.1344412769176415e-06,2.2878916183799447e-07
1851,9.835393939283676e-07,1.9477305102100217e-07
1852,9.616076113161398e-07,3.040424587652524e-07
1853,1.4493878097709967e-06,2.830695677857875e-07
1854,1.4895970252837287e-06,3.0082895818850375e-07
1855,1.103312229133735e-06,2.653468413882365e-07
1856,1.3621184962175903e-06,2.526468279029359e-07
1857,1.0070552889374085e-06,3.3487151540612103e-07
1858,1.089821694222337e-06,2.544711605878547e-07
1859,9.109897973758052e-07,3.131686696633551e-07
1860,7.794944281158678e-07,3.551894849351811e-07
1861,1.073353359970497e-06,3.3671980759208964e-07
1862,8.435080189883593e-07,3.704748792188184e-07
1863,8.990317610368947e-07,2.826955380896834e-07
1864,1.0164823152081226e-06,2.833684220604482e-07
1865,1.0025578376371413e-06,2.2639920871370123e-07
1866,1.1351474995535682e-06,3.328079287712171e-07
1867,7.871259981584444e-07,2.838894772594358e-07
1868,7.938377848404343e-07,3.42333265734851e-07
1869,8.839169822749682e-07,3.7847271983082464e-07
1870,1.0292617389495717e-06,3.4060249731737713e-07
1871,8.783713383309077e-07,2.655294224496174e-07
1872,7.686168146392447e-07,3.852155145978031e-07
1873,9.33218075260811e-07,3.2504004821021226e-07
1874,7.235251473503013e-07,2.993279224483558e-07
1875,8.33626529583853e-07,3.6045619822289154e-07
1876,6.475281679740874e-07,2.883949150600529e-07
1877,7.415594609483378e-07,3.543899538271944e-07
1878,7.077811687850044e-07,2.9410361435111554e-07
1879,7.373955668299459e-07,2.6636658390088996e-07
1880,8.561406730223098e-07,3.395040550913109e-07
1881,7.167737976487842e-07,2.2381749431588105e-07
1882,7.374166557383433e-07,3.5007326459890464e-07
1883,7.494735996260715e-07,3.3745268979146203e-07
1884,7.486324307137693e-07,3.05658574006884e-07
1885,6.800145797569712e-07,2.913427294970461e-07
1886,7.62154058975284e-07,3.18801113508016e-07
1887,6.705205350954202e-07,2.898842410559155e-07
1888,6.860545340714452e-07,2.523564717193949e-07
1889,7.273823712239391e-07,2.7315996931065456e-07
1890,6.285656581894727e-07,2.890484438466956e-07
1891,7.151874683586357e-07,3.0341286105795007e-07
1892,6.619549139941228e-07,2.707997452944255e-07
1893,6.127624487817229e-07,2.709703323944268e-07
1894,5.690289981430396e-07,2.596234196516889e-07
1895,6.584364200534765e-07,3.412554292481218e-07
1896,5.820367618980526e-07,2.5887956667247636e-07
1897,5.500417614712205e-07,2.534620477945282e-07
1898,6.014831228640105e-07,2.880102556446218e-07
1899,5.748681815020973e-07,2.6642928219189344e-07
1900,6.691267344649532e-07,3.135396013931313e-07
1901,5.991128091409337e-07,2.772014511265297e-07
1902,6.589601184714411e-07,3.378275152954302e-07
1903,5.324617404767196e-07,3.0943260753701907e-07
1904,6.110948902460223e-07,2.7840559368996765e-07
1905,5.042061843596457e-07,2.7713275585483643e-07
1906,4.7326497565336467e-07,2.8807434659938735e-07
1907,5.605699016086874e-07,2.689706946057413e-07
1908,4.5774146428811946e-07,2.1904794778038195e-07
1909,5.539490643968747e-07,2.6844799094760674e-07
1910,5.25329994616186e-07,2.7201727448300517e-07
1911,4.2084158735633537e-07,2.739992623901344e-07
1912,5.032300691709679e-07,2.5369880063408345e-07
1913,5.716622695217666e-07,2.7787666567746783e-07
1914,5.906528031118796e-07,2.4242211793534807e-07
1915,3.687378580252698e-07,2.0851948079325666e-07
1916,4.032398521758296e-07,1.8239187227209186e-07
1917,4.682663359290018e-07,2.774505389879778e-07
1918,4.76684618888612e-07,2.2053842485547648e-07
1919,4.889367346549989e-07,2.1730522803409258e-07
1920,5.149117328073771e-07,2.6351366955168487e-07
1921,4.922285938846471e-07,2.1885240641950077e-07
1922,5.253090193946264e-07,3.5118972618874977e-07
1923,7.6434827178673e-07,2.95123356863769e-07
1924,6.832560757175088e-07,3.0810983275841863e-07
1925,8.204640948861197e-07,2.716549829528958e-07
1926,1.097894596568949e-06,2.3629813483694306e-07
1927,6.789878170820884e-07,3.0437382747550146e-07
1928,7.084145750013704e-07,3.5649247820401797e-07
1929,6.350031753754593e-07,2.5845741902230657e-07
1930,8.329357683578564e-07,2.415828816992871e-07
1931,7.869696219131583e-07,2.5776105871955224e-07
1932,7.046982091196696e-07,2.542612378420017e-07
1933,6.354746915349097e-07,2.099131251043218e-07
1934,8.135493203553779e-07,3.067284524149727e-07
1935,6.654365733993473e-07,2.3098787949038524e-07
1936,6.826214189459279e-07,2.570439505689137e-07
1937,6.157056873234978e-07,2.7322727191858576e-07
1938,5.886207645744435e-07,2.3596690823524114e-07
1939,6.790558586544648e-07,2.6305767164558347e-07
1940,7.962358381519152e-07,2.8400768314895686e-07
1941,5.991550438011473e-07,2.862957444449421e-07
1942,7.130397534638178e-07,3.034211886188132e-07
1943,5.893567731618532e-07,2.5838792794274923e-07
1944,5.269625376058684e-07,1.83151612986876e-07
1945,5.816605721520318e-07,2.091363882072983e-07
1946,1.122040998779994e-06,3.341065166750923e-07
1947,6.580320928151195e-07,2.3722533626369113e-07
1948,7.773400056976243e-07,2.8593063916559913e-07
1949,5.782217726846284e-07,2.2677289734929218e-07
1950,5.541023142541235e-07,2.5737574560480425e-07
1951,5.36268487394409e-07,2.388154030086298e-07
1952,5.725828486902174e-07,2.425304899134062e-07
1953,5.063698722551635e-07,2.4779802743069013e-07
1954,5.482392566591443e-07,2.452906642247399e-07
1955,4.2516802523095976e-07,2.6655126816876873e-07
1956,4.54371473779247e-07,2.4593620651103265e-07
1957,5.318692615219334e-07,3.207118766113126e-07
1958,5.608580977423117e-07,3.3171696145473106e-07
1959,5.828562166243501e-07,1.968689957720926e-07
1960,6.318720693343494e-07,2.2631124352301413e-07
1961,6.239446861400211e-07,2.5569227091182256e-07
1962,4.204717072298081e-07,2.1626071600167052e-07
1963,5.153444249117456e-07,2.0432727865227207e-07
1964,6.534182261930255e-07,1.965121754210486e-07
1965,6.916662869116408e-07,2.2107055031028722e-07
1966,5.11810526404588e-07,2.2488643480755854e-07
1967,4.885962425760226e-07,2.918758639225416e-07
1968,4.185999671335594e-07,2.4163816192412924e-07
1969,3.9876633195490285e-07,2.1073756784062425e-07
1970,4.134253686061129e-07,2.03723516278842e-07
1971,4.5063745801599e-07,1.937175824195947e-07
1972,3.8168292348927935e-07,2.657416189322248e-07
1973,3.7710313449679234e-07,2.1446362552524079e-07
1974,4.731105889277387e-07,2.5427584660064895e-07
1975,4.232206833876262e-07,2.0275754764043086e-07
1976,3.5538135989554576e-07,1.805474454386058e-07
1977,4.7425629645658773e-07,1.6454988838177087e-07
1978,3.920790163647325e-07,1.7465337975863804e-07
1979,3.435108339999715e-07,2.1301183039668103e-07
1980,4.076252935192315e-07,1.995487934891571e-07
1981,4.08630512538366e-07,1.6636195709907042e-07
1982,4.6680418108735466e-07,1.6201580876895605e-07
1983,3.997595001692389e-07,2.1724687826463196e-07
1984,3.699767319176317e-07,1.617923430785595e-07
1985,3.458945911916089e-07,1.8106830168562738e-07
1986,3.554729914867494e-07,2.1160533947295335e-07
1987,3.9475875723837817e-07,2.0654560728416982e-07
1988,3.232142375964031e-07,1.8649282651495014e-07
1989,3.012979163941054e-07,1.6299722460644261e-07
1990,3.3291257750533987e-07,1.4547897819738864e-07
1991,3.411372802020196e-07,1.3833057721512887e-07
1992,3.0855687782604946e-07,1.5703341205153265e-07
1993,3.1407304845743056e-07,1.6617622122794273e-07
1994,3.866521183226723e-07,1.466429608854014e-07
1995,3.340229568493669e-07,1.6375801692447567e-07
1996,3.725988335645525e-07,1.5854134005621745e-07
1997,3.927018497051904e-07,1.4384683311163826e-07
1998,3.852648546853743e-07,1.8643385146788205e-07
1999,3.875530580899067e-07,2.0017481006107118e-07
2000,4.493138021643972e-07,1.2326307796683977e-07
2001,3.281527654053207e-07,1.555330157998469e-07
2002,3.163241899528657e-07,1.656101744629268e-07
2003,3.941909199056681e-07,1.5000922815033846e-07
2004,3.585500110148132e-07,1.3875092008674983e-07
2005,3.7651346929123974e-07,1.5222673255266272e-07
2006,3.5331495951140823e-07,1.9024651010113303e-07
2007,3.2435173125122674e-07,1.8734108664375526e-07
2008,2.656642266174458e-07,1.6731738128328288e-07
2009,2.760783388566779e-07,1.6402582048158365e-07
2010,2.451648697388009e-07,1.922583692248736e-07
2011,1.6634278665605962e-07,2.569709067756776e-07
2012,1.1880842265554747e-07,3.1114871035242686e-07
2013,1.5033384670459782e-07,2.3261303283561574e-07
2014,1.5851058776661375e-07,2.388485995652445e-07
2015,1.5782016760113038e-07,2.4249334273918066e-07
2016,1.9739870538160176e-07,2.5643188905632996e-07
2017,2.1860662968720135e-07,2.0653169485740364e-07
2018,1.4249695823309594e-07,2.3104126967155025e-07
2019,1.7576306277078402e-07,2.0025254343636334e-07
