year,tout_ADV ôté_VERB
1946,1.1136883415474585e-08
1947,2.5033829231801974e-08
1948,1.522064252412747e-08
1949,1.0798709482173763e-08
1950,8.508289184305795e-09
1951,8.529121409139861e-09
1952,1.2653764258629963e-08
1953,4.3095309543161875e-09
1954,6.840775057526116e-09
1955,7.508486277174597e-09
1956,5.232684952005684e-09
1957,1.1485549400447326e-08
1958,4.9633461784992505e-09
1959,8.525822714489095e-09
1960,9.689166802218097e-09
1961,1.459113452284555e-08
1962,1.2049716779927166e-08
1963,7.759263453976928e-09
1964,7.909158661334459e-09
1965,1.4227312661319047e-08
1966,7.754704434148607e-09
1967,1.6763140209263838e-08
1968,2.0211372131484495e-08
1969,9.083515273289322e-09
1970,2.7592350626548523e-09
1971,1.0276794526475896e-08
1972,1.128632298730281e-08
1973,6.064523994098181e-09
1974,5.625571564138454e-09
1975,2.8557400888473694e-09
1976,3.9994687561772935e-09
1977,5.876781727920388e-09
1978,7.72276909088987e-09
1979,1.0533551808578068e-08
1980,8.527726080842513e-09
1981,3.795329828193417e-09
1982,8.069752865935698e-09
1983,3.157658134966823e-09
1984,4.639206796497319e-09
1985,6.015557829641693e-09
1986,6.593933843390687e-09
1987,6.721898593298192e-09
1988,5.99655392008458e-09
1989,7.683371272548811e-09
1990,9.262707045820662e-09
1991,4.10302547493302e-09
1992,1.1019888113139586e-08
1993,6.647049133334804e-09
1994,7.384897138251745e-09
1995,5.964695848348356e-09
1996,8.540947504798169e-09
1997,8.630809844589749e-09
1998,4.7681290027412615e-09
1999,5.941261704833778e-09
2000,3.5344251969604557e-09
2001,6.571817756650944e-09
2002,6.571832411594869e-09
2003,5.8336921959778465e-09
2004,5.726228824443069e-09
2005,4.954124666056714e-09
2006,6.58862386870851e-09
2007,8.38840730210677e-09
2008,5.5346713878634546e-09
2009,5.721831008997924e-09
2010,7.558068837454357e-09
2011,5.7359579308524644e-09
2012,5.446804340891731e-09
2013,1.4782362889320666e-08
2014,1.277612682315521e-08
2015,1.440773989003219e-08
2016,1.5949318310504168e-08
2017,8.804639684001359e-09
2018,9.035133530232997e-09
2019,1.3520234709574197e-08
