year,tout_DET enfant_NOUN
2009,8.587514912505867e-07
2010,8.772083788244345e-07
2011,8.932798323257884e-07
2012,9.661269047001042e-07
2013,9.46629015174949e-07
2014,9.83978281965392e-07
2015,9.653185770730488e-07
2016,9.310673618756482e-07
2017,7.297788471305466e-07
2018,8.061920624413688e-07
2019,8.867233276532716e-07
