year,ton_DET heureux_ADJ
1919,1.1970202606903513e-08
1920,1.1358347151713133e-08
1921,6.815472630705699e-09
1922,1.475587119159627e-08
1923,1.8047112249064412e-08
1924,7.734974438733389e-09
1925,1.4297631523163545e-08
1926,1.6719207573956396e-08
1927,5.574612549352764e-09
1928,1.2568645679778001e-08
1929,1.3368487650211591e-08
1930,1.0503603542488804e-08
1931,1.1405356659111021e-08
1932,4.383814644626227e-09
1933,8.02946331646126e-09
1934,1.3179738189705859e-08
1935,3.4708023122220766e-08
1936,1.33371855781661e-08
1937,8.813782592653752e-09
1938,5.186085783037697e-09
1939,9.176430282309411e-09
1940,1.7750480196809804e-08
1941,1.1806010391524069e-08
1942,2.4273694165799498e-08
1943,1.1612940831184915e-08
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,1.2528993842408909e-08
1947,9.536696765621855e-09
1948,2.174377566888097e-09
1949,2.945102384188658e-09
1950,2.1270722072586068e-08
1951,7.462981344019681e-09
1952,7.381362521208246e-09
1953,1.4005975934594517e-08
1954,1.8567819282111486e-08
1955,3.754243138587299e-09
1956,5.232684952005684e-09
1957,2.6505113659425206e-09
1958,4.9633461784992505e-09
1959,8.525822714489095e-09
1960,2.6991250123842292e-08
1961,1.459113452284555e-08
1962,1.0781326054143392e-08
1963,1.61651322327927e-08
1964,1.2776333768727e-08
1965,1.3680108601477059e-08
1966,1.4401594583546284e-08
1967,1.824224188373691e-08
1968,1.6618238563026466e-08
1969,9.991866833924945e-09
1970,8.277704743875347e-09
1971,7.707596338946132e-09
1972,5.643161382629103e-09
1973,3.859242703185828e-09
1974,5.625571564138454e-09
1975,9.709516302081056e-09
1976,2.285410749536254e-09
1977,7.05213826224238e-09
1978,2.9702956760857546e-09
1979,9.36315702748658e-09
1980,3.411090521154847e-09
1981,3.1627747087981106e-09
1982,3.7245013739806154e-09
1983,2.5261264191556165e-09
1984,5.799008384599347e-09
1985,1.8046674155058895e-09
1986,5.395037083744114e-09
1987,1.7110287964250404e-08
1988,4.797243047249822e-09
1989,7.683371050504206e-09
1990,4.358920779878872e-09
1991,5.2753188484189195e-09
1992,4.4079553340736766e-09
1993,6.093128224193833e-09
1994,5.274926717646622e-09
1995,4.880205572987961e-09
1996,3.2028553142993132e-09
1997,3.3564262480467733e-09
1998,4.291316191284977e-09
1999,3.1991407301035224e-09
2000,7.068850393920911e-09
2001,2.6287270138425356e-09
2002,7.448076544402937e-09
2003,6.667076668520622e-09
2004,7.047665923076707e-09
2005,2.251874686720612e-09
2006,3.294311934354255e-09
2007,1.997239706952314e-09
2008,3.405951742863067e-09
2009,1.907277002999308e-09
2010,4.2514136655569246e-09
2011,2.294383100176489e-09
2012,4.425528388196653e-09
2013,1.059867482666732e-08
2014,9.094869746206768e-09
2015,1.1082877018897541e-08
2016,1.4292246497404903e-08
2017,6.540589542192166e-09
2018,7.744400065679002e-09
2019,9.94885240857002e-09
