year,quelques_DET chantiers_NOUN
1964,2.0077095319592786e-08
1965,1.586892617311264e-08
1966,1.0524241700338166e-08
1967,2.120044251263664e-08
1968,2.155879630372226e-08
1969,1.9075382939881536e-08
1970,1.3336302562283464e-08
1971,1.3359833350712336e-08
1972,2.000757282072385e-08
1973,2.5360736732871203e-08
1974,2.925297204470212e-08
1975,2.1132476657470534e-08
1976,1.942599142656931e-08
1977,2.056873604772136e-08
1978,3.2079193079681545e-08
1979,2.3993091291529822e-08
1980,2.5583177576393723e-08
1981,2.9097527165511394e-08
1982,2.6071509950931215e-08
1983,2.7787391054800992e-08
1984,3.943325843636103e-08
1985,2.1054453180902044e-08
1986,1.978180153017206e-08
1987,3.116516578138828e-08
1988,2.098793827620682e-08
1989,2.9087048214471167e-08
1990,1.852541253732909e-08
1991,2.3445860364290638e-08
1992,1.9284805363728452e-08
1993,2.2710751057530842e-08
1994,3.270454462800387e-08
1995,3.5788175978268555e-08
1996,3.25623616959092e-08
1997,3.692068717420227e-08
1998,2.9562401415716977e-08
1999,2.6507167127931552e-08
2000,2.6949991349667357e-08
2001,3.198284548311392e-08
2002,3.50497728618393e-08
2003,3.083523036906399e-08
2004,3.039306006868969e-08
2005,2.9274372703724794e-08
2006,3.664922054724684e-08
2007,3.1556387503073324e-08
2008,3.1505054343128336e-08
2009,1.907276958590387e-08
2010,2.5508483325609177e-08
2011,2.982698132925066e-08
2012,2.5531895708752472e-08
2013,2.314973734929282e-08
2014,1.818973915934663e-08
2015,1.5737685599148676e-08
2016,1.3670844456470377e-08
2017,1.48421064327664e-08
2018,1.832841367566118e-08
2019,1.9642605098013632e-08
