year,leurs_DET chantiers_NOUN
1879,7.270097057698877e-08
1880,1.1680479983233738e-07
1881,1.052848617177915e-07
1882,9.517201005060372e-08
1883,7.393626333396242e-08
1884,8.582205879292815e-08
1885,9.410627838102315e-08
1886,7.486018105407055e-08
1887,8.74875922818319e-08
1888,1.1032669533506123e-07
1889,7.894072240333116e-08
1890,1.0093755520301784e-07
1891,8.095259573792646e-08
1892,1.216091438660527e-07
1893,1.1269901989408027e-07
1894,7.372801036353849e-08
1895,1.0111272530366477e-07
1896,1.1499206209464319e-07
1897,1.2702236062978045e-07
1898,1.4089303590480995e-07
1899,1.3597842318802122e-07
1900,8.824790365125068e-08
1901,1.302176113604503e-07
1902,1.2226606305176801e-07
1903,1.2312501951328159e-07
1904,8.706892717924575e-08
1905,1.186974588063272e-07
1906,1.3992182257283048e-07
1907,1.275425140501163e-07
1908,1.635492614671108e-07
1909,1.5017684518170427e-07
1910,1.341381777875128e-07
1911,1.4950250892820094e-07
1912,1.3804965764974142e-07
1913,1.463625147746228e-07
1914,1.0513887360730223e-07
1915,1.1545147016178703e-07
1916,1.5602195446717815e-07
1917,1.6230308119702386e-07
1918,1.48174251535238e-07
1919,1.6758283849505062e-07
1920,1.1206902916782724e-07
1921,9.541661505352295e-08
1922,1.3354063249648718e-07
1923,9.129715428102259e-08
1924,1.0700048136413898e-07
1925,5.829034321891413e-08
1926,7.467912865877224e-08
1927,8.807887597050978e-08
1928,8.226749770301467e-08
1929,1.0026365515614089e-07
1930,9.033099357402818e-08
1931,9.466445760608622e-08
1932,9.5347971296178e-08
1933,8.71770298171981e-08
1934,8.147474517272713e-08
1935,8.377798987879714e-08
1936,9.942265810636286e-08
1937,1.3472495985489275e-07
1938,7.130867629712156e-08
1939,8.258787431714154e-08
1940,6.593035406510239e-08
1941,8.559357667081713e-08
1942,8.799214157306778e-08
1943,1.1322617177178529e-07
1944,1.6387249957006134e-07
1945,9.803267886354661e-08
1946,8.770295778504078e-08
1947,6.556479092978407e-08
1948,9.567261116671943e-08
1949,9.81700836177879e-08
1950,8.295582176742755e-08
1951,6.823297127311889e-08
1952,8.541291229846593e-08
1953,9.804182665718031e-08
1954,1.0847514797518443e-07
1955,9.479464146977534e-08
1956,6.802490304380626e-08
1957,6.361226922990681e-08
1958,7.196851808943805e-08
1959,7.595733109155844e-08
1960,7.059249945706725e-08
1961,8.198828282957038e-08
1962,1.008371064981084e-07
1963,8.79383241780829e-08
1964,5.779770062552814e-08
1965,6.347570291609372e-08
1966,6.42532679284713e-08
1967,6.705256239136759e-08
1968,6.198153978953513e-08
1969,6.176790320888692e-08
1970,6.300253252433663e-08
1971,7.193756346168811e-08
1972,7.182205763456295e-08
1973,5.513203960028079e-08
1974,5.231781774472921e-08
1975,5.997054142170555e-08
1976,8.798831174772204e-08
1977,7.169673921225694e-08
1978,9.564352154711742e-08
1979,7.314966410376655e-08
1980,5.685150772372083e-08
1981,7.906936616564053e-08
1982,5.462602103989411e-08
1983,8.209910618006688e-08
1984,7.654691513980794e-08
1985,5.7147801157952927e-08
1986,6.174319910901005e-08
1987,6.721898487827005e-08
1988,4.977139744788417e-08
1989,4.884428861373635e-08
1990,4.7948130021957525e-08
1991,5.2167041353357035e-08
1992,4.8487508341743535e-08
1993,6.702440791261921e-08
1994,4.905681882938495e-08
1995,5.476675263293984e-08
1996,4.9644255595282516e-08
1997,5.1305369508369836e-08
1998,4.434360012517402e-08
1999,4.25028723327614e-08
2000,5.434178618202168e-08
2001,5.169829825346639e-08
2002,4.337409365007261e-08
2003,5.041976858244368e-08
2004,5.3738452132634507e-08
2005,4.864049429897932e-08
2006,5.55915138367169e-08
2007,4.553706678400715e-08
2008,5.279225073762106e-08
2009,5.0066023105088675e-08
2010,3.6845583917255453e-08
2011,5.08588289260814e-08
2012,3.199997561376122e-08
2013,3.932666420292108e-08
2014,3.6596023655910415e-08
2015,3.967669943982788e-08
2016,3.728412123482627e-08
2017,3.1696703928218994e-08
2018,3.1235748154667675e-08
2019,3.290774230890747e-08
