year,plusieurs_DET eaux_NOUN
1869,6.788091344578362e-08
1870,9.403839706934036e-08
1871,5.629224020253787e-08
1872,6.773019978201233e-08
1873,1.8915773869476737e-07
1874,1.0933534699830716e-07
1875,7.609631325067312e-08
1876,9.189942318243993e-08
1877,7.978412686071579e-08
1878,6.703388133466603e-08
1879,5.1929266220440695e-08
1880,1.0268554273551445e-07
1881,8.924809402621747e-08
1882,9.583754456699012e-08
1883,4.73950407808843e-08
1884,8.780256610663173e-08
1885,8.37932674357944e-08
1886,7.679621916167889e-08
1887,7.508263166755569e-08
1888,8.686642227750951e-08
1889,8.583237531833987e-08
1890,1.0552562201837645e-07
1891,9.115134491644028e-08
1892,7.835640758457885e-08
1893,7.266931634219986e-08
1894,8.507078064212692e-08
1895,7.703826376825873e-08
1896,3.892039046604623e-08
1897,4.952706478267288e-08
1898,6.563691667960114e-08
1899,5.969784488968344e-08
1900,7.630847831396892e-08
1901,7.433023085923196e-08
1902,5.450415019314647e-08
1903,4.8061958635159385e-08
1904,5.912087619464046e-08
1905,4.2318223258952514e-08
1906,6.533114205176105e-08
1907,6.171411826016993e-08
1908,5.8445528861028606e-08
1909,4.1807473483146396e-08
1910,3.954671612405036e-08
1911,5.1607629170113967e-08
1912,4.271725284610284e-08
1913,7.052976025434532e-08
1914,3.8171439342704616e-08
1915,1.5314990164938536e-08
1916,2.6369908923129515e-08
1917,4.057576963312215e-08
1918,4.5945505178224266e-08
1919,2.3940405213807026e-08
1920,3.48322650722821e-08
1921,5.2251958815308086e-08
1922,2.4347187377316004e-08
1923,3.927900849021171e-08
1924,1.4180787211159895e-08
1925,2.1996355625830688e-08
1926,6.687682940764716e-08
1927,4.7941668412931904e-08
1928,2.170947854818195e-08
1929,4.790374674712439e-08
1930,2.941009036305786e-08
1931,3.9918746530531735e-08
1932,2.849479585620429e-08
1933,2.408838994938378e-08
1934,1.677421224144382e-08
1935,1.795242621227544e-08
1936,3.394919900756577e-08
1937,2.895957251780601e-08
1938,3.1116513810047763e-08
1939,2.5999884911698246e-08
1940,4.564409294971483e-08
1941,3.836953510472085e-08
1942,3.9444752131245764e-08
1943,2.6129116648121453e-08
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,3.062642850437669e-08
1947,3.337843779149807e-08
1948,2.6092530802657166e-08
1949,1.570721330779179e-08
1950,1.701657836861159e-08
1951,2.0256663901818683e-08
1952,1.4762725264461096e-08
1953,1.723812381726475e-08
1954,1.1727043114362345e-08
1955,1.9709776921672528e-08
1956,1.831439710997529e-08
1957,2.297109880089465e-08
1958,2.978007690446205e-08
1959,3.952881399982289e-08
1960,1.5917916873497973e-08
1961,1.6675582137359868e-08
1962,2.029426049432459e-08
1963,2.0691370394843034e-08
1964,1.4601523545820783e-08
1965,2.407699106754535e-08
1966,1.495550172592175e-08
1967,2.465167803222812e-08
1968,1.9762229602759973e-08
1969,1.2262746151847637e-08
1970,4.092865424354386e-08
1971,1.0790634386026454e-08
1972,2.103360258187692e-08
1973,2.59120574996885e-08
1974,1.2938814464291681e-08
1975,1.8847885030481848e-08
1976,9.712995741040231e-09
1977,1.0578207476630297e-08
1978,3.3267311683182754e-08
1979,3.5697038214266286e-08
1980,2.1603572264439208e-08
1981,4.4278845257039734e-08
1982,1.7381006189864934e-08
1983,1.8314416649900522e-08
1984,2.2616132966390978e-08
1985,1.8046674932215012e-08
1986,2.517683839187157e-08
1987,1.711028652096047e-08
1988,3.17817343553628e-08
1989,1.0976244468885454e-08
1990,1.1987032477733806e-08
1991,1.5825955934634095e-08
1992,1.597883780846132e-08
1993,1.2186256448387667e-08
1994,2.7429617632801495e-08
1995,4.337960540778951e-08
1996,1.441284891434691e-08
1997,2.0618046936426992e-08
1998,1.0966697439052098e-08
1999,2.8335246704536132e-08
2000,1.1928684817696933e-08
2001,1.70867264781549e-08
2002,1.3581786362237835e-08
2003,1.7501075477710515e-08
2004,1.938108110111081e-08
2005,1.4411999038621559e-08
2006,1.4412615101377924e-08
2007,1.677681460421354e-08
2008,1.8306990812178014e-08
2009,3.909917967170884e-08
2010,1.842279351293996e-08
2011,2.6003009412356448e-08
2012,3.3702101359667225e-08
2013,2.0081699469987058e-08
2014,4.8505972405354925e-08
2015,4.1449958687600486e-08
2016,4.018399568650466e-08
2017,2.5659235902697475e-08
2018,2.039358665273383e-08
2019,3.6989323326519497e-08
