year,les_DET chantiers_NOUN
1874,1.7887979848474345e-06
1875,1.3731664907368213e-06
1876,1.5187589719189987e-06
1877,1.6228957022690338e-06
1878,1.5248698912451175e-06
1879,1.6220258844956703e-06
1880,1.942040296132319e-06
1881,2.236780369702096e-06
1882,1.7237446960916003e-06
1883,1.5545574205688695e-06
1884,1.9871107737046145e-06
1885,1.9085527870332797e-06
1886,1.914097324196007e-06
1887,1.9345203128295907e-06
1888,1.7658611461968121e-06
1889,1.9960726120871186e-06
1890,2.122965807149768e-06
1891,2.023177461563108e-06
1892,1.9068815046985321e-06
1893,2.2730714768770532e-06
1894,2.0606033084291653e-06
1895,2.0102172673119867e-06
1896,2.553413535055782e-06
1897,2.7414687133742177e-06
1898,3.1432162028721677e-06
1899,3.388405456661303e-06
1900,3.5870178081154336e-06
1901,3.6908030693894034e-06
1902,3.2471707491765756e-06
1903,2.9339395943850377e-06
1904,2.9528191269889703e-06
1905,3.5872435510952982e-06
1906,3.5731505541036768e-06
1907,3.200391439861505e-06
1908,3.256251048355807e-06
1909,3.0965035797692053e-06
1910,3.0231860250751197e-06
1911,3.3114008246570847e-06
1912,2.8844565651553467e-06
1913,2.9277805708716187e-06
1914,2.5561471579393924e-06
1915,2.631822168197573e-06
1916,2.7248905176691096e-06
1917,3.638659663351973e-06
1918,3.246050020777602e-06
1919,3.754039717307478e-06
1920,3.1038576935316087e-06
1921,3.176010299199561e-06
1922,3.3990149397311598e-06
1923,2.581798677514513e-06
1924,2.5177342291016203e-06
1925,2.7242487430356732e-06
1926,2.3039069070307505e-06
1927,2.553172540942228e-06
1928,2.7582464188213862e-06
1929,2.74611007000658e-06
1930,3.011383164164272e-06
1931,3.1627053793670257e-06
1932,3.119084057701116e-06
1933,3.052343183540529e-06
1934,3.110418274943072e-06
1935,3.299655976007898e-06
1936,3.314896911632559e-06
1937,3.92591054954039e-06
1938,3.0533080481731645e-06
1939,2.7055175682022536e-06
1940,2.2492395501672036e-06
1941,4.607295487346619e-06
1942,3.540925074929646e-06
1943,3.318397951090901e-06
1944,3.0171817186896988e-06
1945,3.450750327260721e-06
1946,2.940137328266701e-06
1947,3.0779689277338207e-06
1948,2.939758571685047e-06
1949,3.969016441729423e-06
1950,3.1246692202557824e-06
1951,3.758144146104314e-06
1952,3.3637923984031204e-06
1953,3.054380144362767e-06
1954,3.5914069442810614e-06
1955,3.1413630310339613e-06
1956,3.1928099417655176e-06
1957,3.1832640701168202e-06
1958,3.7158917365331945e-06
1959,3.760662874441323e-06
1960,3.4714900039034546e-06
1961,3.727687435173266e-06
1962,4.400683522476356e-06
1963,4.480974837406393e-06
1964,3.4368337722412434e-06
1965,3.6203038789039965e-06
1966,3.2686079727284323e-06
1967,3.164782402365063e-06
1968,2.9620887485037883e-06
1969,3.756033706281414e-06
1970,3.7898093196986338e-06
1971,4.04443259327536e-06
1972,3.850175133379707e-06
1973,3.953518522337163e-06
1974,4.356442602215793e-06
1975,4.298459927554177e-06
1976,5.034759823274726e-06
1977,4.392306628631104e-06
1978,4.427522696914821e-06
1979,3.7177586698078358e-06
1980,3.9733519230367165e-06
1981,4.589818715317051e-06
1982,4.444571622741478e-06
1983,3.84223836391584e-06
1984,3.0943510083147885e-06
1985,3.5930929271899004e-06
1986,3.3395278364878322e-06
1987,3.241177267909734e-06
1988,2.760813426760933e-06
1989,3.0272482476334517e-06
1990,2.8033310002228973e-06
1991,2.917837377935939e-06
1992,2.9836347721357015e-06
1993,3.096416930858936e-06
1994,2.8162834375677903e-06
1995,3.0663958554555393e-06
1996,2.986662508419613e-06
1997,3.082637647366937e-06
1998,3.0568476745429507e-06
1999,2.851348412491461e-06
2000,2.926504109268535e-06
2001,2.881523002429276e-06
2002,3.02348103531358e-06
2003,3.1610276636229173e-06
2004,2.897912217747489e-06
2005,3.1724411613254233e-06
2006,3.1452442428303584e-06
2007,3.2103632321422992e-06
2008,3.219901664408553e-06
2009,2.590558882076266e-06
2010,2.348197444490552e-06
2011,2.6748683659150174e-06
2012,2.178381357964554e-06
2013,2.125034413325011e-06
2014,2.189698205867785e-06
2015,1.9055898903275192e-06
2016,1.6411226848589422e-06
2017,1.6557753994561608e-06
2018,1.649557232141774e-06
2019,1.7634978615177488e-06
