year,vrais_ADJ champs_NOUN
1917,6.57985488317081e-09
1918,1.2635013924011673e-08
1919,9.207848705727883e-09
1920,1.0601124422748853e-08
1921,3.4077363153528495e-08
1922,1.1066902949607993e-08
1923,5.307974060286824e-09
1924,5.156649773851996e-09
1925,1.4297631523163545e-08
1926,1.89484357093761e-08
1927,1.5608915049369898e-08
1928,1.2568645679778001e-08
1929,5.570202965543558e-09
1930,2.100720708497761e-09
1931,2.2810713318222042e-09
1932,4.383814644626227e-09
1933,1.0323596200123575e-08
1934,8.38710612072191e-09
1935,3.590485242455088e-09
1936,4.849885826274658e-09
1937,7.554670666820584e-09
1938,9.075650453382877e-09
1939,3.058810094103137e-09
1940,1.2678914806940611e-08
1941,2.9515025978810172e-09
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,9.744772988540262e-09
1947,1.5497132244135514e-08
1948,9.784699273041042e-09
1949,7.853606653895895e-09
1950,8.508289184305795e-09
1951,5.330700769690111e-09
1952,3.690681538159879e-08
1953,1.0773827163745864e-08
1954,6.840775057526116e-09
1955,1.407841176970237e-08
1956,9.593255967388359e-09
1957,1.4136060322300636e-08
1958,7.445019267748876e-09
1959,4.650448914844674e-09
1960,1.1073333361366622e-08
1961,9.03260666262895e-09
1962,1.2683912808952869e-09
1963,8.405868889838075e-09
1964,7.909158661334459e-09
1965,9.849678406226303e-09
1966,9.970334780007306e-09
1967,7.3955032653394426e-09
1968,7.186265305048067e-09
1969,3.6334062425424918e-09
1970,7.817832603507213e-09
1971,3.083038491169532e-09
1972,4.6171320100540925e-09
1973,2.7566018356850464e-09
1974,4.500457340128605e-09
1975,5.140332159925265e-09
1976,5.142174241967723e-09
1977,2.938390863960194e-09
1978,7.128709622605811e-09
1979,8.192762912528906e-09
1980,3.411090521154847e-09
1981,3.1627747087981106e-09
1982,6.2075020679230875e-09
1983,5.052252838311233e-09
1984,5.219107812592938e-09
1985,5.414002135495366e-09
1986,3.5966913891627428e-09
1987,8.555143260480236e-09
1988,5.99655392008458e-09
1989,3.841685636274406e-09
1990,5.993515905799995e-09
1991,7.033758464558559e-09
1992,6.060938417817852e-09
1993,5.539207315052863e-09
1994,8.439882570598911e-09
1995,4.880205739521415e-09
1996,9.60856638698715e-09
1997,1.917957792585412e-09
1998,4.291316191284977e-09
1999,4.570201106446348e-09
2000,3.5344251969604557e-09
2001,6.571817479095188e-09
2002,7.886198361006791e-09
2003,7.083769126836614e-09
2004,6.6071867144135155e-09
2005,1.8014998381943315e-09
2006,6.588624035241963e-09
2007,7.988959049853861e-09
2008,2.128719839289417e-09
2009,1.430457752249481e-09
2010,8.502827775203059e-09
2011,4.206369030868018e-09
2012,5.7872298064864935e-09
2013,6.693900100884775e-09
2014,7.145969149746634e-09
2015,5.763096222466402e-09
2016,6.628287974042024e-09
2017,5.534344982294215e-09
2018,4.904786909953884e-09
2019,4.591778068885333e-09
