year,suis_VERB aux_ADP,suis_VERB chaud_ADJ
1919,1.2062281484759296e-07,9.207848372660976e-10
1920,9.313845339420368e-08,0.0
1921,1.2192123222121154e-07,0.0
1922,1.4534532510879217e-07,0.0
1923,1.6560879601001943e-07,0.0
1924,1.6888027687400609e-07,2.578324886925998e-09
1925,1.4077667742640187e-07,0.0
1926,1.2929520210036571e-07,0.0
1927,1.0703256236865855e-07,4.4596899506643695e-09
1928,1.2682906458394427e-07,2.2852082448565625e-09
1929,1.1920234754825287e-07,1.1140406375176326e-09
1930,1.2079144084964355e-07,0.0
1931,1.4712910001435375e-07,0.0
1932,1.1178727277183498e-07,0.0
1933,1.0323596200123575e-07,0.0
1934,1.365900175187562e-07,1.1981580172459871e-09
1935,9.813992818408224e-08,0.0
1936,8.366053094732706e-08,0.0
1937,8.184226629737168e-08,0.0
1938,8.557041297763135e-08,0.0
1939,8.411727492330101e-08,3.058810094103137e-09
1940,5.5787225505810056e-08,0.0
1941,5.312704587367989e-08,0.0
1942,1.2440268903901597e-07,0.0
1943,8.129058670647282e-08,2.9032352077962287e-09
1944,9.960876923287287e-08,6.4263723231761105e-09
1945,9.149717072887142e-08,2.178504043826024e-09
1946,1.1554516277101357e-07,1.3921104269343232e-09
1947,1.215928904230168e-07,3.5762612871081956e-09
1948,1.2502671609126992e-07,0.0
1949,9.915178367236877e-08,0.0
1950,1.4570444761830004e-07,0.0
1951,1.3326751968634198e-07,1.0661401761424827e-09
1952,1.0439355691005403e-07,0.0
1953,7.649417455013463e-08,3.232148326759443e-09
1954,1.504970583710019e-07,9.772536113672459e-10
1955,1.1450441661509103e-07,9.385607846468247e-10
1956,1.1860752380243866e-07,8.72114158667614e-10
1957,1.1397198562690392e-07,0.0
1958,9.264912392836777e-08,2.4816730892496253e-09
1959,1.007597205671118e-07,0.0
1960,9.758375085766602e-08,0.0
1961,1.1603425775774667e-07,3.47407969059077e-09
1962,1.0654486715111489e-07,1.9025869768540815e-09
1963,1.1638896069143811e-07,3.879631726988464e-09
1964,1.192457830256899e-07,6.083968329129164e-10
1965,9.466634764976334e-08,0.0
1966,8.862519962349324e-08,1.6617224263271169e-09
1967,1.0698828134536598e-07,4.930335584241163e-10
1968,1.2620878919733514e-07,8.982831700699023e-10
1969,1.1308976866075682e-07,0.0
1970,1.0071207867667908e-07,1.8394900047624674e-09
1971,1.0482330736749645e-07,1.0276794970565106e-09
1972,1.0875911016228201e-07,1.5390440033513642e-09
1973,9.868634975873647e-08,5.513203782392395e-10
1974,1.0013517481866074e-07,3.937900228123681e-09
1975,7.767613396936213e-08,1.7134440533084216e-09
1976,8.113207883297946e-08,5.713526873840635e-10
1977,7.992423434188822e-08,3.526069214387917e-09
1978,8.198016132610064e-08,1.1881182704343018e-09
1979,1.1001709765423584e-07,5.851973128301324e-09
1980,7.902359300260287e-08,1.7055452605774235e-09
1981,1.1069711547406769e-07,6.325549528618524e-10
1982,7.759378206628753e-08,4.345251713999687e-09
1983,1.0925496951585956e-07,2.5261264191556165e-09
1984,8.814492957753828e-08,1.739702604197646e-09
1985,9.143648327381015e-08,1.8046674155058895e-09
1986,1.0010790418846227e-07,5.994485463567401e-10
1987,9.655090593696514e-08,1.8332451112712533e-09
1988,1.0913728232253561e-07,0.0
1989,9.933501132763922e-08,2.7440609784434855e-09
1990,1.0297950581161786e-07,1.6345953479657283e-09
1991,8.909427151593263e-08,3.5168792322792797e-09
1992,1.0523993410060939e-07,0.0
1993,1.1410767086772466e-07,2.2156829704300662e-09
1994,1.1552089063116e-07,5.274926606624319e-10
1995,9.76041150124729e-08,2.7112254663563817e-09
1996,9.661946620553863e-08,1.6014276571496566e-09
1997,9.062350869726288e-08,9.58978896292706e-10
1998,1.3160037326542806e-07,3.337690568372409e-09
1999,1.1105588981763503e-07,2.285100553223174e-09
2000,1.2193767418011703e-07,1.7672125984802278e-09
2001,1.0558720475728478e-07,2.190605918883648e-09
2002,1.0646368053812694e-07,1.752488598683044e-09
2003,1.2084076672636002e-07,3.7502307925763034e-09
2004,1.2421511996763002e-07,2.2023955992267474e-09
2005,1.1169299085622697e-07,1.8014998381943315e-09
2006,1.2600743559687544e-07,2.4707338397433887e-09
2007,1.438012589005666e-07,1.1983438685803094e-09
2008,1.6050547912982438e-07,4.6831836186811415e-09
2009,1.902508870443853e-07,5.245011536203492e-09
2010,2.413858339878061e-07,3.7790344187271785e-09
2011,2.2370235797097848e-07,7.265546830836911e-09
2012,2.7846786565532966e-07,8.851056776393307e-09
2013,2.9787855737595237e-07,6.414987652192394e-09
2014,3.137730004709738e-07,1.2343037703033133e-08
2015,3.712763714247558e-07,1.0861219479352258e-08
2016,3.722198016475886e-07,9.942432654952427e-09
2017,3.491668394417502e-07,1.9873329648589788e-08
2018,4.579521828418365e-07,1.9102854409425163e-08
2019,4.0101528497871186e-07,2.1938495464723928e-08
