year,nos_DET chantiers_NOUN
1890,8.324070788212623e-08
1891,9.561330127638712e-08
1892,5.955086668230081e-08
1893,1.5026536503981447e-07
1894,1.2981170982584445e-07
1895,4.935263930860856e-08
1896,8.72760268499917e-08
1897,1.9169887366388139e-07
1898,1.9521324468030343e-07
1899,1.9954558538870515e-07
1900,2.1439049913141162e-07
1901,2.1237207281643578e-07
1902,2.558257818918719e-07
1903,1.6470672115076468e-07
1904,1.483396587786956e-07
1905,2.3945921778789625e-07
1906,2.0165203729050063e-07
1907,1.3731392378701912e-07
1908,1.7042520417120954e-07
1909,1.3862479075754663e-07
1910,1.1489924212071401e-07
1911,1.239647171580316e-07
1912,1.093978454491662e-07
1913,1.0446890019721877e-07
1914,1.1317496717566655e-07
1915,1.5668413944069925e-07
1916,3.109451771621252e-07
1917,4.024677693337253e-07
1918,4.3303638364022845e-07
1919,2.3203778098945804e-07
1920,2.8623034609154274e-07
1921,2.0067781303367838e-07
1922,1.9772866899359087e-07
1923,1.9108706172943357e-07
1924,1.1989211001761646e-07
1925,9.678396395429445e-08
1926,9.251294574852409e-08
1927,1.2933101167789118e-07
1928,2.559433101012587e-07
1929,1.0026365404591786e-07
1930,2.4368360129756184e-07
1931,1.813451646626163e-07
1932,1.2165085561122169e-07
1933,8.602996826034826e-08
1934,1.1981580350095555e-07
1935,9.335261719201071e-08
1936,1.3943422194628852e-07
1937,8.058315781322989e-08
1938,9.075650453382877e-08
1939,1.0247014081699035e-07
1940,9.635975173338807e-08
1941,1.1510859909691362e-07
1942,9.709477910568864e-08
1943,1.4806499892827674e-07
1944,1.6065930807940276e-07
1945,2.047793827841815e-07
1946,1.2389782710897634e-07
1947,1.2040079955255578e-07
1948,1.0545731510269718e-07
1949,2.316813958458397e-07
1950,1.637845643553959e-07
1951,1.3006910482005196e-07
1952,1.3391900388626254e-07
1953,1.1097042262875334e-07
1954,1.1531592902791488e-07
1955,1.0605736733282356e-07
1956,1.2558444151267167e-07
1957,9.365139774786257e-08
1958,1.1332973581801298e-07
1959,1.278873345000875e-07
1960,8.789458649793858e-08
1961,6.809196273493967e-08
1962,8.054284661440647e-08
1963,8.082566882450237e-08
1964,9.612670259784295e-08
1965,1.1381850484326606e-07
1966,9.41642710472479e-08
1967,8.085750247133205e-08
1968,6.557466991630179e-08
1969,1.0854801457682584e-07
1970,6.02432983498602e-08
1971,6.936836660642598e-08
1972,8.413440744092782e-08
1973,5.678599990233124e-08
1974,6.750686276646434e-08
1975,5.768594979471686e-08
1976,1.0912836589938024e-07
1977,6.699531107656753e-08
1978,8.435639664572392e-08
1979,6.495690740848659e-08
1980,9.437350056984428e-08
1981,7.970192250628116e-08
1982,8.690503117136927e-08
1983,8.651983307572664e-08
1984,5.335087860380838e-08
1985,4.692135124884089e-08
1986,5.454981805153025e-08
1987,9.166225600765188e-08
1988,3.17817343553628e-08
1989,4.884428772555793e-08
1990,5.176218526026233e-08
1991,4.630557681739589e-08
1992,3.2508671088393726e-08
1993,2.6588195312093887e-08
1994,3.534200837540524e-08
1995,2.3316537756112865e-08
1996,3.0427123709486636e-08
1997,4.507200757064567e-08
1998,3.33769062388356e-08
1999,2.9706308357635436e-08
2000,2.3415566374751506e-08
2001,2.102981588869568e-08
2002,3.50497728618393e-08
2003,3.3752076356030614e-08
2004,2.90716228035226e-08
2005,3.287737215806885e-08
2006,2.3471972088184856e-08
2007,2.516521996343002e-08
2008,2.6821869503201867e-08
2009,3.0993251742827965e-08
2010,3.873510112661904e-08
2011,1.8355065800612635e-08
2012,2.51914697990685e-08
2013,3.597971187652149e-08
2014,3.572984574873317e-08
2015,3.169702794680873e-08
2016,4.4533810861224765e-08
2017,2.7168602145799525e-08
2018,2.8654280670448173e-08
2019,2.5764975708497673e-08
