year,certains_DET airs_NOUN
1904,2.956043942958786e-08
1905,5.522012180847469e-08
1906,3.96102199928805e-08
1907,5.502842537197239e-08
1908,4.9605030305599485e-08
1909,3.355600064480768e-08
1910,5.6647995627656655e-08
1911,3.245428181752885e-08
1912,3.4903122170248935e-08
1913,4.45451151520615e-08
1914,4.218948390644073e-08
1915,1.5314990053916233e-08
1916,1.8678685265172135e-08
1917,3.180263163926611e-08
1918,4.020231791912465e-08
1919,4.235610151503977e-08
1920,5.149117443536966e-08
1921,5.906743028027961e-08
1922,3.6889677090812256e-08
1923,3.715581753382935e-08
1924,4.640984829773487e-08
1925,4.289289479153524e-08
1926,4.346993875969929e-08
1927,5.0171512722130274e-08
1928,3.085031063942978e-08
1929,3.230717737778832e-08
1930,7.562594328547334e-08
1931,3.763767875142321e-08
1932,4.822196164600001e-08
1933,3.900024991843054e-08
1934,6.47005329312833e-08
1935,4.308582113310422e-08
1936,6.062357416070085e-08
1937,2.5182236296217297e-08
1938,4.6674770715071645e-08
1939,6.576441879957429e-08
1940,3.296517903095264e-08
1941,6.198155411141215e-08
1942,3.034211815133858e-08
1943,3.4838823381733164e-08
1944,4.177142187700156e-08
1945,4.35700817646989e-08
1946,7.378185173934071e-08
1947,2.7418003423207438e-08
1948,4.566192846056083e-08
1949,4.0249735766551e-08
1950,3.6160229699433444e-08
1951,7.462981543859826e-08
1952,3.479785237736621e-08
1953,3.986316254867006e-08
1954,7.03622600184417e-08
1955,4.411235776657918e-08
1956,5.1454737137746065e-08
1957,4.594219671361088e-08
1958,3.8052319517589694e-08
1959,5.348016118844612e-08
1960,3.4604168197560625e-08
1961,3.335116538494276e-08
1962,3.9320128486508565e-08
1963,4.267595066220764e-08
1964,2.433587364958356e-08
1965,3.228505507379964e-08
1966,4.2096966801352664e-08
1967,3.9935716511507735e-08
1968,7.231179299793666e-08
1969,2.725054604191257e-08
1970,4.000890863053996e-08
1971,4.624557869981061e-08
1972,4.771036610229373e-08
1973,4.520827223686297e-08
1974,2.1377172254588572e-08
1975,3.25554365687708e-08
1976,2.456816594609279e-08
1977,1.9393379790955123e-08
1978,3.38613705963553e-08
1979,2.984506419778654e-08
1980,3.354238775621354e-08
1981,3.858585184701724e-08
1982,2.110550711975634e-08
1983,2.77873914988902e-08
1984,4.291266186839948e-08
1985,3.849957153079231e-08
1986,3.596691411367203e-08
1987,3.91092271900817e-08
1988,3.1182079085478875e-08
1989,3.677041826577465e-08
1990,2.6153524790295535e-08
1991,6.09592376576984e-08
1992,3.967159711848467e-08
1993,3.54509293032379e-08
1994,2.3209677513236215e-08
1995,3.470368570290816e-08
1996,4.4839973512011966e-08
1997,3.212579313682795e-08
1998,4.4343601235397045e-08
1999,3.244842838867612e-08
2000,3.2251629811241855e-08
2001,4.2935875743665974e-08
2002,3.724038233343663e-08
2003,3.625222833036901e-08
2004,4.228599514988218e-08
2005,3.0175122844866564e-08
2006,5.229720256849646e-08
2007,3.674921078555826e-08
2008,4.129716479894796e-08
2009,3.623826394516527e-08
2010,2.881513760932819e-08
2011,2.5620612076338034e-08
2012,3.23403994695326e-08
2013,2.6775599737405287e-08
2014,2.8367331372791682e-08
2015,4.167161793411367e-08
2016,3.3762842743811916e-08
2017,2.414986899346161e-08
2018,4.233605266357188e-08
2019,2.8826161957429264e-08
