year,ayez_VERB eu_VERB
1966,6.813061759203265e-08
1967,6.113616279890266e-08
1968,4.850729240502005e-08
1969,7.857241257624992e-08
1970,6.070317226658517e-08
1971,6.320228607137324e-08
1972,7.079602681869801e-08
1973,5.017015425323734e-08
1974,4.1629231617434925e-08
1975,4.397839603598186e-08
1976,3.94233339306993e-08
1977,3.8786758693731826e-08
1978,5.4653440884067095e-08
1979,5.969013017192992e-08
1980,3.865902442612423e-08
1981,5.060439534076977e-08
1982,4.903926864585628e-08
1983,5.7469375036589554e-08
1984,5.0451372857196475e-08
1985,5.353846788125338e-08
1986,4.855533219938479e-08
1987,4.3386798154188e-08
1988,5.097070854276353e-08
1989,4.445378820605583e-08
1990,3.705082818328265e-08
1991,4.9822453718206816e-08
1992,4.7385519508225116e-08
1993,4.4867579873653085e-08
1994,5.063929364723663e-08
1995,3.687266669771816e-08
1996,3.95018808774239e-08
1997,4.315404922294874e-08
1998,4.815810683567179e-08
1999,4.2959889867688617e-08
2000,4.152949628632996e-08
2001,4.600272518473503e-08
2002,4.381221430094229e-08
2003,5.625345878002008e-08
2004,4.2726476578991424e-08
2005,4.864049429897932e-08
2006,6.094477100759832e-08
2007,7.869124374337844e-08
2008,8.514879112908602e-08
2009,6.770833493874306e-08
2010,1.162053067105262e-07
2011,1.3230942386144307e-07
2012,1.450211613018837e-07
2013,1.762727066534353e-07
2014,1.9748860324853013e-07
2015,1.7821265885231696e-07
2016,1.915989571443788e-07
2017,1.4791794455959462e-07
2018,1.819933999058776e-07
2019,1.7805894003686262e-07
