year,plusieurs_DET chantiers_NOUN
1873,8.380406590902112e-09
1874,2.628828105200043e-08
1875,2.689117728493784e-08
1876,1.1487427897804992e-08
1877,1.1132669008873108e-08
1878,5.435179861734696e-09
1879,2.077170613290491e-08
1880,2.6313169643188417e-08
1881,2.5798278291411236e-08
1882,2.1962771157291172e-08
1883,1.0742875922176154e-08
1884,2.0465260597291035e-08
1885,1.2891271605752763e-08
1886,2.3877816612838387e-08
1887,2.2851235348397836e-08
1888,1.2047167929907232e-08
1889,2.004843729919159e-08
1890,2.6217546578166662e-08
1891,1.529812720946211e-08
1892,2.2566645441202127e-08
1893,2.6481190573690583e-08
1894,1.8904618759307823e-08
1895,2.5880042109349688e-08
1896,1.8280790214930676e-08
1897,2.0976168357833558e-08
1898,3.960848549144913e-08
1899,3.537650172802387e-08
1900,3.166542394961169e-08
1901,1.5648469298135126e-08
1902,2.1114219705964388e-08
1903,2.322094716511458e-08
1904,3.3860138692887176e-08
1905,2.7352023312943174e-08
1906,3.240836088380661e-08
1907,3.2914195813305014e-08
1908,2.062783344136676e-08
1909,4.1807473927235606e-08
1910,2.8323998924051352e-08
1911,2.0217422402879492e-08
1912,2.5526164293410147e-08
1913,3.1817939505351944e-08
1914,2.8795998752162433e-08
1915,3.180805663305364e-08
1916,1.3184954461564757e-08
1917,5.154219540060012e-08
1918,3.790504266021344e-08
1919,4.696002764426055e-08
1920,4.164727629429876e-08
1921,3.4077362764950436e-08
1922,3.46762982772475e-08
1923,1.5923922180860473e-08
1924,3.351822286390416e-08
1925,4.2892892793133797e-08
1926,2.3406890314880968e-08
1927,2.7873062080630007e-08
1928,3.427812300671462e-08
1929,1.4482528287729224e-08
1930,2.1007207751111423e-08
1931,4.334035352826504e-08
1932,2.6302887867757363e-08
1933,4.81767814530798e-08
1934,5.032263672433146e-08
1935,3.7101681726881e-08
1936,3.152425742669607e-08
1937,4.0291577185769256e-08
1938,2.593042824905467e-08
1939,2.5999885799876665e-08
1940,2.5357829613881222e-08
1941,3.5418032950929046e-08
1942,6.675266206457309e-08
1943,3.483882360377777e-08
1944,5.462416652335378e-08
1945,3.267756110147957e-08
1946,4.454753366189834e-08
1947,3.8146785952264395e-08
1948,4.348755267002957e-08
1949,5.006674363983166e-08
1950,3.935083880968193e-08
1951,2.4521223718210194e-08
1952,4.428817579338329e-08
1953,5.602390373837807e-08
1954,5.374894951337694e-08
1955,5.3497966057136637e-08
1956,5.930376412166538e-08
1957,4.4175190172524026e-08
1958,5.9560153697901796e-08
1959,6.43312061399115e-08
1960,5.605875030845198e-08
1961,5.628009036584558e-08
1962,5.961439131230151e-08
1963,9.634419129156413e-08
1964,4.623815774706941e-08
1965,5.2531615502005025e-08
1966,6.425326981585044e-08
1967,2.6130778651989317e-08
1968,3.59313258868621e-08
1969,5.041351203161071e-08
1970,5.288533766467651e-08
1971,4.4704059565248144e-08
1972,6.310080546967356e-08
1973,6.064524260551707e-08
1974,5.344293119158294e-08
1975,6.511087491389844e-08
1976,9.084507990309021e-08
1977,5.5241747620726755e-08
1978,7.544551294813573e-08
1979,6.846808719984665e-08
1980,5.628299115656432e-08
1981,7.906937149471105e-08
1982,6.021277298984273e-08
1983,8.27306383399673e-08
1984,5.277097736566816e-08
1985,7.699914483794146e-08
1986,7.073492946929605e-08
1987,6.844114874837715e-08
1988,6.236416094651531e-08
1989,5.7625284100026875e-08
1990,6.320435286255588e-08
1991,6.213153280754113e-08
1992,6.116038053782802e-08
1993,6.370088634355398e-08
1994,6.277162567513983e-08
1995,6.127369411856876e-08
1996,7.686852754318352e-08
1997,6.04156715766635e-08
1998,8.391907346805283e-08
1999,7.129513956982692e-08
2000,8.703521903186129e-08
2001,8.937672024700305e-08
2002,1.0646368497901904e-07
2003,9.04222279274336e-08
2004,1.0879834544397227e-07
2005,9.728099215067232e-08
2006,1.03770824821936e-07
2007,8.707965282184205e-08
2008,8.472305168538696e-08
2009,1.0156250063175776e-07
2010,7.085689368580006e-08
2011,6.691950948933822e-08
2012,6.74042026638233e-08
2013,5.6619238186783605e-08
2014,5.045487228017009e-08
2015,5.142455083984032e-08
2016,5.509764511302251e-08
2017,5.1570030912273523e-08
2018,6.50529612400419e-08
2019,6.453998935285199e-08
