year,as_VERB eu_VERB
1936,3.103926928815781e-07
1937,2.581179217031604e-07
1938,3.1116513810047763e-07
1939,3.1658683496971207e-07
1940,2.0032685199566913e-07
1941,3.6598632391360297e-07
1942,3.3679751254567236e-07
1943,3.135494068828848e-07
1944,3.373845345322479e-07
1945,4.966989308741177e-07
1946,4.176331174221559e-07
1947,4.4584058400687354e-07
1948,4.5770647716381063e-07
1949,3.524305896007718e-07
1950,5.28577459135704e-07
1951,4.0086871422317927e-07
1952,3.237254873056372e-07
1953,3.835482687009062e-07
1954,4.896040763924248e-07
1955,3.557145475951984e-07
1956,4.1163787045661593e-07
1957,3.640035401986097e-07
1958,4.4008334043610375e-07
1959,4.286163459710224e-07
1960,3.7856958101656346e-07
1961,3.696420662890887e-07
1962,4.6042603685236827e-07
1963,4.209400685795117e-07
1964,4.033670961689495e-07
1965,3.649852828857547e-07
1966,3.938282020499173e-07
1967,3.682960709738836e-07
1968,3.745840899682662e-07
1969,3.7742006497865077e-07
1970,3.168521516272449e-07
1971,3.5968781730844057e-07
1972,2.7138477776134096e-07
1973,3.3079223271670344e-07
1974,3.139068951441004e-07
1975,2.6501268735046324e-07
1976,2.58251418472355e-07
1977,3.138201520869188e-07
1978,2.7504938771016896e-07
1979,3.429256310027995e-07
1980,3.558904211331537e-07
1981,3.5676100651471643e-07
1982,3.0975436970948067e-07
1983,3.479739234535373e-07
1984,3.3576259284018306e-07
1985,3.783786155509006e-07
1986,3.7285698795130884e-07
1987,3.0309652743198967e-07
1988,3.6459047692005697e-07
1989,3.5672795206664887e-07
1990,3.6288014371166355e-07
1991,3.3410350397389266e-07
1992,3.300456512533856e-07
1993,3.7278866216183815e-07
1994,3.27572934111231e-07
1995,3.6709991491079563e-07
1996,3.36833608116649e-07
1997,3.763992140193295e-07
1998,3.4902706147477147e-07
1999,3.190000370523194e-07
2000,3.251671216730756e-07
2001,3.662693188744015e-07
2002,4.2278787759642e-07
2003,4.487775981942832e-07
2004,3.8630020071650506e-07
2005,4.0668859924153367e-07
2006,4.5749757759949716e-07
2007,8.356450962310191e-07
2008,9.779339507076656e-07
2009,1.0790419082695735e-06
2010,1.5583792674078722e-06
2011,1.6825476905069081e-06
2012,2.037785634456668e-06
2013,2.258354470541235e-06
2014,2.4614614630991127e-06
2015,2.4847809072525706e-06
2016,2.4893365662137512e-06
2017,2.871821834560251e-06
2018,2.9501002245524433e-06
2019,2.803025381581392e-06
