year,aurais_VERB eu_VERB
1891,7.266611135037238e-08
1892,7.334159590755007e-08
1893,9.237624709612646e-08
1894,7.939939195011902e-08
1895,9.990900196044095e-08
1896,7.84304887702092e-08
1897,8.565268672100501e-08
1898,6.111023509447477e-08
1899,7.572782578790793e-08
1900,9.188163829776386e-08
1901,7.712459648701042e-08
1902,7.365425602756659e-08
1903,6.75027536090056e-08
1904,8.330668777034589e-08
1905,6.863809431933987e-08
1906,5.2985100751357095e-08
1907,4.782844342798853e-08
1908,7.072399910157401e-08
1909,7.646367095048845e-08
1910,1.2451870645691088e-07
1911,8.086968961151797e-08
1912,9.012298818333875e-08
1913,6.999946577934679e-08
1914,7.768223042603495e-08
1915,6.597226587246041e-08
1916,5.273981784625903e-08
1917,6.031533672512523e-08
1918,4.9391417178412667e-08
1919,9.484083562938395e-08
1920,9.692456615084666e-08
1921,9.541661682987979e-08
1922,1.0476668421688373e-07
1923,1.242065934548009e-07
1924,9.797634703545555e-08
1925,7.368779364469447e-08
1926,1.1591983906100722e-07
1927,1.3267577969600097e-07
1928,8.6837914636817e-08
1929,1.3925507857948105e-07
1930,1.0713675635543041e-07
1931,8.211856794559935e-08
1932,7.233294496700182e-08
1933,7.341223806633934e-08
1934,5.870974462141021e-08
1935,9.095896302824258e-08
1936,8.366053094732706e-08
1937,7.80649358489427e-08
1938,6.741911562357927e-08
1939,6.72938256229827e-08
1940,5.0715659227762444e-08
1941,5.9030050181263505e-08
1942,7.282108072104165e-08
1943,7.548411673496958e-08
1944,5.1410978585408884e-08
1945,8.06046500656521e-08
1946,1.0997672461598995e-07
1947,9.298279479708071e-08
1948,7.284165093324191e-08
1949,7.755436826073492e-08
1950,9.678178969352302e-08
1951,1.0554787621686046e-07
1952,5.9050901057844385e-08
1953,8.619061730996691e-08
1954,1.0945240092041786e-07
1955,6.569925403709931e-08
1956,9.331621697583614e-08
1957,6.184526313290917e-08
1958,8.768578396711746e-08
1959,9.068374851040062e-08
1960,7.405292024031951e-08
1961,8.685199048841241e-08
1962,8.43480236767391e-08
1963,7.241979460559378e-08
1964,1.0768624036927577e-07
1965,6.402290608775729e-08
1966,6.037591759877614e-08
1967,8.23366050894947e-08
1968,8.084548852593798e-08
1969,8.220581548812333e-08
1970,7.128024037683645e-08
1971,5.1897814046242274e-08
1972,6.925698414761428e-08
1973,7.387693301552645e-08
1974,5.963106275430619e-08
1975,4.683413834527528e-08
1976,4.2280099421532213e-08
1977,5.582942819160053e-08
1978,5.0495025050167897e-08
1979,7.432006299268323e-08
1980,5.969408078954075e-08
1981,6.641827354769703e-08
1982,6.145427278170246e-08
1983,5.873243935639039e-08
1984,4.465236713713239e-08
1985,5.414002401948892e-08
1986,4.975423095743281e-08
1987,6.233032934233051e-08
1988,8.09534768109188e-08
1989,5.7625282323670035e-08
1990,5.1762185648840386e-08
1991,6.154538567670897e-08
1992,5.3997453619558655e-08
1993,5.594599628011565e-08
1994,3.639699386326356e-08
1995,6.886512693426994e-08
1996,7.046281780276331e-08
1997,6.712852496093547e-08
1998,5.769436484115431e-08
1999,6.124069784618769e-08
2000,7.378112343303656e-08
2001,6.790878614992835e-08
2002,6.878517666564221e-08
2003,6.667076490884938e-08
2004,7.620288755560978e-08
2005,6.440362199100491e-08
2006,8.894642178347567e-08
2007,1.1144597777956733e-07
2008,1.2772319735177007e-07
2009,1.0680751216796125e-07
2010,1.483271034885547e-07
2011,1.3154463829323504e-07
2012,1.8757432940219587e-07
2013,2.2675587274534337e-07
2014,2.3408462368479377e-07
2015,2.3673025850712293e-07
2016,2.3841123208967474e-07
2017,2.2741126315395377e-07
2018,2.700214167816739e-07
2019,2.5076209908547753e-07
