year,avais_VERB eu_VERB
1913,1.8984702876423398e-07
1914,1.553644608520699e-07
1915,1.5668413766434242e-07
1916,1.648119365427192e-07
1917,1.7436614996313438e-07
1918,1.7689019671252026e-07
1919,1.6113735057388112e-07
1920,1.915774561211947e-07
1921,1.885614153707138e-07
1922,2.257648219483599e-07
1923,2.717682718866854e-07
1924,2.552541502609529e-07
1925,2.188637466815635e-07
1926,2.831119161328388e-07
1927,2.5197249442499015e-07
1928,2.570859294337424e-07
1929,2.707118653688667e-07
1930,2.4578432089583657e-07
1931,1.9503160331169056e-07
1932,2.564531484949839e-07
1933,2.213837859699197e-07
1934,1.941016023465636e-07
1935,2.1901959712522512e-07
1936,1.7217094239185826e-07
1937,1.9768054926316836e-07
1938,1.892921375201695e-07
1939,1.4682288451695058e-07
1940,1.0396709626547818e-07
1941,1.9479917057196872e-07
1942,2.0632640485018783e-07
1943,1.9741999324196513e-07
1944,2.249230277584502e-07
1945,1.808158316407571e-07
1946,2.0464023009481025e-07
1947,3.1709515724287485e-07
1948,1.8482209895864798e-07
1949,2.1204738231972442e-07
1950,1.9356357938704605e-07
1951,2.9851923954993254e-07
1952,2.3409464233736799e-07
1953,2.0578009696237132e-07
1954,3.303117068753636e-07
1955,1.8771216048207862e-07
1956,2.1977277242513082e-07
1957,1.546131613849866e-07
1958,2.547851067902229e-07
1959,2.3329751286382816e-07
1960,2.387687629834545e-07
1961,2.244255483674351e-07
1962,1.9977161969109147e-07
1963,2.0497388675266848e-07
1964,2.2389004072920216e-07
1965,2.0082399032617104e-07
1966,2.0605358486136538e-07
1967,2.03129829401405e-07
1968,2.0570684000631445e-07
1969,1.6849921280481794e-07
1970,1.7107257122006558e-07
1971,1.5466576996914227e-07
1972,1.559564708486505e-07
1973,1.6043422590428236e-07
1974,1.3838906909313664e-07
1975,1.2165452289991663e-07
1976,1.4112411861333385e-07
1977,1.3927973441241193e-07
1978,1.5267319497525023e-07
1979,1.5156611254951713e-07
1980,1.6998600926854124e-07
1981,1.4865041464418027e-07
1982,1.7877606239835586e-07
1983,1.572513639302997e-07
1984,1.5599333380578173e-07
1985,1.1910805142179015e-07
1986,1.6484834475249954e-07
1987,1.6254773527180078e-07
1988,2.560528571393661e-07
1989,2.0690220026153838e-07
1990,1.5910060824353423e-07
1991,1.600180041805288e-07
1992,1.7356323667172546e-07
1993,1.8500952592148678e-07
1994,1.593027860735674e-07
1995,1.8382108635250916e-07
1996,1.7615704450690828e-07
1997,1.3425704992187093e-07
1998,1.9597011657879193e-07
1999,1.6498425736699573e-07
2000,1.8732453099801205e-07
2001,1.901445898511156e-07
2002,2.1292736107625387e-07
2003,2.0084569030132116e-07
2004,2.356563300054404e-07
2005,2.211341012525736e-07
2006,2.3060184162204678e-07
2007,3.1516444209955807e-07
2008,3.235654162381252e-07
2009,3.285284719822812e-07
2010,4.076633501881588e-07
2011,4.458751448055409e-07
2012,5.225527957009035e-07
2013,6.501450684481824e-07
2014,6.732369115525216e-07
2015,6.6652421537583e-07
2016,6.381798698384955e-07
2017,6.648760972893797e-07
2018,7.749563337711152e-07
2019,6.96164534019772e-07
