year,ces_DET chantiers_NOUN
1906,1.5689763238624366e-07
1907,1.1622825962787076e-07
1908,1.4586825081153165e-07
1909,1.353241924628712e-07
1910,1.218466376684546e-07
1911,1.3832972811655964e-07
1912,1.3648683427902597e-07
1913,1.962106164210553e-07
1914,1.5938250186309233e-07
1915,1.1427338897362915e-07
1916,1.4613325127754706e-07
1917,2.1274863115650078e-07
1918,1.8378202160107548e-07
1919,1.8323618711235667e-07
1920,1.4084351018794905e-07
1921,1.0904756220231349e-07
1922,1.8223500874992027e-07
1923,1.0828267349438647e-07
1924,1.3020540634567368e-07
1925,1.1218141349189636e-07
1926,7.022066927930837e-08
1927,9.58833363817746e-08
1928,6.627103932288492e-08
1929,1.1251810283496866e-07
1930,1.207914387402198e-07
1931,1.4484802868253155e-07
1932,1.380901633041276e-07
1933,1.2961847994930054e-07
1934,1.2580659536354233e-07
1935,1.4002892800846212e-07
1936,1.0912242798255534e-07
1937,1.6746186637384142e-07
1938,1.0501823943798172e-07
1939,8.105846660555471e-08
1940,1.0903866609623947e-07
1941,1.7413864883408792e-07
1942,1.608132205177526e-07
1943,1.974199967946788e-07
1944,1.5744612724688523e-07
1945,1.9170835763304694e-07
1946,1.3503471052445093e-07
1947,1.2636123503106944e-07
1948,1.4677048865152642e-07
1949,2.0517547383303025e-07
1950,1.5740334680103274e-07
1951,2.1109574888100724e-07
1952,1.6028101867959776e-07
1953,1.2282163286414516e-07
1954,1.5538333109077485e-07
1955,1.511082827754251e-07
1956,1.5174786072158497e-07
1957,1.1750600359405894e-07
1958,1.5717262913383934e-07
1959,2.1779601822036199e-07
1960,1.571029213387476e-07
1961,2.0149661139612363e-07
1962,1.870877155418782e-07
1963,2.3342452670771507e-07
1964,1.740014992090977e-07
1965,1.948047512190243e-07
1966,1.5066283609588282e-07
1967,1.61715013713426e-07
1968,1.630384000028684e-07
1969,1.6804503566447693e-07
1970,1.4761906896865185e-07
1971,1.587764870691899e-07
1972,1.7083388526017984e-07
1973,1.7807647889611644e-07
1974,2.17709622996054e-07
1975,2.1817853834704692e-07
1976,2.5482330001658227e-07
1977,1.8394326845028175e-07
1978,2.453464268414862e-07
1979,1.7146282549340697e-07
1980,1.6600640617703277e-07
1981,1.6256661716784748e-07
1982,1.6884406695005794e-07
1983,1.7114507144810887e-07
1984,1.519340262490232e-07
1985,1.4858428265540624e-07
1986,2.0141470646883874e-07
1987,1.7110286770760652e-07
1988,1.6250660705985354e-07
1989,1.2842206231766795e-07
1990,1.3294708689493007e-07
1991,1.8522230105233461e-07
1992,1.8954207292587455e-07
1993,1.61744864612956e-07
1994,1.719626072649305e-07
1995,1.680959762495604e-07
1996,1.772246560616253e-07
1997,1.9467271772377615e-07
1998,1.95016483850452e-07
1999,1.750387061127956e-07
2000,1.8467372364661117e-07
2001,1.734959806931613e-07
2002,1.9102125187187013e-07
2003,2.0917952814336616e-07
2004,1.889655497078202e-07
2005,1.7609661684403477e-07
2006,2.1948352602052523e-07
2007,2.1849802833706633e-07
2008,1.9413924645661496e-07
2009,2.0074090456567717e-07
2010,1.6297085264627142e-07
2011,1.483701186355546e-07
2012,1.2221267089995713e-07
2013,1.282997494911342e-07
2014,9.722849059201621e-08
2015,1.0861219515434506e-07
2016,9.46602390361484e-08
2017,1.0515255155496561e-07
2018,1.0506569703139235e-07
2019,9.923342692008674e-08
