year,aies_VERB eu_VERB
1949,1.2762110479513922e-08
1950,2.1270722072586068e-08
1951,1.5992101864981123e-08
1952,1.2653764258629963e-08
1953,9.69644453618912e-09
1954,1.8567819282111486e-08
1955,1.3139850985055546e-08
1956,6.976913269340912e-09
1957,5.301022731885041e-09
1958,1.1581140491045971e-08
1959,1.8601795659378695e-08
1960,2.906750040665429e-08
1961,1.80652133252579e-08
1962,1.77574772664002e-08
1963,1.4871922360271128e-08
1964,1.6426714211092985e-08
1965,9.302473458205895e-09
1966,1.273987226824147e-08
1967,1.6763140209263838e-08
1968,1.9313088017725022e-08
1969,1.9529558414888015e-08
1970,8.277704743875347e-09
1971,2.4664307929356255e-08
1972,9.747279428040656e-09
1973,1.7090931336838366e-08
1974,1.4626486688484874e-08
1975,8.567219822452898e-09
1976,1.1427053969725876e-08
1977,7.639816779203557e-09
1978,1.0693064211864112e-08
1979,1.8141117053005473e-08
1980,1.591842213599648e-08
1981,1.2018544381930951e-08
1982,6.2075020679230875e-09
1983,1.0736036948344463e-08
1984,1.681712546997005e-08
1985,1.2632671797518924e-08
1986,7.1933827783254856e-09
1987,1.2221633483022742e-08
1988,2.1587593934668803e-08
1989,7.134558721588746e-09
1990,1.8525414091641323e-08
1991,1.2309077312977479e-08
1992,1.4325855168806356e-08
1993,1.2186256448387667e-08
1994,1.2659823411809157e-08
1995,1.3013881527967897e-08
1996,1.2277611816102763e-08
1997,1.2466725429760572e-08
1998,1.4304387896402204e-08
1999,1.0054442611817649e-08
2000,1.6346715980830595e-08
2001,1.8839211080035057e-08
2002,1.62105191492401e-08
2003,2.2918076325595393e-08
2004,1.3654853248112886e-08
2005,1.7564623533417034e-08
2006,2.3471972809829822e-08
2007,3.914589896680809e-08
2008,5.492097088222181e-08
2009,6.389377915638761e-08
2010,8.975207066441726e-08
2011,8.833374920413917e-08
2012,1.1234033792106857e-07
2013,1.2104803204238124e-07
2014,1.3360796913275408e-07
2015,1.336594976919514e-07
2016,1.4354387189996487e-07
2017,1.4087423494402174e-07
2018,1.7605603375159262e-07
2019,1.6045713380208326e-07
