year,aurions_VERB eu_VERB
1915,4.217512810100743e-07
1916,4.3620224232654436e-07
1917,3.5969873124486185e-07
1918,3.549290283899609e-07
1919,3.80284149059662e-07
1920,3.369643195583194e-07
1921,3.241135857479094e-07
1922,3.430739923260262e-07
1923,3.1104727327146975e-07
1924,2.977965323225362e-07
1925,2.8925208539476444e-07
1926,2.5859040420073143e-07
1927,2.8542015684251965e-07
1928,2.4794508135528304e-07
1929,2.9856289529561764e-07
1930,2.762447763871023e-07
1931,2.600421282750176e-07
1932,2.32342173944744e-07
1933,2.1564845553712075e-07
1934,2.576039719315304e-07
1935,2.14232287021332e-07
1936,2.2794463916397945e-07
1937,2.1530811977754638e-07
1938,2.6578689471534744e-07
1939,2.4011660570977256e-07
1940,2.4850672275533725e-07
1941,2.0660517918713595e-07
1942,2.0936060707299475e-07
1943,2.52581457971246e-07
1944,2.9239993182272883e-07
1945,2.9191954808993614e-07
1946,2.7006942104890186e-07
1947,2.9206134399828443e-07
1948,2.3918153146951227e-07
1949,2.1793758264720964e-07
1950,2.605663667054614e-07
1951,2.6866732127928117e-07
1952,2.3409464233736799e-07
1953,1.960836613079664e-07
1954,2.091322670594309e-07
1955,2.1493042368092574e-07
1956,2.258775708696703e-07
1957,1.7846775790530955e-07
1958,1.9687939811774413e-07
1959,1.8911825350187428e-07
1960,2.2285082934558886e-07
1961,2.0288625535158644e-07
1962,2.4162852696463233e-07
1963,1.907485653873664e-07
1964,1.782602652156129e-07
1965,1.9371033488368994e-07
1966,2.2100908836364397e-07
1967,1.888318479359441e-07
1968,2.519684301205416e-07
1969,2.525217439597327e-07
1970,1.8624835718128452e-07
1971,2.0604973371973756e-07
1972,1.5903455619081797e-07
1973,1.615368745433443e-07
1974,1.7270505736632913e-07
1975,1.4792733793456136e-07
1976,1.794047506109564e-07
1977,1.604361443696689e-07
1978,1.615840830027082e-07
1979,1.7087762671508244e-07
1980,1.381491614438346e-07
1981,1.6256662149771728e-07
1982,1.421518049937731e-07
1983,1.4651533319920418e-07
1984,1.7107075223066204e-07
1985,1.3595160908153048e-07
1986,1.6185110496280686e-07
1987,1.2588282061187783e-07
1988,1.217300393818732e-07
1989,1.426911779844886e-07
1990,1.4220978528101114e-07
1991,1.365721402635245e-07
1992,1.2232075619067473e-07
1993,1.4512723112147796e-07
1994,1.566653224926995e-07
1995,1.480329103742406e-07
1996,1.2651278780140274e-07
1997,1.3713398061554471e-07
1998,1.2444817798495933e-07
1999,1.2293841678001627e-07
2000,1.418188162460865e-07
2001,1.3713193425246573e-07
2002,1.2705542928870273e-07
2003,1.2125745740831917e-07
2004,1.6077487430266046e-07
2005,1.1889898843264746e-07
2006,1.325960568010487e-07
2007,1.3061948322956596e-07
2008,1.6348568010471354e-07
2009,1.4209213361482398e-07
2010,1.573023098444537e-07
2011,1.62901201861132e-07
2012,1.9336155787641474e-07
2013,2.069530751214188e-07
2014,2.1870995681183558e-07
2015,2.2431743218476186e-07
2016,2.638887224293285e-07
2017,1.7986620548526844e-07
2018,2.3155756423420826e-07
2019,2.066300055503234e-07
