year,serez_VERB au_ADP
1925,1.0448268739082778e-07
1926,7.356451448004009e-08
1927,7.358488574027433e-08
1928,4.570416578530967e-08
1929,6.350031611646045e-08
1930,3.571225093423891e-08
1931,5.2464642408267537e-08
1932,6.13734059129456e-08
1933,6.079451253526713e-08
1934,6.470052937856963e-08
1935,4.787313656606784e-08
1936,6.911087524485993e-08
1937,5.5400921183945684e-08
1938,3.630260181353151e-08
1939,5.6587985852729616e-08
1940,5.5787225505810056e-08
1941,5.017554371988808e-08
1942,4.5513175450651033e-08
1943,7.83873517207212e-08
1944,8.996921252446555e-08
1945,5.8819608739213436e-08
1946,8.213451252458981e-08
1947,7.748565877818692e-08
1948,5.6533817627268945e-08
1949,7.853606831531579e-08
1950,6.912984673590472e-08
1951,7.782823274737893e-08
1952,5.377849987553418e-08
1953,5.8178667217134716e-08
1954,6.645324646115114e-08
1955,5.819076775992471e-08
1956,7.412970148834575e-08
1957,5.03597163969971e-08
1958,7.114129374485856e-08
1959,7.673240531858028e-08
1960,5.6750835142338474e-08
1961,7.642974964028326e-08
1962,7.737186535905494e-08
1963,5.302163685882988e-08
1964,6.509846173230471e-08
1965,5.034279837445865e-08
1966,6.646889971761993e-08
1967,6.360132687177611e-08
1968,5.075299824852664e-08
1969,5.7226149152711514e-08
1970,4.690699384468644e-08
1971,4.8300936583700604e-08
1972,5.4379555081141007e-08
1973,5.402939606824475e-08
1974,2.925297337696975e-08
1975,4.3407247574123176e-08
1976,3.713792295911844e-08
1977,5.641710743020667e-08
1978,5.8217796805593025e-08
1979,4.447499790671827e-08
1980,4.60497204812782e-08
1981,4.491140259688109e-08
1982,4.407326770206055e-08
1983,4.862793190341108e-08
1984,4.291266364475632e-08
1985,4.090579608373446e-08
1986,3.2969669661042644e-08
1987,4.522004459772688e-08
1988,4.61734650514245e-08
1989,4.280735410588932e-08
1990,3.596109721115681e-08
1991,4.278869525364826e-08
1992,3.856960972825618e-08
1993,3.545092752688106e-08
1994,3.270454485004848e-08
1995,3.199246023655178e-08
1996,3.096093337262573e-08
1997,3.5482219828963935e-08
1998,3.480734278582531e-08
1999,4.20458512451205e-08
2000,4.1971297548570874e-08
2001,5.5641390162008975e-08
2002,3.417352800738627e-08
2003,3.875238263617575e-08
2004,3.171449591832243e-08
2005,4.2785622156316094e-08
2006,5.270899094966808e-08
2007,7.110173783075879e-08
2008,5.875266850807748e-08
2009,7.247652433761687e-08
2010,8.833492870508053e-08
2011,1.701667571296639e-07
2012,1.8757432940219587e-07
2013,1.4698689199121873e-07
2014,1.6305801864291425e-07
2015,1.7510946292986773e-07
2016,1.7357830017772358e-07
2017,1.433898404457068e-07
2018,1.6650460565870162e-07
2019,1.6887538833998406e-07
