year,très_ADV eu_VERB
1949,3.9268033269479474e-09
1950,4.2541445921528975e-09
1951,2.1322803522849654e-09
1952,6.326882129314981e-09
1953,4.3095309543161875e-09
1954,7.818028890937967e-09
1955,4.6928039232341234e-09
1956,3.488456634670456e-09
1957,1.7670075402875796e-09
1958,4.1361216673863055e-09
1959,5.4255236969780185e-09
1960,3.4604166754270693e-09
1961,4.16889545107324e-09
1962,2.5367825617905737e-09
1963,2.5864212993553792e-09
1964,3.041984220075733e-09
1965,4.924839203113152e-09
1966,4.985167390003653e-09
1967,4.437302025817047e-09
1968,7.186265332803643e-09
1969,6.812636621500445e-09
1970,3.6789800095249348e-09
1971,4.624557625731995e-09
1972,1.0260293725750103e-09
1973,2.2052815684681093e-09
1974,2.8127858375803783e-09
1975,2.8557400888473694e-09
1976,5.713526984862938e-09
1977,1.1753563677885381e-09
1978,1.1881182704343018e-09
1979,1.1703946700691858e-09
1980,3.97960553399912e-09
1981,1.2651099057237047e-09
1982,1.2415004579935385e-09
1983,3.157658134966823e-09
1984,1.1598016991243298e-09
1985,1.2031116103372597e-09
1986,2.3977941854269602e-09
1987,2.4443267410134695e-09
1988,5.996553809062277e-10
1989,1.0976244357863152e-09
1990,2.724325487424295e-09
1991,1.7584396161396398e-09
1992,0.0
1993,1.1078414852150331e-09
1994,1.0549853213248639e-09
1995,4.337960657352369e-09
1996,2.135236876199542e-09
1997,4.79489448146353e-10
1998,1.9072516899143466e-09
1999,3.1991407301035224e-09
2000,0.0
2001,3.066848330846028e-09
2002,5.257465574004527e-09
2003,1.6667691671301554e-09
2004,4.404791253964646e-10
2005,2.251874686720612e-09
2006,3.7061009261485367e-09
2007,2.3966877371606188e-09
2008,1.2772318758180745e-09
2009,2.384096253749135e-09
2010,3.3066552274085836e-09
2011,1.911985902935953e-09
2012,1.7021263287730903e-09
2013,2.789125042035323e-10
2014,0.0
2015,1.7732603163622684e-09
2016,2.0713400439298368e-10
2017,1.7609279590047322e-09
2018,5.162933414126769e-10
2019,1.53059265262101e-09
