year,divers_DET chantiers_NOUN
1913,1.2727175757731857e-08
1914,1.4732836284281348e-08
1915,9.424609537234119e-09
1916,7.69122365795738e-09
1917,1.315970976634162e-08
1918,1.2635013924011673e-08
1919,2.3940405213807026e-08
1920,2.6502811500961343e-08
1921,1.5145495135815423e-08
1922,1.3280283539529592e-08
1923,2.441668023323018e-08
1924,1.675911143195208e-08
1925,8.798542339150117e-09
1926,1.114613823460786e-08
1927,4.905659012344188e-08
1928,2.170947865920425e-08
1929,1.5596569369336066e-08
1930,2.4158287814657342e-08
1931,3.307553342324354e-08
1932,1.753525902259412e-08
1933,1.3764794637438627e-08
1934,2.516131836216573e-08
1935,2.5133395809007197e-08
1936,1.8187072292619177e-08
1937,2.3923124703451037e-08
1938,2.3337385357535823e-08
1939,1.6823456405745674e-08
1940,2.5357829169792012e-09
1941,2.066051907334554e-08
1942,9.102635090130207e-09
1943,3.193558839598154e-08
1944,1.6065930807940276e-08
1945,4.35700817646989e-08
1946,2.0881657292193267e-08
1947,1.5497132244135514e-08
1948,1.6307831529616124e-08
1949,2.7487622844546422e-08
1950,4.6795588737325033e-08
1951,1.3859822622919182e-08
1952,2.003512733494972e-08
1953,2.0470271810957286e-08
1954,1.2704297169818801e-08
1955,2.2525458387434583e-08
1956,3.226822542501395e-08
1957,2.8272120644601273e-08
1958,9.926692190465047e-09
1959,2.5577467255288866e-08
1960,2.2146667222333605e-08
1961,3.0571901621367914e-08
1962,2.473363025501385e-08
1963,3.6856504515014876e-08
1964,2.3119079872735426e-08
1965,3.6115486157228816e-08
1966,2.326411452369115e-08
1967,2.1200443067748154e-08
1968,2.2906220920049236e-08
1969,1.816703096291228e-08
1970,2.8512094379928854e-08
1971,2.4150468291850302e-08
1972,2.5650734147841803e-08
1973,3.914374563374068e-08
1974,2.193973003272731e-08
1975,1.6563292071225533e-08
1976,2.4568166168137395e-08
1977,3.055926606210235e-08
1978,3.029701511891858e-08
1979,2.2822696621460636e-08
1980,3.8090507858967726e-08
1981,3.162774714349226e-08
1982,3.227901135272049e-08
1983,1.957747985947833e-08
1984,3.36342509399401e-08
1985,2.526534326197094e-08
1986,2.517683933556114e-08
1987,1.4665960723636573e-08
1988,1.4391728697660255e-08
1989,2.1952489270837816e-08
1990,2.4518929331307504e-08
1991,2.2273568156538914e-08
1992,1.928480486412809e-08
1993,2.326467135604915e-08
1994,1.7407257801860254e-08
1995,1.9520823790752928e-08
1996,1.6548084902368032e-08
1997,1.4384683777457496e-08
1998,1.9072516010965046e-08
1999,1.9194844824710344e-08
2000,2.4299172785013923e-08
2001,2.2782301017931772e-08
2002,2.584920721915296e-08
2003,1.7917768602160322e-08
2004,2.290491496470537e-08
2005,1.8465373230469595e-08
2006,2.4707338730500794e-08
2007,2.0371844655642235e-08
2008,1.660401513503551e-08
2009,1.3827758493789588e-08
2010,9.447585658239888e-09
2011,1.5295887223487625e-08
2012,1.1574459612972987e-08
2013,1.3387800312791853e-08
2014,1.234303721731056e-08
2015,1.041790459455072e-08
2016,1.1392369991813922e-08
2017,1.534522930946025e-08
2018,1.3939920551209184e-08
2019,8.928457140289225e-09
