year,es_VERB au_ADP
2002,4.9069679874946814e-08
2003,5.875361352991604e-08
2004,4.8893184612097684e-08
2005,5.4945743954704085e-08
2006,5.1061835648624765e-08
2007,8.148737862256894e-08
2008,8.429730513626055e-08
2009,7.962881198864125e-08
2010,1.2518052017185255e-07
2011,1.3957497912997496e-07
2012,1.6170200467513496e-07
2013,1.7125228168879403e-07
2014,1.764837804785202e-07
2015,1.9084714608652575e-07
2016,2.0216279494889022e-07
2017,2.3168780671767308e-07
2018,2.312994240583066e-07
2019,2.380071606467027e-07
