year,sois_VERB aux_ADP
1949,1.9634017078828947e-08
1950,2.1270722072586068e-08
1951,1.7058243040324328e-08
1952,3.1634410646574906e-09
1953,2.1547654771580937e-09
1954,7.818028890937967e-09
1955,4.6928039232341234e-09
1956,1.0465370126055973e-08
1957,9.718541527092839e-09
1958,9.099467845885556e-09
1959,4.650448914844674e-09
1960,7.612916519406099e-09
1961,6.94815938118154e-09
1962,6.341956293454132e-09
1963,5.819447923549603e-09
1964,7.300762105977299e-09
1965,4.924839203113152e-09
1966,9.416426749453422e-09
1967,1.4791007030279246e-08
1968,7.186265360559219e-09
1969,9.537691525451919e-09
1970,5.978342709767048e-09
1971,9.24911525146399e-09
1972,5.643161493651405e-09
1973,5.513203726881244e-09
1974,6.1881286761433785e-09
1975,3.4268881066168433e-09
1976,7.427584769459372e-09
1977,2.938390863960194e-09
1978,3.5643548113029055e-09
1979,7.607565355449708e-09
1980,3.411090521154847e-09
1981,8.223214109648325e-09
1982,7.449002747961231e-09
1983,3.1576580239445207e-09
1984,1.1018116197192285e-08
1985,6.617113856854928e-09
1986,8.991728250862252e-09
1987,9.166224945733603e-09
1988,5.996553698039975e-09
1989,3.2928733073589456e-09
1990,6.538381391862913e-09
1991,4.10302547493302e-09
1992,3.856960972825618e-09
1993,1.2186256725943423e-08
1994,5.274926717646622e-09
1995,1.5182862966867106e-08
1996,6.4057106285986265e-09
1997,3.3564262480467733e-09
1998,1.0013071261028017e-08
1999,5.0272213059088244e-09
2000,5.3016375733960786e-09
2001,6.133696300869573e-09
2002,2.6287329535357173e-09
2003,5.416999737661854e-09
2004,6.166707589017051e-09
2005,4.503749373441224e-09
2006,6.1768350434476815e-09
2007,4.393927444112933e-09
2008,5.108927669805752e-09
2009,5.721831008997924e-09
2010,1.1809482725055886e-08
2011,7.647943611743813e-09
2012,1.463828702696901e-08
2013,9.761937258545572e-09
2014,1.9489007255235613e-08
2015,1.4186082364364694e-08
2016,1.4085112409745193e-08
2017,1.408742333897095e-08
2018,1.9877293866432666e-08
2019,1.7091617454667585e-08
