year,auriez_VERB eu_VERB
1892,9.528138633640992e-08
1893,7.82118902975526e-08
1894,1.0964678409663975e-07
1895,1.0171458342256301e-07
1896,1.1381266062926443e-07
1897,8.79833734757085e-08
1898,1.0694290608626034e-07
1899,1.2823981876408652e-07
1900,1.0278284889864153e-07
1901,1.0618603596412868e-07
1902,9.86967023663965e-08
1903,1.2150495365403913e-07
1904,9.244355680948502e-08
1905,1.1250454434730273e-07
1906,7.253299827425508e-08
1907,9.051404248339168e-08
1908,9.331639461152008e-08
1909,1.0616898293847044e-07
1910,1.0634860103664323e-07
1911,9.789488331080065e-08
1912,1.0262559868579046e-07
1913,9.863560990197584e-08
1914,1.1317496984020181e-07
1915,5.890380805340101e-08
1916,5.383856560570166e-08
1917,6.799183438488399e-08
1918,5.743188324913717e-08
1919,1.0312790266198135e-07
1920,9.616734075734712e-08
1921,1.0223209301329916e-07
1922,1.6379016187784146e-07
1923,1.2526818693459063e-07
1924,1.250487571269332e-07
1925,9.128487477028102e-08
1926,1.058883185578452e-07
1927,1.3379069230268215e-07
1928,1.0854738974330758e-07
1929,1.1586022452547695e-07
1930,1.3129503884101723e-07
1931,9.238338805062085e-08
1932,8.658033578967661e-08
1933,8.02946331646126e-08
1934,9.824896096688462e-08
1935,1.1250187270661627e-07
1936,7.396075574206407e-08
1937,5.162358363008934e-08
1938,8.168085230408906e-08
1939,7.494084997006212e-08
1940,7.100192078723921e-08
1941,9.444808313219255e-08
1942,7.282108072104165e-08
1943,1.3935529352693266e-07
1944,9.318240046241044e-08
1945,9.149717072887142e-08
1946,9.744773166175946e-08
1947,1.4424253436118306e-07
1948,6.631851334759631e-08
1949,8.737137591197097e-08
1950,1.1592543813776501e-07
1951,1.151431376911205e-07
1952,8.119499028680366e-08
1953,9.696444891460487e-08
1954,1.1140691213995524e-07
1955,1.0605737088553724e-07
1956,9.854890237193104e-08
1957,9.718541349457155e-08
1958,8.685855590329083e-08
1959,8.758345160231329e-08
1960,8.651041838447782e-08
1961,9.17157052526818e-08
1962,9.068997997019324e-08
1963,7.823924619287936e-08
1964,1.320221088008111e-07
1965,1.1272409494722524e-07
1966,7.477751040596559e-08
1967,1.0304401598659751e-07
1968,9.70145848100401e-08
1969,8.129746476015498e-08
1970,1.1174901715094165e-07
1971,8.529740114227025e-08
1972,9.182962656950622e-08
1973,7.277429148189185e-08
1974,6.694430254583494e-08
1975,5.8257096924307916e-08
1976,5.713526718409412e-08
1977,5.641710743020667e-08
1978,7.306927329864266e-08
1979,7.72460495568339e-08
1980,5.2871900635409474e-08
1981,8.159958753140018e-08
1982,5.710901973543514e-08
1983,5.7469375036589554e-08
1984,6.72685018798802e-08
1985,5.233535560478231e-08
1986,6.773768745915731e-08
1987,4.949761489569937e-08
1988,5.696726290693732e-08
1989,5.488122312158339e-08
1990,4.6858399826987807e-08
1991,7.561290260582609e-08
1992,6.171137556520989e-08
1993,6.536264862688768e-08
1994,6.646407513244412e-08
1995,6.073145186746842e-08
1996,5.4982351116450445e-08
1997,5.6100265766190205e-08
1998,5.4833485307881347e-08
1999,7.129514045800533e-08
2000,4.329670844072098e-08
2001,4.950769394440613e-08
2002,4.468845915539532e-08
2003,6.583738354493107e-08
2004,4.052407831522942e-08
2005,6.620511783239635e-08
2006,6.218013481884554e-08
2007,7.749289920866431e-08
2008,7.70596599863893e-08
2009,7.629108011997232e-08
2010,9.636537612323082e-08
2011,1.2274949767743237e-07
2012,1.3038287249855784e-07
2013,1.6790532697541494e-07
2014,1.6977089956071723e-07
2015,1.861923379919972e-07
2016,1.895276113828004e-07
2017,1.3383052532844886e-07
2018,1.719256772503286e-07
2019,1.7984463340781076e-07
