year,deux_DET chaises_NOUN
1876,2.5393261537942635e-07
1877,2.6532859287442534e-07
1878,2.784019752510858e-07
1879,2.920257538008286e-07
1880,2.6890776272381345e-07
1881,3.1864360394706637e-07
1882,2.7886064390969523e-07
1883,2.9321733929776883e-07
1884,3.571518192302392e-07
1885,2.984329183775003e-07
1886,3.1944646217141326e-07
1887,2.552809537093026e-07
1888,3.2907789737635085e-07
1889,2.919553834246358e-07
1890,2.5955371718566767e-07
1891,2.6899207661301716e-07
1892,3.3223114570546386e-07
1893,2.395623974749128e-07
1894,2.419791060859211e-07
1895,2.75050670239807e-07
1896,2.7126334067872904e-07
1897,2.645327921158014e-07
1898,2.9310279359151536e-07
1899,3.233633503185729e-07
1900,3.1146318590913324e-07
1901,3.9959482478479913e-07
1902,2.3716670405349305e-07
1903,2.392297524522746e-07
1904,1.983236650460185e-07
1905,2.6835946265180155e-07
1906,2.62353415436678e-07
1907,3.6565615602057733e-07
1908,3.0254157223907896e-07
1909,3.619647337416154e-07
1910,3.072886727295554e-07
1911,2.644225967074476e-07
1912,2.797459064396435e-07
1913,3.0439161413653437e-07
1914,2.7188779050391076e-07
1915,3.3692980405675144e-07
1916,2.8127902673702465e-07
1917,3.1912296449831956e-07
1918,3.2621309387081965e-07
1919,3.37007239892273e-07
1920,2.847159237262531e-07
1921,2.703470745046843e-07
1922,3.2536696181750813e-07
1923,3.375871635569183e-07
1924,2.3849504593442816e-07
1925,3.3214497463518455e-07
1926,2.4521504560226504e-07
1927,4.4150931799435966e-07
1928,3.393534280249355e-07
1929,3.353262449934391e-07
1930,3.392663998624812e-07
1931,2.6916641893137694e-07
1932,2.4110980323399644e-07
1933,2.718546987523496e-07
1934,2.6718924672763933e-07
1935,2.6689274257307716e-07
1936,2.6553125920258935e-07
1937,2.631543623010657e-07
1938,2.7226950471970213e-07
1939,2.0188147065169915e-07
1940,2.155415437243846e-07
1941,3.18762278794793e-07
1942,2.6094220118011435e-07
1943,2.874202795766223e-07
1944,3.084658839469512e-07
1945,2.91919549866293e-07
1946,3.160090686904482e-07
1947,3.755074420297433e-07
1948,3.0223847069521526e-07
1949,2.778213410437047e-07
1950,3.6053876328878687e-07
1951,2.6973346223257977e-07
1952,3.057993023247718e-07
1953,3.167505298051765e-07
1954,3.1956193780047215e-07
1955,3.444517950867976e-07
1956,3.453572174905162e-07
1957,3.4279945015924795e-07
1958,3.0524576999368946e-07
1959,3.108049764222187e-07
1960,3.5573084034012936e-07
1961,3.49492415452346e-07
1962,3.4183144137500676e-07
1963,3.5175329582415316e-07
1964,3.924159575063868e-07
1965,2.993207708357204e-07
1966,4.6971354095148854e-07
1967,3.8604528995733745e-07
1968,3.408984614594601e-07
1969,3.424485290892676e-07
1970,3.2007126682387366e-07
1971,3.540355955067298e-07
1972,2.847231366231995e-07
1973,3.4678051097358775e-07
1974,3.1784480647445434e-07
1975,3.284101204314993e-07
1976,2.868190547289373e-07
1977,2.785594492848986e-07
1978,3.386137024108393e-07
1979,3.2712531528034106e-07
1980,3.6839776207386876e-07
1981,3.6435164840753487e-07
1982,3.6934638369956474e-07
1983,3.4102705903649166e-07
1984,4.0998990868956753e-07
1985,3.7236304173404733e-07
1986,3.878432242032659e-07
1987,2.8415298647388454e-07
1988,3.2441356179191416e-07
1989,4.132556110647556e-07
1990,3.748671772996204e-07
1991,3.933043188908414e-07
1992,3.6090134969413157e-07
1993,3.140730555628579e-07
1994,3.344303358687739e-07
1995,3.269737867128697e-07
1996,3.250898092943544e-07
1997,3.356426017120384e-07
1998,3.4378210322927316e-07
1999,3.432220996302249e-07
2000,3.644875903319189e-07
2001,3.540019122283411e-07
2002,3.4962147310579894e-07
2003,4.000246054403078e-07
2004,3.98193128248181e-07
2005,3.886735928659846e-07
2006,4.105536230980533e-07
2007,4.797369967945997e-07
2008,4.649124196731691e-07
2009,5.078125013824319e-07
2010,6.273197286077448e-07
2011,7.510280823908033e-07
2012,9.102971993968367e-07
2013,9.848400388534628e-07
2014,1.0820729876570567e-06
2015,9.941340621821837e-07
2016,9.963145330971201e-07
2017,9.780696785810505e-07
2018,1.1089980702649882e-06
2019,1.0604455873419738e-06
