year,beaux_ADJ ans_NOUN,beaux_ADJ champs_NOUN
1888,2.0924028731883482e-08,3.6775563927449184e-08
1889,2.6313573542324775e-08,4.636201111907212e-08
1890,2.8839300725280737e-08,3.1461055982617836e-08
1891,1.7210394887001712e-08,6.501704774564132e-08
1892,1.5044429702015805e-08,5.328235630486233e-08
1893,1.4164357686752282e-08,3.633465794905533e-08
1894,1.9534772022211655e-08,4.537108111435373e-08
1895,2.768562623600701e-08,3.91209944439197e-08
1896,2.6536630670648265e-08,3.951009475144929e-08
1897,1.5732126712464378e-08,3.612562338162206e-08
1898,2.9423445013776472e-08,5.997856078465702e-08
1899,9.949641111006713e-09,3.537650172802387e-08
1900,3.9971109089265155e-08,4.9315005412609025e-08
1901,8.38310842965484e-09,5.309301798206434e-08
1902,1.178468167495339e-08,3.4863013809172116e-08
1903,1.7820726228023887e-08,5.778235845355084e-08
1904,1.4511488011237361e-08,3.547252447333449e-08
1905,3.4061010012464976e-08,3.6641388589941926e-08
1906,3.600929110447737e-09,5.555719440053508e-08
1907,2.7771354993433306e-08,5.2457004073858116e-08
1908,1.080505640516094e-08,3.437972395659017e-08
1909,3.355599886845084e-08,4.7858556229130045e-08
1910,2.672075360976578e-08,6.733630186772643e-08
1911,1.702519725199636e-08,6.065226187956796e-08
1912,2.5005221004903433e-08,7.136907242966117e-08
1913,1.3787773589513108e-08,6.098438376511695e-08
1914,2.4777952134513725e-08,4.553785615257766e-08
1915,1.1780762143587253e-08,9.071186468645465e-08
1916,6.592477230782379e-09,6.152978926365904e-08
1917,1.2063066989753679e-08,6.908847183240141e-08
1918,2.067547733020092e-08,1.0682330042754984e-07
1919,3.591060959706738e-08,9.115770183143468e-08
1920,1.3630017114962811e-08,4.0890050456710014e-08
1921,1.2873671018098776e-08,4.619375815195781e-08
1922,3.6151885041135756e-08,6.49258353746518e-08
1923,4.458698299458774e-08,5.201814445854325e-08
1924,3.351822286390416e-08,5.543398629015428e-08
1925,1.6497267552040284e-08,7.258797296572084e-08
1926,2.452150482668003e-08,5.684530535177146e-08
1927,5.4631200896437804e-08,8.138934504131612e-08
1928,1.9424270192303084e-08,9.597874850442167e-08
1929,2.33948540540041e-08,5.681607362362229e-08
1930,5.2518016602221e-09,4.3064773080914165e-08
1931,3.5356606531422585e-08,6.50105320687544e-08
1932,9.863582839386709e-09,3.06867029564728e-08
1933,1.0323596200123575e-08,5.6206243215228824e-08
1934,1.0783422155213884e-08,6.230421689679133e-08
1935,2.2739740757060645e-08,6.343190506186147e-08
1936,1.4549657478823974e-08,4.364897421282876e-08
1937,1.7627565185307503e-08,3.021868266728234e-08
1938,5.704694316932546e-08,3.630260181353151e-08
1939,2.5999884911698246e-08,3.364691281149135e-08
1940,5.0715658339584024e-09,5.5787225505810056e-08
1941,2.6563522936839945e-08,4.7224041566096275e-08
1942,6.068423541449874e-09,7.58552971547033e-08
1943,3.193558839598154e-08,6.967764676346633e-08
1944,2.5705489292704442e-08,3.855823393905666e-08
1945,4.357008087652048e-09,5.446259976338297e-08
1946,5.4292307538617024e-08,4.5939643200654245e-08
1947,3.5762614203349585e-08,3.814678706248742e-08
1948,1.848220954059343e-08,5.0010683594337024e-08
1949,2.2579119018928395e-08,4.712163814701853e-08
1950,4.679559140186029e-08,4.998619829166273e-08
1951,2.2388944032059044e-08,3.6248767543156646e-08
1952,2.2144087452602434e-08,3.585233443459401e-08
1953,9.69644453618912e-09,5.386913670690774e-08
1954,2.34540866728139e-08,2.8340354063516315e-08
1955,1.407841132561316e-08,4.880516257799172e-08
1956,3.314033847345854e-08,3.314033847345854e-08
1957,6.184526224473075e-09,2.8272120644601273e-08
1958,3.3088973339090444e-08,4.1361218450219894e-08
1959,1.3951345856355601e-08,2.5577467255288866e-08
1960,2.6991250123842292e-08,4.844583401109048e-08
1961,2.431855783413539e-08,4.168895628708924e-08
1962,3.7417542841922113e-08,1.77574772664002e-08
1963,1.4225316924409981e-08,3.7503109950876024e-08
1964,2.311907998375773e-08,3.224503331011874e-08
1965,4.268193976031398e-08,2.7360217202954118e-08
1966,2.326411419062424e-08,3.711179985543822e-08
1967,3.747054933000982e-08,5.324762497593838e-08
1968,2.7397636159776084e-08,3.727875252934609e-08
1969,7.2668124850849836e-09,3.451735963722058e-08
1970,2.851209579546321e-08,2.0234390163409444e-08
1971,3.648262136835001e-08,2.003974941544584e-08
1972,1.1799337507056862e-08,3.385897073826527e-08
1973,1.8193572870472963e-08,3.0322620858669325e-08
1974,1.406392957647995e-08,1.518904291231138e-08
1975,1.1422960355389478e-08,1.9419033492340532e-08
1976,5.713526984862938e-09,2.3425460682346966e-08
1977,9.990529292736028e-09,1.9393379346865913e-08
1978,1.900989232694883e-08,2.4950484345254154e-08
1979,1.462993370893173e-08,2.2237498953359136e-08
1980,1.989802811408481e-08,2.615169236719339e-08
1981,1.5181319312773667e-08,2.84649726012276e-08
1982,9.932003663948308e-09,2.0484757001781873e-08
1983,1.2630632539867293e-08,2.3998200759933752e-08
1984,3.479405208395292e-09,1.739702604197646e-08
1985,7.218669662023558e-09,2.285912081845254e-08
1986,1.3787316177626963e-08,2.6975184752586756e-08
1987,6.110816741511371e-09,1.9554613928107756e-08
1988,6.596209356501959e-09,2.5185526553173077e-08
1989,1.1525056464734007e-08,2.250130037850795e-08
1990,9.262707045820662e-09,1.8525414091641323e-08
1991,4.68917216167597e-09,1.1136783939491579e-08
1992,1.2672871640972971e-08,1.8733810946969243e-08
