year,des_DET chantiers_NOUN
1904,6.342057714547877e-07
1905,6.435466790577493e-07
1906,5.128752063043862e-07
1907,4.926844064945257e-07
1908,5.58424962271431e-07
1909,5.181926425734673e-07
1910,6.135084751335285e-07
1911,5.671519014427417e-07
1912,5.053138614208308e-07
1913,5.271171490406346e-07
1914,4.486818241389301e-07
1915,5.277781409684934e-07
1916,5.757430043829004e-07
1917,6.228928848273085e-07
1918,5.456028597805584e-07
1919,7.347863171247582e-07
1920,5.792757420408634e-07
1921,6.618581025463754e-07
1922,5.651498469205762e-07
1923,5.169966863505238e-07
1924,4.125319934544791e-07
1925,3.926349485539049e-07
1926,4.4918939146043613e-07
1927,4.4819884514879504e-07
1928,5.290257174550561e-07
1929,3.932563394926092e-07
1930,5.220290919538684e-07
1931,5.793921475927277e-07
1932,5.808554446318226e-07
1933,5.24209283980781e-07
1934,5.30784015850827e-07
1935,5.744776290228515e-07
1936,6.244227819252046e-07
1937,6.157056566813424e-07
1938,5.328702874507485e-07
1939,4.725861613152915e-07
1940,4.082610547406773e-07
1941,6.021065250827462e-07
1942,7.676555675573127e-07
1943,6.154858915863315e-07
1944,6.554899822930338e-07
1945,7.406913695717776e-07
1946,5.74941594777556e-07
1947,6.830659309287057e-07
1948,7.229805323305527e-07
1949,8.00086167096481e-07
1950,8.359393888213162e-07
1951,6.55676220873147e-07
1952,6.769763913894167e-07
1953,6.528939362482333e-07
1954,8.550968892961919e-07
1955,7.630499201383145e-07
1956,6.32282759482905e-07
1957,7.10337030085384e-07
1958,7.271302262523704e-07
1959,8.611080897225065e-07
1960,7.287637675545966e-07
1961,7.378945099389966e-07
1962,7.648399424908803e-07
1963,8.308878403084918e-07
1964,7.154746892723551e-07
1965,7.283289473747345e-07
1966,6.624733330795607e-07
1967,7.168708098248544e-07
1968,6.090359896404607e-07
1969,7.52115093760608e-07
1970,6.893488819770255e-07
1971,7.209171410949011e-07
1972,6.828225753707784e-07
1973,7.701945889948547e-07
1974,8.533992232884202e-07
1975,8.652892287130953e-07
1976,9.878688089770549e-07
1977,7.504650163525639e-07
1978,9.207916775721969e-07
1979,7.625121281051861e-07
1980,7.367954992787418e-07
1981,8.539492011294669e-07
1982,8.231148136417232e-07
1983,1.028764952337724e-06
1984,7.161775261721459e-07
1985,8.758652363383135e-07
1986,7.223355265040254e-07
1987,7.363534173521202e-07
1988,6.386329802765545e-07
1989,6.36622170979706e-07
1990,7.056003230587748e-07
1991,7.051342603148214e-07
1992,6.507243970332866e-07
1993,7.200969474041585e-07
1994,6.662232383547462e-07
1995,6.642502388132243e-07
1996,6.816743738369269e-07
1997,7.221111104627198e-07
1998,7.390600078593934e-07
1999,6.338869074085096e-07
2000,7.192555546708945e-07
2001,6.510480510257821e-07
2002,8.19288409559249e-07
2003,7.233778358539666e-07
2004,7.439692666366682e-07
2005,7.579810805680154e-07
2006,7.651039570788498e-07
2007,7.5375829311497e-07
2008,8.157254320906304e-07
2009,7.757849100897829e-07
2010,7.912353030548047e-07
2011,8.068580861220198e-07
2012,9.395737583517416e-07
2013,7.036962710316175e-07
2014,6.292783840677885e-07
2015,6.474616518481469e-07
2016,5.594689520549423e-07
2017,5.260143183249966e-07
2018,5.563061007407555e-07
2019,5.196361856363296e-07
