year,deux_DET chantiers_NOUN
1877,1.855444720089139e-08
1878,1.0266450800600069e-08
1879,2.4437301293644964e-08
1880,2.3104246738014922e-08
1881,2.789003034076032e-08
1882,2.3959386252769832e-08
1883,4.2339571848515334e-08
1884,3.3668655419205606e-08
1885,2.7071669461697923e-08
1886,2.2587124393069757e-08
1887,1.5669418762520593e-08
1888,2.155808931370018e-08
1889,3.0699169151215955e-08
1890,2.818386235503567e-08
1891,3.6970476458009216e-08
1892,3.761107336686109e-08
1893,2.0322775018399852e-08
1894,1.6384002154978816e-08
1895,2.106515117894503e-08
1896,3.4792470238187434e-08
1897,2.4472197157621167e-08
1898,2.7725939211187267e-08
1899,6.577818112418754e-08
1900,3.9971109089265155e-08
1901,5.4210767430618034e-08
1902,4.8611811465093524e-08
1903,4.806195974538241e-08
1904,2.0961038238453966e-08
1905,4.5930754311029887e-08
1906,3.395161840558103e-08
1907,4.062846303831691e-08
1908,4.2237946473733246e-08
1909,4.7858555340951625e-08
1910,4.275320453217546e-08
1911,3.458243291731833e-08
1912,2.4484279492753558e-08
1913,3.181793806206201e-08
1914,3.6162416394702745e-08
1915,1.767114232720246e-08
1916,7.031975557403314e-08
1917,4.1672412742777e-08
1918,2.986458014220261e-08
1919,4.143531939782008e-08
1920,3.104614876292544e-08
1921,4.8465583546430935e-08
1922,2.0658218691238517e-08
1923,4.0340601970001444e-08
1924,3.3518224196171786e-08
1925,5.1691435132283914e-08
1926,2.2292277579438746e-08
1927,2.6758139037852402e-08
1928,3.19929166492372e-08
1929,2.33948540540041e-08
1930,4.516549445554574e-08
1931,4.5621427524622504e-08
1932,3.0686703178517405e-08
1933,4.014731813661854e-08
1934,4.193553060360955e-08
1935,2.752705352548901e-08
1936,4.4861444337129797e-08
1937,5.0364473036523805e-08
1938,4.4081729155820426e-08
1939,4.588214963519022e-08
1940,3.0429394115571995e-08
1941,2.3612020783048138e-08
1942,5.461581187304887e-08
1943,2.9032352077962287e-08
1944,3.213186161588055e-08
1945,2.832055345791673e-08
1946,4.315542323496402e-08
1947,5.3643919750712143e-08
1948,5.6533816739090526e-08
1949,5.2030145081261026e-08
1950,4.892266325384753e-08
1951,5.437314953837813e-08
1952,5.1669540646059886e-08
1953,3.986316032822401e-08
1954,5.0817186902918365e-08
1955,4.59894780036052e-08
1956,3.924513669595342e-08
1957,5.1243218113228295e-08
1958,5.6251254765271597e-08
1959,6.820658260409118e-08
1960,5.882708187243679e-08
1961,5.419564352848738e-08
1962,7.229830423227668e-08
1963,7.694603532115707e-08
1964,3.346182664287767e-08
1965,5.855086548933741e-08
1966,5.649856404943421e-08
1967,5.275459002973548e-08
1968,5.165128325046453e-08
1969,5.94970259726324e-08
1970,5.472482822455049e-08
1971,7.553444003605136e-08
1972,4.9762425291532963e-08
1973,5.678599901415282e-08
1974,7.031964610604291e-08
1975,4.854757973404844e-08
1976,5.827797400215218e-08
1977,6.405692065669655e-08
1978,8.257421946211707e-08
1979,5.149736370668734e-08
1980,5.5145962463143405e-08
1981,5.503228006631389e-08
1982,7.138627466929393e-08
1983,7.199460227980126e-08
1984,5.219107812592938e-08
1985,7.278824964984665e-08
1986,5.395036950517351e-08
1987,5.2553025042811896e-08
1988,5.157036309100249e-08
1989,5.4332410570623324e-08
1990,7.791570855175678e-08
1991,5.8614651798905015e-08
1992,4.573253775674857e-08
1993,4.265189557095539e-08
1994,5.2221774460292636e-08
1995,3.5788175978268555e-08
1996,6.565853460926974e-08
1997,4.938741149373982e-08
1998,7.199874829666442e-08
1999,6.30687742031455e-08
2000,6.627047355323157e-08
2001,5.651763146374833e-08
2002,6.790893358754602e-08
2003,6.542068842207982e-08
2004,6.122659979013179e-08
2005,6.755624415433203e-08
2006,6.176835043447682e-08
2007,4.473816961336752e-08
2008,6.045564493462052e-08
2009,6.246332162618273e-08
2010,5.999217211893892e-08
2011,3.671012982486843e-08
2012,4.629783756371353e-08
2013,3.6537537662084674e-08
2014,2.3170263444005634e-08
2015,3.9676700591684266e-08
2016,3.459137909445076e-08
2017,3.0438897624662786e-08
2018,3.6656826019054733e-08
2019,3.7499521710060435e-08
