year,plus_ADV égale_ADJ,plus_ADV egale_ADJ,plus_ADV légale_ADJ
1983,2.652432726790721e-07,6.315316047889041e-10,2.0209011353244932e-08
1984,4.036109828575718e-07,0.0,2.0876431250371752e-08
1985,3.2724636866987566e-07,6.015558051686298e-10,7.820225356169885e-09
1986,2.9612758112307347e-07,1.7983456945813714e-09,1.6185110141009318e-08
1987,3.3242844210690237e-07,4.277571630240118e-09,1.2832715334809564e-08
1988,2.81238385468896e-07,1.1993107618124554e-09,2.338656024392094e-08
1989,3.38068332439434e-07,1.6464366536794728e-09,2.5245361356951435e-08
1990,2.4845849111443385e-07,2.179460389939436e-09,1.471135746555774e-08
1991,2.2449411574143596e-07,1.1722930404189924e-09,2.05151273746651e-08
1992,2.5345744347760046e-07,1.1019888335184191e-09,2.2039776226279173e-08
1993,2.10489886853793e-07,1.661762283333701e-09,2.2156829260211452e-08
1994,1.909523490439824e-07,5.274926606624319e-10,2.004472143823932e-08
1995,2.288274316697425e-07,0.0,1.5182862966867106e-08
1996,2.2473368233022484e-07,5.338092190498855e-10,2.7758080278772468e-08
1997,1.534366163014056e-07,9.58978896292706e-10,1.2466725429760572e-08
1998,1.5162650868205674e-07,4.768129224785866e-10,2.288702027897216e-08
1999,1.5218769533476006e-07,4.570201161957499e-10,1.7823785114501334e-08
2000,1.9527699635091267e-07,2.2090156370779823e-09,2.474097726690161e-08
2001,1.3099823092943552e-07,0.0,2.760163475556965e-08
2002,2.06355537102354e-07,1.3143663935011318e-09,1.927737436346888e-08
2003,1.7209391955930187e-07,0.0,1.2917460878725251e-08
2004,1.6165583360816527e-07,0.0,1.2773894830786503e-08
2005,1.598831147475721e-07,4.5037495954858286e-10,9.908249332113428e-09
2006,1.3589036029770796e-07,0.0,1.7706927479821388e-08
2007,1.2462776055599534e-07,0.0,2.236908436259455e-08
2008,1.651886663012192e-07,0.0,2.2138685551453818e-08
2009,1.497212451795349e-07,0.0,2.1933685090402832e-08
2010,1.1998434956694837e-07,0.0,1.6060896612657416e-08
2011,1.3536860876683932e-07,0.0,1.4531093661673822e-08
2012,1.1948927181038016e-07,0.0,1.2595735121578855e-08
2013,1.3443582247418817e-07,0.0,1.8966050063795592e-08
2014,1.2971017326890433e-07,0.0,2.2520630693634303e-08
2015,1.5626856963990576e-07,0.0,1.6180999651282946e-08
2016,1.6839994998463226e-07,0.0,2.009199917551996e-08
2017,1.237680748999992e-07,0.0,1.5345229087415646e-08
2018,1.1745673589302896e-07,0.0,1.8070267060465994e-08
2019,1.5433475653026107e-07,0.0,1.3775333762566788e-08
