year,serions_VERB également_ADV
1907,1.4399961223432456e-08
1908,9.331639461152008e-09
1909,4.400786846048277e-09
1910,1.068830179917768e-08
1911,5.3203743632934675e-09
1912,1.5628263128064646e-08
1913,9.545381374209683e-09
1914,1.6072185360371805e-08
1915,1.8849219074468238e-08
1916,4.1752354462687435e-08
1917,1.6449636319748606e-08
1918,3.44591288836682e-09
1919,1.1970202606903513e-08
1920,6.815008557481406e-09
1921,6.815472630705699e-09
1922,5.164555005876537e-09
1923,3.1847844361720945e-09
1924,6.445812328337297e-09
1925,9.898360353588487e-09
1926,2.0063049888108253e-08
1927,6.689535148041159e-09
1928,4.570416489713125e-09
1929,2.1166771446701205e-08
1930,1.3654684494213143e-08
1931,1.4826963656844327e-08
1932,8.767629289252454e-09
1933,1.0323596200123575e-08
1934,2.036868629318178e-08
1935,2.393656828303392e-09
1936,2.424942913137329e-09
1937,2.5182236296217297e-09
1938,6.482607339819424e-09
1939,6.117620188206274e-09
1940,1.5214697057785997e-08
1941,0.0
1942,1.2136847082899749e-08
1943,8.709705845433291e-09
1944,3.2131861615880553e-09
1945,1.5249527862692958e-08
1946,1.3921104269343232e-09
1947,3.5762612871081956e-09
1948,1.3046265401328583e-08
1949,1.2762110479513922e-08
1950,1.1698897850465073e-08
1951,1.0661401539380222e-08
1952,1.370824520563474e-08
1953,7.54167928107563e-09
1954,5.863521668203475e-09
1955,3.754243138587299e-09
1956,3.488456634670456e-09
1957,8.835037590415595e-09
1958,7.445019267748876e-09
1959,3.8753737996444215e-09
1960,4.152500121534786e-09
1961,3.47407969059077e-09
1962,1.0781326054143392e-08
1963,1.0345685197421517e-08
1964,1.0951143103454797e-08
1965,6.0192477668863376e-09
1966,6.092982118843793e-09
1967,9.367637332502454e-09
1968,9.88111459321317e-09
1969,1.0446043141598693e-08
1970,1.2876429700270364e-08
1971,5.138397263237948e-09
1972,7.182205497002769e-09
1973,7.718485406371656e-09
1974,1.012602890426706e-08
1975,1.313640396460869e-08
1976,2.2282755196556536e-08
1977,5.876781727920388e-09
1978,7.128709622605811e-09
1979,1.7555919384903973e-08
1980,9.096241093686785e-09
1981,8.223214109648325e-09
1982,8.069752865935698e-09
1983,8.841442245000053e-09
1984,9.278413592994639e-09
1985,9.624892882698077e-09
1986,1.7983456501724504e-08
1987,1.2221633483022742e-08
1988,9.594486094499644e-09
1989,1.6464365870660913e-08
1990,1.3076762783725826e-08
1991,1.1136783939491579e-08
1992,5.509944056569793e-09
1993,9.416652346772025e-09
1994,1.002236071911966e-08
1995,4.337960657352369e-09
1996,5.3380921904988554e-09
1997,7.192341833217597e-09
1998,7.152193948201102e-09
1999,7.769341614505265e-09
2000,5.3016377954406835e-09
2001,3.066848330846028e-09
2002,3.504977197366088e-09
2003,6.667076668520622e-09
2004,5.285749615779878e-09
2005,3.602999676388663e-09
2006,4.529678854225949e-09
2007,5.592271090648637e-09
2008,3.405951742863067e-09
2009,5.721831008997924e-09
2010,5.196172381261022e-09
2011,4.5887662558641296e-09
2012,6.468080293586809e-09
2013,5.857162754807632e-09
2014,4.330890313042346e-09
2015,7.536356427806368e-09
2016,9.735297901158901e-09
2017,8.049956257139002e-09
2018,8.518839855753413e-09
2019,6.887666881283394e-09
