year,nos_DET égales_ADJ
1929,1.1140406375176326e-09
1930,1.8906487042613662e-08
1931,7.983749661377715e-09
1932,3.287861094491973e-09
1933,1.2617728417652074e-08
1934,1.4377896206951846e-08
1935,2.393656828303392e-09
1936,0.0
1937,1.2591118148108649e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,0.0
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,9.744772988540262e-09
1947,7.152522574216391e-09
1948,1.0871887834440486e-09
1949,2.945102384188658e-09
1950,2.1270722960764488e-09
1951,1.0661401761424827e-09
1952,7.381362521208246e-09
1953,9.69644453618912e-09
1954,0.0
1955,1.9709776921672528e-08
1956,1.3953826982771034e-08
1957,7.068030272172621e-09
1958,3.3088973783179654e-09
1959,9.300897829689347e-09
1960,2.7683333958528067e-09
1961,2.08444772553662e-09
1962,5.7077609305622445e-09
1963,7.112658795271898e-09
1964,1.034274621503073e-08
1965,6.5664522708175355e-09
1966,1.1078149508847446e-09
1967,4.930335639752315e-09
1968,1.3025106326836067e-08
1969,8.629339909305145e-09
1970,1.1496812390987543e-08
1971,3.5968783507200897e-09
1972,5.130146973897354e-09
1973,1.6539611902288698e-09
1974,6.1881286761433785e-09
1975,6.282628195464213e-09
1976,3.9994687561772935e-09
1977,9.990529292736028e-09
1978,3.5643548113029055e-09
1979,7.022368020415115e-09
1980,9.66475616204221e-09
1981,3.795329661659963e-09
1982,8.690503427999374e-09
1983,1.51567585149337e-08
1984,8.69851302098823e-09
1985,4.812446441349039e-09
1986,5.994485352545098e-09
1987,4.277571907795874e-09
1988,5.99655392008458e-09
1989,6.036934507847036e-09
1990,4.90378582185258e-09
1991,5.861465368628416e-09
1992,3.8569610283367695e-09
1993,1.6617622278225497e-09
1994,7.384897027229442e-09
1995,4.880205572987961e-09
1996,5.871901187504136e-09
1997,2.3974471297094624e-09
1998,7.629006759657386e-09
1999,5.941261704833778e-09
2000,5.3016377954406835e-09
2001,3.943090687297257e-09
2002,7.886198361006791e-09
2003,6.667076501987168e-09
2004,6.166707811061656e-09
2005,5.854874474131577e-09
2006,3.7061008706373855e-09
2007,5.192823337996089e-09
2008,3.83169571072095e-09
2009,1.0490023072406984e-08
2010,5.668551850135373e-09
2011,1.682547656756128e-08
2012,8.510631810398905e-09
2013,1.1993237514218436e-08
2014,1.1260315263550424e-08
2015,1.086121914628535e-08
2016,1.0563834390575622e-08
2017,8.301517390174595e-09
2018,1.2132893800753664e-08
2019,1.0714148679369373e-08
