year,es_VERB en_ADP
2009,7.343016505956257e-08
2010,1.1100913610562202e-07
2011,1.189255272038281e-07
2012,1.3548925892337138e-07
2013,1.584222957262682e-07
2014,1.7063707957731822e-07
2015,1.6380492695589055e-07
2016,1.7047128153535596e-07
2017,1.9546300222827995e-07
2018,2.0987324944599095e-07
2019,1.9974234533037816e-07
