year,soixante - dix lettres
1914,1.4773187118066744e-08
1915,1.2988097708444002e-08
1916,7.256016232304319e-09
1917,6.0305116456049745e-09
1918,1.0110157155907018e-08
1919,4.053978486240339e-09
1920,8.343376656227974e-09
1921,1.0864047439440583e-08
1922,1.4658995795002738e-08
1923,1.173141472854411e-09
1924,1.9948679153003468e-08
1925,1.0966667574052735e-08
1926,1.111113334673064e-08
1927,1.604548405254036e-08
1928,1.2651650838080286e-09
1929,7.405576152308413e-09
1930,3.4877380983289186e-09
1931,1.2628545986714812e-09
1932,6.064410307260459e-09
1933,1.6494370314035223e-08
1934,5.309670481068451e-09
1935,0.0
1936,9.395605182760391e-09
1937,6.973795318998555e-09
1938,0.0
1939,1.0165305042164618e-08
1940,5.629229971049199e-09
1941,3.2809635008845817e-09
1942,0.0
1943,2.8902354287652088e-08
1944,1.7747252556432613e-08
1945,2.4029620515619854e-09
1946,1.2317887598811694e-08
1947,2.633565587828457e-09
1948,9.625652386269223e-09
1949,7.571252069737966e-09
1950,1.411531691530854e-08
1951,1.2978965457932645e-08
1952,3.5040845780542895e-09
1953,1.0717434939522263e-08
1954,1.0806723294010112e-09
1955,7.271478530412878e-09
1956,6.752823633604521e-09
1957,6.845143563083411e-09
1958,1.0063810229610226e-08
1959,1.0289298302268435e-08
1960,3.826682970498041e-09
1961,1.533625781924286e-09
1962,2.0982773296651658e-09
1963,5.705746541906365e-09
1964,8.053575750732733e-09
1965,7.2406360906995815e-09
1966,5.499517286011724e-09
1967,7.0614524227963216e-09
1968,1.1364149399284429e-08
1969,1.4978221996031493e-09
1970,1.062154275643934e-08
1971,3.9664325157673375e-09
1972,2.2612016148393366e-09
1973,9.139922152456847e-09
1974,1.865787024879495e-09
1975,3.7893400639532615e-09
1976,1.89341031742174e-09
1977,5.8451946616244754e-09
1978,1.9630408409909705e-09
1979,3.864867093028579e-09
1980,5.009333836625274e-09
1981,4.873978109998234e-09
1982,3.4093572409688022e-09
1983,5.553545179282082e-09
1984,3.184065677785952e-09
1985,4.6258898933615455e-09
1986,6.58354371019243e-10
1987,2.685471844898757e-09
1988,4.610069659349847e-09
1989,6.630587190414872e-09
1990,5.372996270125441e-09
1991,4.500947503593977e-09
1992,4.2245250631012254e-09
1993,7.279286007300101e-09
1994,5.196032937249129e-09
1995,5.928857849113456e-09
1996,8.166944454046643e-09
1997,5.757664178762667e-09
1998,8.324096079093124e-09
1999,1.9442057186402906e-08
2000,7.226029108409193e-09
2001,1.4810146886645725e-08
2002,3.818676930222864e-09
2003,3.176552576533709e-09
2004,6.235649496755258e-09
2005,6.37641595080396e-09
2006,6.2823857227556346e-09
2007,6.54453624626683e-09
2008,6.508373062708017e-09
2009,3.6509877343604558e-09
2010,5.176862827305229e-09
2011,1.678570615837316e-09
2012,3.749565102850738e-09
2013,4.004252929235008e-09
2014,2.634670703827169e-09
2015,3.18684145739212e-09
2016,2.2924879355956662e-09
2017,1.9523138661270423e-09
2018,2.86499379775762e-09
2019,1.982750852391746e-09
