year,vingt - six lieues
1915,1.2988097264354792e-09
1916,8.465352863140652e-09
1917,9.64881863296796e-09
1918,1.2637696444883773e-09
1919,6.080967729360509e-09
1920,5.006025816101101e-09
1921,9.192655525680493e-09
1922,0.0
1923,4.692565891417644e-09
1924,2.849811275851266e-09
1925,2.4370372386783856e-09
1926,2.4691406697030516e-09
1927,3.702804063365761e-09
1928,0.0
1929,8.63983906640442e-09
1930,1.1625793661096395e-08
1931,3.788563684992141e-09
1932,1.2128820170431709e-09
1933,2.5375954670892042e-09
1934,5.309670481068451e-09
1935,6.631869275963709e-09
1936,1.342229327683242e-09
1937,0.0
1938,5.737644581671475e-09
1939,3.388435088069741e-09
1940,1.1258459942098398e-08
1941,0.0
1942,0.0
1943,3.2113727232996325e-09
1944,7.098901022573045e-09
1945,4.805924103123971e-09
1946,1.5397358943403106e-09
1947,2.633565587828457e-09
1948,0.0
1949,4.326429881018612e-09
1950,3.528829228827135e-09
1951,2.359811901442299e-09
1952,2.3360564593843947e-09
1953,1.1908261043913626e-09
1954,2.1613446588020224e-09
1955,2.0775652309623638e-09
1956,1.929378212750521e-09
1957,0.0
1958,9.14891806758078e-09
1959,1.7148831243929408e-09
1960,6.888029258078632e-09
1961,2.3004387283975802e-09
1962,6.994258061610026e-09
1963,2.1396548977037355e-09
1964,2.6845252687479615e-09
1965,5.430476957002384e-09
1966,2.444229929565722e-09
1967,9.234207176689324e-09
1968,1.0870055078271434e-08
1969,2.496370221649613e-09
1970,5.057877450198589e-10
1971,1.6998997764972046e-09
1972,1.130600835175244e-09
1973,1.8279844304913695e-09
1974,2.48771603317266e-09
1975,1.8946701985100844e-09
1976,6.311368094813474e-10
1977,6.494660920175477e-10
1978,1.3086939310014145e-09
1979,1.9324335465142894e-09
1980,4.383167162558266e-09
1981,2.0888477614278145e-09
1982,0.0
1983,6.941931474102603e-10
1984,1.2736263155233019e-09
1985,1.9825241448501174e-09
1986,1.316708742038486e-09
1987,6.713679612246892e-10
1988,1.9757440128387316e-09
1989,2.41112263488219e-09
1990,5.969995608978707e-10
1991,3.2149625184274555e-09
1992,2.414014321772129e-09
1993,1.8198214046805106e-09
1994,2.8866851131681415e-09
1995,5.928857960135758e-10
1996,1.1667063981590786e-09
1997,5.234240263440881e-10
1998,2.081024019773281e-09
1999,4.985142854074809e-10
2000,4.81735262791716e-10
2001,3.344226673362982e-09
2002,4.77334616277858e-10
2003,4.991725255365509e-09
2004,2.3983268704341754e-09
2005,4.904935346772277e-10
2006,2.6924511509207605e-09
2007,2.1815120820889433e-09
2008,1.3946513943707828e-09
2009,5.21569676337208e-10
2010,0.0
2011,1.678570615837316e-09
2012,3.749565102850738e-10
2013,3.6962333194168195e-09
2014,2.634670703827169e-09
2015,6.863966284242906e-09
2016,5.731219943072574e-09
2017,1.6734118535310927e-09
2018,1.718996278654572e-09
2019,3.965501704783492e-09
