year,aux_ADP égaux_NOUN
1908,1.964555629285769e-09
1909,4.950885035270858e-09
1910,1.068830135508847e-09
1911,1.5961122423746588e-09
1912,5.730363183964471e-09
1913,1.060597942803554e-09
1914,6.696743715117748e-10
1915,0.0
1916,0.0
1917,4.386569774084137e-09
1918,6.89182577673364e-09
1919,9.207848372660976e-10
1920,6.815008557481406e-09
1921,4.543648568500203e-09
1922,2.2133805899215986e-09
1923,0.0
1924,2.578324886925998e-09
1925,2.1996355847875293e-09
1926,3.343841648018042e-09
1927,1.1149224876660924e-09
1928,1.1426041224282812e-09
1929,0.0
1930,1.470504518152893e-08
1931,4.5621426636444085e-09
1932,0.0
1933,1.1470662197865522e-09
1934,1.1981580172459871e-09
1935,3.590485242455088e-09
1936,4.849885826274658e-09
1937,2.5182236296217297e-09
1938,2.5930428915188486e-09
1939,0.0
1940,0.0
1941,0.0
1942,3.034211770724937e-09
1943,1.7419411690866582e-08
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,0.0
1947,1.4305044926388177e-08
1948,2.174377566888097e-09
1949,5.890204990421921e-09
1950,6.381216888229346e-09
1951,4.264560704569931e-09
1952,4.2179215675730575e-09
1953,1.0773827385790469e-09
1954,0.0
1955,3.754243138587299e-09
1956,8.72114158667614e-10
1957,6.184526502028831e-09
1958,5.790570523078742e-09
1959,7.750747821333448e-10
1960,1.3841666701708277e-09
1961,3.47407969059077e-09
1962,5.7077609305622445e-09
1963,1.9398159745165344e-09
1964,6.083968329129164e-10
1965,4.377634810204256e-09
1966,3.8773524391189085e-09
1967,3.451234853457663e-09
1968,1.2126822601654652e-08
1969,4.5417576088890854e-09
1970,1.3796175313274261e-09
1971,3.0830383801472294e-09
1972,5.130146696341598e-09
1973,2.7566018911961976e-09
1974,4.500457451150908e-09
1975,3.4268881066168433e-09
1976,2.856763492431469e-09
1977,4.7014254711541525e-09
1978,4.1584139465200565e-09
1979,6.437170796402825e-09
1980,4.548120657865695e-09
1981,5.060439622894819e-09
1982,3.7245013739806154e-09
1983,5.052252838311233e-09
1984,8.118611838359158e-09
1985,6.015557940663996e-09
1986,2.9972427317837003e-09
1987,1.2221633705067347e-09
1988,5.396898261622596e-09
1989,4.390497743145261e-09
1990,1.1442166991670888e-08
1991,1.1136783939491579e-08
1992,7.713921945651236e-09
1993,9.970573700002205e-09
1994,7.912389743403025e-09
1995,8.133676565602599e-09
1996,4.80428297144897e-09
1997,4.79489448146353e-09
1998,1.0013071483072622e-08
1999,6.8553016596695215e-09
2000,4.418031607222872e-09
2001,4.381211837767296e-09
2002,5.695587890208742e-09
2003,7.083768904792009e-09
2004,7.047666034099009e-09
2005,7.656374534370514e-09
2006,4.941467679486777e-09
2007,4.793375307787784e-09
2008,4.257439817356712e-09
2009,2.860915504498962e-09
2010,7.085689646135762e-09
2011,2.676780297417025e-09
2012,2.7234021704458655e-09
2013,1.3945624655065103e-09
2014,3.6812567300037458e-09
2015,5.763096000421797e-09
2016,2.6927421403755147e-09
2017,5.53434476024961e-09
2018,3.614053334377587e-09
2019,2.2958890344426663e-09
