year,fausses_ADJ lois_NOUN
1951,1.0661401761424827e-09
1952,3.1634410646574906e-09
1953,6.464296653518886e-09
1954,5.863521668203475e-09
1955,3.754243138587299e-09
1956,6.104799332717903e-09
1957,9.718541527092839e-09
1958,9.926692356998501e-09
1959,1.7826719656000023e-08
1960,3.460416619915918e-09
1961,2.08444772553662e-09
1962,8.244543714397423e-09
1963,8.405868889838075e-09
1964,1.0951143103454797e-08
1965,3.830430195250756e-09
1966,4.431259803538978e-09
1967,2.9582012395223956e-09
1968,2.245707841908029e-09
1969,2.2708788183223305e-09
1970,4.1388523719376735e-09
1971,4.624557625731995e-09
1972,1.0260293725750103e-09
1973,4.410563025913916e-09
1974,6.750686232237513e-09
1975,4.569184142155791e-09
1976,3.4281160132820787e-09
1977,4.7014254711541525e-09
1978,5.940591130126904e-09
1979,7.607565244427406e-09
1980,4.548120546843393e-09
1981,1.2651099057237047e-09
1982,5.586751949948621e-09
1983,1.2630632095778083e-09
1984,4.059305780401701e-09
1985,1.0226449020933615e-08
1986,1.7983456945813714e-09
1987,1.2221633705067347e-09
1988,1.798966087207532e-09
1989,4.390497743145261e-09
1990,4.90378582185258e-09
1991,1.7584396161396398e-09
1992,3.30596661157756e-09
1993,5.539207315052863e-09
1994,4.747434001473039e-09
1995,2.1689803286761844e-09
1996,3.2028553142993132e-09
1997,1.917957792585412e-09
1998,2.3840645013706308e-09
1999,1.3710603763428253e-09
2000,4.418031274155965e-09
2001,5.695575122643959e-09
2002,8.76244299341522e-10
2003,9.167230530238157e-09
2004,3.0833537945085254e-09
2005,1.8014998381943315e-09
2006,7.412201963319376e-09
2007,7.190063211481856e-09
2008,2.554463751636149e-09
2009,1.907277002999308e-09
2010,2.8342759250676863e-09
2011,4.206369030868018e-09
2012,1.3617010852229328e-09
2013,2.7891249310130206e-09
2014,2.5985342766432495e-09
2015,4.654808538617772e-09
2016,1.6570720351438695e-09
2017,1.7609279590047322e-09
2018,2.8396134332808742e-09
2019,1.7856913725466939e-09
