year,moins_ADV égale_ADJ,moins_ADV egale_ADJ,moins_ADV légale_ADJ
1885,9.752246796779218e-07,1.933690763067375e-09,1.4180398189012067e-08
1886,1.0157751830774941e-06,0.0,1.4197620856748472e-08
1887,9.512643259768083e-07,1.9586774424595887e-09,1.0446279397058333e-08
1888,8.864179221745871e-07,0.0,9.510921827882157e-09
1889,9.554333928463166e-07,6.265136742733546e-10,6.891650361495749e-09
1890,9.739818551679491e-07,0.0,1.5075089621063853e-08
1891,1.0925413107543136e-06,6.374220040683554e-10,1.4023283867459213e-08
1892,8.826065140965511e-07,2.5074049503359674e-09,2.193979398157353e-08
1893,1.0395407343821716e-06,2.463366621796581e-09,9.23762488724833e-09
1894,1.0258905831506127e-06,3.780923574225881e-09,1.5123694296903523e-08
1895,1.1333050906614517e-06,1.8055843487019274e-09,8.426059849853118e-09
1896,1.0614652410367853e-06,0.0,1.0614652268259306e-08
1897,9.946199952537427e-07,1.7480140668268973e-09,1.981082675683865e-08
1898,1.067731545845163e-06,5.6583548957434e-10,1.0750873968845553e-08
1899,1.0253658047076897e-06,1.1055156790007459e-09,7.738609753005221e-09
1900,1.0989459724441986e-06,1.5573159428683425e-09,6.748368974740515e-09
1901,1.0875686484723701e-06,5.588738916095792e-10,1.1736351446245408e-08
1902,1.3390343838182162e-06,9.820567692386817e-10,2.455141867585553e-09
1903,1.226930066877685e-06,5.400220270956879e-10,2.052083658554693e-08
1904,1.1630688732111594e-06,1.6123875568041512e-09,8.061937784020756e-09
1905,9.882853646558942e-07,3.6125313851442797e-09,2.2707340008309984e-08
1906,1.1342926882207394e-06,0.0,1.2346042410626978e-08
1907,1.215768179463339e-06,1.5428529565042481e-09,8.228549397415463e-09
1908,1.1001511666108854e-06,9.822778146428846e-10,1.3260750719723546e-08
1909,1.2096662658223067e-06,3.300590023513905e-09,1.265226234892225e-08
1910,1.3216084653322469e-06,2.67207544979442e-09,7.481810726517324e-09
1911,1.1997443607469904e-06,2.128149656499545e-09,9.576673676292558e-09
1912,1.1580543741729343e-06,1.5628263128064646e-09,6.772247651554153e-09
1913,1.3071869489067467e-06,3.71209285532359e-09,5.833288518886093e-09
1914,1.4873468217047048e-06,1.3393487430235496e-09,1.0045115850232378e-08
1915,1.2628976264750236e-06,0.0,2.3561523843085297e-09
1916,1.4096914355832268e-06,5.493730803607377e-09,0.0
1917,1.258945530935307e-06,2.1932848870420685e-09,1.5352993543160665e-08
1918,1.3151900475349976e-06,3.44591288836682e-09,1.1486376294556067e-08
1919,1.3121183428665972e-06,9.207848372660976e-10,1.3811772170413406e-08
1920,1.5091458180904738e-06,7.572231730534895e-10,1.0601124422748853e-08
1921,1.4244337762647774e-06,3.7863738810983705e-09,6.815472630705699e-09
1922,1.4755870552107808e-06,2.951174193910333e-09,1.4755870969551665e-09
1923,1.4289066712080967e-06,7.431163684401554e-09,4.246379248229459e-09
1924,1.4941392691980582e-06,1.289162443462999e-09,2.578324886925998e-09
1925,1.213099039887311e-06,5.499089184013428e-09,1.2097995494286806e-08
1926,1.2929521062687854e-06,0.0,1.0031524944054127e-08
1927,1.169553684121638e-06,0.0,8.919379901328739e-09
1928,1.4831001635684515e-06,2.2852082448565625e-09,3.4278122562625413e-09
1929,1.392550757373101e-06,1.1140406375176326e-09,1.1140405931087116e-08
1930,1.5135692592593841e-06,3.1510811737689437e-09,6.302162347537887e-09
1931,1.4724315633429796e-06,0.0,5.7026783295555106e-09
1932,1.688864585958072e-06,1.0959536611565568e-09,5.4797681947604815e-09
1933,1.4223620610209764e-06,2.2941324395731044e-09,6.882397318719313e-09
1934,1.5504165276070125e-06,0.0,7.188948103475923e-09
1935,1.6755598153395113e-06,1.196828414151696e-09,8.377798899061872e-09
