year,aux_ADP livre_NOUN
1879,6.10932526790009e-10
1880,3.8507077526617195e-09
1881,1.3945015142624584e-09
1882,3.9932310791357395e-09
1883,1.8958017378167824e-09
1884,2.6406787867472303e-09
1885,1.9336907075562237e-09
1886,1.2906927748801422e-09
1887,6.528924623161458e-10
1888,1.268122939990235e-09
1889,1.2530273485467092e-09
1890,1.3108772956016423e-09
1891,1.9122659011827636e-09
1892,6.268512375839919e-10
1893,6.158416554491453e-10
1894,1.2603078580752936e-09
1895,4.213030146971164e-09
1896,8.255840344695287e-09
1897,4.078699378240458e-09
1898,5.6583548957434e-10
1899,4.4220627160029835e-09
1900,3.1146317747143826e-09
1901,5.029865079997364e-09
1902,2.946170307716045e-09
1903,1.0800440541913758e-09
1904,4.299700151477737e-09
1905,1.0321518084666081e-09
1906,1.5432553013283723e-09
1907,4.114274587685429e-09
1908,7.367083831866239e-09
1909,2.750491723269022e-09
1910,5.344150677544235e-10
1911,5.320374141248863e-10
1912,1.0418842455450772e-09
1913,2.6514948014977335e-09
1914,4.018046340092951e-09
1915,0.0
1916,1.0987462051303964e-09
1917,1.2063067211798284e-08
1918,5.743188147278033e-09
1919,2.762354511798293e-09
1920,3.028892692213958e-09
1921,1.5145494858259667e-09
1922,7.377935484775833e-10
1923,1.0615948120573648e-09
1924,0.0
1925,0.0
1926,4.458455382660986e-09
1927,5.574612438330462e-09
1928,0.0
1929,1.1140406375176326e-09
1930,3.1510811737689437e-09
1931,7.983749661377715e-09
1932,1.0959536611565568e-09
1933,8.02946331646126e-09
1934,7.188948103475923e-09
1935,4.787313656606784e-09
1936,4.849885826274658e-09
1937,6.295558963032022e-09
1938,0.0
1939,1.5294050470515685e-09
1940,1.01431314458722e-08
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,0.0
1946,0.0
1947,7.152522796260996e-09
1948,3.2615663503321457e-09
1949,1.9634016634739737e-09
1950,6.381216888229346e-09
1951,3.198420528427448e-09
1952,3.163441175679793e-09
1953,3.2321482157371406e-09
1954,1.9545072227344917e-09
1955,9.385607846468247e-10
1956,3.488456634670456e-09
1957,2.6505113659425206e-09
1958,0.0
1959,3.8753737996444215e-09
1960,4.152499955001332e-09
1961,2.0844477810477713e-09
1962,2.536782617301725e-09
1963,3.233026624194224e-09
1964,7.300761772910391e-09
1965,1.6416130121932326e-09
1966,3.3234448526542337e-09
1967,5.916402645578245e-09
1968,3.1439910674890825e-09
1969,5.450109252791435e-09
1970,5.058597540852361e-09
1971,2.0553589941130213e-09
1972,1.5390440033513642e-09
1973,5.513203782392395e-10
1974,1.6876715580593782e-09
1975,3.998036124386317e-09
1976,2.285410749536254e-09
1977,1.7630345516828072e-09
1978,8.910887139279566e-09
1979,5.851973350345929e-10
1980,3.4110903546213933e-09
1981,5.0604397339171214e-09
1982,6.207502289967692e-10
1983,6.315316047889041e-10
1984,1.7397025486864948e-09
1985,2.4062232206745193e-09
1986,4.196139768986029e-09
1987,1.8332451112712533e-09
1988,2.398621523624911e-09
1989,1.0976244357863152e-09
1990,5.448650863826288e-09
1991,4.10302547493302e-09
1992,3.30596661157756e-09
1993,1.1078414852150331e-09
1994,2.1099705871385765e-09
1995,5.422450655157007e-09
1996,4.804282749404365e-09
1997,3.3564261370244708e-09
1998,7.152193948201102e-09
1999,1.8280804925385752e-09
2000,4.418031607222872e-09
2001,3.066848330846028e-09
2002,3.5049770863437857e-09
2003,2.9168461535000745e-09
2004,1.3214373761893938e-09
2005,4.954124666056714e-09
2006,2.0589449589714093e-09
2007,3.595031605740928e-09
2008,3.4059516873519158e-09
2009,4.76819250749827e-10
2010,0.0
2011,2.2943831556876404e-09
2012,1.7021263842842416e-09
2013,1.3945624655065103e-09
2014,6.496335691608124e-10
2015,6.649726325136385e-10
2016,1.035670049720494e-09
2017,5.031222660711876e-10
2018,3.614053334377587e-09
2019,1.02039510174734e-09
