year,serais_VERB également_ADV
1920,4.543339038320937e-09
1921,7.572747762196741e-09
1922,1.9920426197472807e-08
1923,1.5923921736771263e-08
1924,1.5469948877466777e-08
1925,1.8696901804560184e-08
1926,1.89484357093761e-08
1927,8.919379901328739e-09
1928,1.3711249025050165e-08
1929,3.342121956961819e-08
1930,3.571225093423891e-08
1931,3.079446386777818e-08
1932,1.53433514782364e-08
1933,9.176529758292418e-09
1934,2.036868629318178e-08
1935,1.795242710045386e-08
1936,8.487299751891442e-09
1937,6.295559185076627e-09
1938,1.6854778905894818e-08
1939,1.070583532936098e-08
1940,2.5357829169792012e-09
1941,2.3612020783048138e-08
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,0.0
1945,1.3071024262956144e-08
1946,8.352662561605939e-09
1947,2.3841742802233057e-08
1948,3.152847583010043e-08
1949,5.890204768377316e-09
1950,1.701657836861159e-08
1951,1.5992101864981123e-08
1952,1.687168627029223e-08
1953,1.508335856215126e-08
1954,2.247683283940205e-08
1955,1.595553378308523e-08
1956,6.976913269340912e-09
1957,1.501956425897788e-08
1958,8.272243334772611e-09
1959,2.4802393028267034e-08
1960,1.4533750203327145e-08
1961,1.737039845295385e-08
1962,8.8787386332001e-09
1963,1.2285501505004959e-08
1964,1.4601523545820783e-08
1965,1.586892572902343e-08
1966,6.6468897053084675e-09
1967,1.1832804958089582e-08
1968,1.7516521566562915e-08
1969,9.991866889436096e-09
1970,1.2876429700270364e-08
1971,1.644287195290417e-08
1972,1.2825367434743384e-08
1973,7.718485406371656e-09
1974,7.313243344242437e-09
1975,1.8276736568623164e-08
1976,9.141642998145016e-09
1977,1.9981058585472056e-08
1978,1.3069301196821925e-08
1979,1.287434159280565e-08
1980,1.1370301145063877e-08
1981,1.3916208629893845e-08
1982,1.4898005495922462e-08
1983,2.0209011353244932e-08
1984,1.6237223121606803e-08
1985,1.0226449020933615e-08
1986,8.392279760016663e-09
1987,1.1610551631235921e-08
1988,1.0194141530917022e-08
1989,1.4269117443177493e-08
1990,1.3076762783725826e-08
1991,7.6199047072123e-09
1992,5.509944056569793e-09
1993,1.2740176913439427e-08
1994,8.439882570598911e-09
1995,5.4224509327127635e-09
1996,1.1209993822092201e-08
1997,1.4864173003559245e-08
1998,9.536258005482523e-09
1999,1.2339542720951613e-08
2000,9.277866475088103e-09
2001,7.886181485616817e-09
2002,1.0514931148009055e-08
2003,7.500461585152607e-09
2004,8.80958239690699e-09
2005,7.656374201303606e-09
2006,1.0294725072412803e-08
2007,1.1184542181297275e-08
2008,1.3198063086861112e-08
2009,1.6211854969583328e-08
2010,1.1337103700270745e-08
2011,1.3766299211681599e-08
2012,1.599998711299122e-08
2013,2.398647502843687e-08
2014,2.03551842048455e-08
2015,2.127912424043643e-08
2016,2.4648945995409122e-08
2017,2.1382696502314502e-08
2018,2.3749493038849323e-08
2019,4.61728788536675e-08
