year,vingt - trois lettres
1948,1.0828858698630484e-08
1949,1.1897682394845788e-08
1950,7.05765845765427e-09
1951,1.5338777359374944e-08
1952,1.5184367541110078e-08
1953,1.1908261043913626e-08
1954,1.729075727041618e-08
1955,2.5969565387029547e-08
1956,1.0611580059105563e-08
1957,5.867265784331721e-09
1958,1.2808485827520144e-08
1959,6.00209082435299e-09
1960,1.9898751091318445e-08
1961,5.367690292246152e-09
1962,1.3289090217138977e-08
1963,2.139654964317117e-08
1964,1.8791677547369545e-08
1965,2.2928680398770496e-08
1966,9.16586234689376e-09
1967,7.604641472092055e-09
1968,2.075192462314135e-08
1969,2.0969510461377183e-08
1970,1.3150481814605541e-08
1971,3.966432793323094e-09
1972,9.610106821433817e-09
1973,1.523320358742808e-08
1974,5.597361241171939e-09
1975,3.789340174975564e-09
1976,8.204778079168307e-09
1977,5.845194994691383e-09
1978,1.2432592289002287e-08
1979,5.153156124038105e-09
1980,1.37756679396972e-08
1981,6.2665432842834434e-09
1982,7.500585930131365e-09
1983,2.707353274900015e-08
1984,1.0189010080097205e-08
1985,1.4538510839656738e-08
1986,7.900252230186311e-09
1987,1.0741887823684237e-08
1988,1.3171626789265645e-08
1989,6.027806420672022e-09
1990,1.1939991662046623e-08
1991,1.3502842566293083e-08
1992,1.870861021657788e-08
1993,2.305107216216129e-08
1994,1.0392065874498257e-08
1995,1.4822144844828244e-08
1996,1.0500357916498615e-08
1997,8.374784477016561e-09
1998,1.976972824335732e-08
1999,7.97622834447509e-09
2000,1.3970322676470914e-08
2001,1.6721133533348365e-08
2002,1.0501361558112876e-08
2003,1.7244142336281243e-08
2004,1.4869626585589657e-08
2005,1.569579288762668e-08
2006,7.628611298216015e-09
2007,1.6143188785733287e-08
2008,9.297675518382675e-09
2009,1.512552016968982e-08
2010,4.659176600085857e-09
2011,7.133925228330895e-09
2012,1.874782551425369e-09
2013,3.080194321825047e-09
2014,5.029825889124595e-09
2015,6.863966284242906e-09
2016,8.023707920301604e-09
2017,3.904627676742933e-09
2018,8.021982522699034e-09
2019,3.965501704783492e-09
