year,aurons_VERB également_ADV
2007,2.157018919035636e-08
2008,2.682186917013496e-08
2009,1.907277002999308e-08
2010,2.5036102968556406e-08
2011,3.059177444697525e-08
2012,2.3489343803362317e-08
2013,2.147626254611623e-08
2014,2.533570864216017e-08
2015,1.4629397249166232e-08
2016,2.278474120487317e-08
2017,1.9621769098421282e-08
2018,2.2458760184917992e-08
2019,2.0918099252753564e-08
