year,avions_VERB également_ADV
1907,4.165703160197154e-08
1908,3.5361999550787004e-08
1909,3.850688656825696e-08
1910,3.099607326362275e-08
1911,4.415910481725405e-08
1912,5.3136098188133474e-08
1913,4.295421618394357e-08
1914,5.2234600644851525e-08
1915,8.835571208010151e-08
1916,4.9443578120644815e-08
1917,5.3735480065597585e-08
1918,2.986458014220261e-08
1919,2.301962176431971e-08
1920,4.846228307542333e-08
1921,3.710646367949266e-08
1922,3.024953443286904e-08
1923,2.9724654737606215e-08
1924,4.2542360745301266e-08
1925,3.189471442510694e-08
1926,5.9074533709235766e-08
1927,3.4562596340492746e-08
1928,3.6563331917705e-08
1929,7.464072382390441e-08
1930,4.8316575629314684e-08
1931,7.071321306284517e-08
1932,6.02774505864545e-08
1933,4.932384811695556e-08
1934,5.751158482780738e-08
1935,6.462873614054843e-08
1936,7.032334536916096e-08
1937,4.658713592675667e-08
1938,3.1116513810047763e-08
1939,2.7529290846928234e-08
1940,5.0715659227762444e-08
1941,4.132103725851266e-08
1942,8.192371581117186e-08
1943,3.4838823381733164e-08
1944,2.8918675454292497e-08
1945,8.496165548876888e-08
1946,5.568441707737293e-08
1947,8.225401160188994e-08
1948,6.84928949112873e-08
1949,7.657266820615405e-08
1950,9.252764243683487e-08
1951,7.569595084078173e-08
1952,5.799642011083961e-08
1953,5.4946518446286063e-08
1954,8.306655985279576e-08
1955,6.569925403709931e-08
1956,7.936238688444064e-08
1957,5.8311247386200193e-08
1958,7.362296372548371e-08
1959,6.820658171591276e-08
1960,5.329041741219953e-08
1961,5.697490479406042e-08
1962,6.912732430919277e-08
1963,6.336732383260824e-08
1964,6.449006662023749e-08
1965,6.785333539482963e-08
1966,6.646889971761993e-08
1967,5.669885894121762e-08
1968,5.6591840547071115e-08
1969,5.313856732414024e-08
1970,5.196559271780643e-08
1971,5.241165368374823e-08
1972,5.335352781798974e-08
1973,4.6310912438229934e-08
1974,5.0630145409513716e-08
1975,7.13935008889166e-08
1976,6.342014557958464e-08
1977,7.052138073504466e-08
1978,6.831680110508387e-08
1979,5.442335293537326e-08
1980,6.99273527970945e-08
1981,6.70508271127801e-08
1982,7.262777756977812e-08
1983,5.999550012347754e-08
1984,6.204938785003833e-08
1985,7.278825364664954e-08
1986,5.7547062226603884e-08
1987,5.255302326645506e-08
1988,5.5168296597685185e-08
1989,6.750390468823753e-08
1990,6.701840504774736e-08
1991,5.6270067716468475e-08
1992,5.234446831536843e-08
1993,5.373031086719493e-08
1994,7.01565241456592e-08
1995,7.157635195653711e-08
1996,5.2847113352072483e-08
1997,6.425158716183432e-08
1998,6.627699633554585e-08
1999,8.45487235778819e-08
2000,7.157211001640462e-08
2001,6.308945188493453e-08
2002,6.440395594609072e-08
2003,6.458730439362625e-08
2004,6.342899183664485e-08
2005,7.16096195674254e-08
2006,6.876876312844615e-08
2007,5.831940086409304e-08
2008,6.85447787418525e-08
2009,6.246332162618273e-08
2010,7.510831068202606e-08
2011,8.298019338326412e-08
2012,7.012760505631377e-08
2013,8.897308845234875e-08
2014,8.163728182353225e-08
2015,7.248201683296429e-08
2016,7.622531228435037e-08
2017,9.28260561749994e-08
2018,9.060948258365897e-08
2019,7.295825099618014e-08
