year,toutes_DET égales_ADJ
1893,1.1700991287000306e-08
1894,1.827446460822557e-08
1895,2.4074457982692365e-09
1896,6.486732040400511e-09
1897,1.7480140668268973e-09
1898,1.13167097914868e-09
1899,1.3818945987509323e-08
1900,8.824790675987515e-09
1901,1.3412973842719111e-08
1902,5.892340837476695e-09
1903,2.1600881083827517e-09
1904,2.1498500757388683e-09
1905,8.773290538499623e-09
1906,1.0288368990085672e-08
1907,7.199980611716228e-09
1908,1.276961114626829e-08
1909,4.950885035270858e-09
1910,8.550641084070776e-09
1911,0.0
1912,2.083768435579003e-09
1913,1.2727175313642647e-08
1914,4.68772043404897e-09
1915,3.5342285764627945e-09
1916,5.493730803607377e-09
1917,4.386569774084137e-09
1918,9.189101035644853e-09
1919,1.8415696745321952e-09
1920,5.300562211374427e-09
1921,4.543648624011354e-09
1922,1.1066902949607993e-08
1923,6.369568872344189e-09
1924,2.578324886925998e-09
1925,9.898360353588487e-09
1926,1.4489979882625903e-08
1927,0.0
1928,2.2852082448565625e-09
1929,1.0026365959703298e-08
1930,5.2518016602221e-09
1931,1.1405356659111021e-09
1932,3.2878609834696704e-09
1933,1.0323596200123575e-08
1934,7.188948103475923e-09
1935,7.180970484910176e-09
1936,7.274828739411987e-09
1937,1.0072894518486919e-08
1938,0.0
1939,9.176430282309411e-09
1940,0.0
1941,0.0
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,0.0
1945,8.714016175304096e-09
1946,5.568441707737293e-09
1947,7.152522574216391e-09
1948,4.348755133776194e-09
1949,6.8719057111366055e-09
1950,6.381216888229346e-09
1951,1.0661401539380222e-08
1952,2.1089607837865287e-09
1953,5.386913581872932e-09
1954,5.863521668203475e-09
1955,6.569925492527773e-09
1956,2.616342476002842e-09
1957,6.184526224473075e-09
1958,4.963346011965797e-09
1959,3.8753737996444215e-09
1960,1.3841666701708277e-09
1961,2.08444772553662e-09
1962,8.244543714397423e-09
1963,2.5864212993553792e-09
1964,6.083968329129164e-10
1965,2.188817349590977e-09
1966,7.754704767215514e-09
1967,3.944268467392931e-09
1968,4.491415683816058e-09
1969,2.2708788183223305e-09
1970,4.598724956395017e-09
1971,1.0276794970565106e-09
1972,4.6171320100540925e-09
1973,3.859242703185828e-09
1974,3.3753431161187564e-09
1975,1.1422960355389478e-09
1976,3.4281160132820787e-09
1977,2.3507127910882275e-09
1978,2.3762365408686037e-09
1979,4.096381456264453e-09
1980,5.685150683554241e-10
1981,0.0
1982,6.207502400989995e-09
1983,3.78918940668882e-09
1984,4.639206796497319e-09
1985,6.015558051686298e-10
1986,2.997242676272549e-09
1987,6.110816741511371e-09
1988,1.1993107618124554e-09
1989,8.232183268397364e-09
1990,2.179460389939436e-09
1991,3.516879065745826e-09
1992,1.1019888335184191e-09
1993,2.2156829704300662e-09
1994,1.5824779264761446e-09
1995,4.337960657352369e-09
1996,4.80428297144897e-09
1997,2.876936688878118e-09
1998,2.3840645013706308e-09
1999,0.0
2000,1.3254094488601709e-09
2001,3.0668482198237257e-09
2002,3.9430991805033955e-09
2003,2.9168460979889232e-09
2004,2.2023956547378987e-09
2005,4.053374524914943e-09
2006,2.0589450144825605e-09
2007,1.5977917877663117e-09
2008,2.554463751636149e-09
2009,2.860915504498962e-09
2010,3.7790344187271785e-09
2011,2.6767803251726008e-09
2012,1.7021263842842416e-09
2013,3.068037490727704e-09
2014,1.5158115873603606e-09
2015,1.551602762939197e-09
2016,1.6570720906550207e-09
2017,1.7609279867603078e-09
2018,1.0325866828253538e-09
2019,2.55098775436835e-09
