year,plusieurs_DET livres_NOUN
1917,2.7087067966391487e-07
1918,2.630380286916534e-07
1919,3.572645095317739e-07
1920,2.6654255336211463e-07
1921,2.408133661924161e-07
1922,2.597033423867856e-07
1923,3.5881905224854904e-07
1924,3.751462709367104e-07
1925,2.936513392448603e-07
1926,3.544472164662693e-07
1927,3.0325892741434046e-07
1928,2.947918700257901e-07
1929,3.408964228679423e-07
1930,3.676261255414204e-07
1931,3.2619319867421837e-07
1932,2.893317532226547e-07
1933,3.613258470203107e-07
1934,3.318897601189974e-07
1935,3.5426119815440416e-07
1936,2.8735572454863245e-07
1937,3.135188357816787e-07
1938,3.3190949189076946e-07
1939,3.2270447292148674e-07
1940,4.0572527915117007e-07
1941,2.538292278586596e-07
1942,3.0038695886247524e-07
1943,3.6871085917766777e-07
1944,3.7272960007328493e-07
1945,2.9845504867509476e-07
1946,3.2853807230281973e-07
1947,3.5404986209464084e-07
1948,3.3376696761955316e-07
1949,2.984370475189735e-07
1950,3.179972958289312e-07
1951,3.2730504173628105e-07
1952,2.9314556004855774e-07
1953,3.813934983387668e-07
1954,3.4106152080326524e-07
1955,3.6791584001605315e-07
1956,3.3838029001032055e-07
1957,3.534015061146256e-07
1958,2.66366246226557e-07
1959,3.751361807857734e-07
1960,4.311679102642074e-07
1961,3.6408354109340735e-07
1962,3.7798060081861706e-07
1963,3.9636905446727155e-07
1964,4.514304530189861e-07
1965,4.1696969965698827e-07
1966,4.3370955893351493e-07
1967,4.930335713027034e-07
1968,4.2937936584053205e-07
1969,4.2647105580329026e-07
1970,4.3595914434035876e-07
1971,4.968830307205963e-07
1972,3.99125413830248e-07
1973,3.826163510467495e-07
1974,3.887270110247698e-07
1975,4.1522459737208806e-07
1976,3.9137658958132704e-07
1977,3.855168849153934e-07
1978,5.055443361712264e-07
1979,4.5703913142958186e-07
1980,4.7471008679522697e-07
1981,4.61765128356717e-07
1982,4.4569866242127887e-07
1983,4.730171845324094e-07
1984,5.288695774652297e-07
1985,4.842524115034053e-07
1986,4.789593845977436e-07
1987,5.304188990251646e-07
1988,5.40889143141321e-07
1989,6.37719825391514e-07
1990,5.475894100381851e-07
1991,5.767681545698622e-07
1992,6.23174666980475e-07
1993,5.899256017016796e-07
1994,5.776044779692846e-07
1995,5.514632248626583e-07
1996,6.234891625211958e-07
1997,6.180618727924525e-07
1998,6.036451460911252e-07
1999,5.977822974401192e-07
2000,5.893653840516322e-07
2001,6.019784808408701e-07
2002,6.322102334976876e-07
2003,6.779583490157393e-07
2004,6.250398936202828e-07
2005,6.692571847821682e-07
2006,7.235132475358341e-07
2007,6.7906151257624e-07
2008,6.407446702105801e-07
2009,5.860108398536568e-07
2010,5.347333678074051e-07
2011,5.196777843330391e-07
2012,4.830634536823197e-07
2013,4.431919704561693e-07
2014,4.621060030740587e-07
2015,4.6525918784290354e-07
2016,4.374670166118477e-07
2017,4.518037877154768e-07
2018,4.817017011937708e-07
2019,4.7193274688162035e-07
