year,énormes_ADJ lettres_NOUN
1924,1.289162443462999e-09
1925,2.1996355847875293e-09
1926,7.802296586589819e-09
1927,1.2264147031260109e-08
1928,9.14083297942625e-09
1929,5.570202965543558e-09
1930,9.453243521306831e-09
1931,9.124285327288817e-09
1932,1.3151444377967891e-08
1933,4.588264879146209e-09
1934,2.3963160344919743e-08
1935,2.393656828303392e-09
1936,6.0623572828433225e-09
1937,0.0
1938,2.5930428915188486e-09
1939,3.058810094103137e-09
1940,1.0143131667916805e-08
1941,0.0
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,1.927911696952833e-08
1945,3.0499055725385915e-08
1946,1.5313215584455975e-08
1947,2.0265479960812627e-08
1948,8.697510267552389e-09
1949,6.8719057111366055e-09
1950,8.508289184305795e-09
1951,1.7058242818279723e-08
1952,1.4762725264461096e-08
1953,3.232148326759443e-09
1954,1.3681550115052232e-08
1955,5.631364707880948e-09
1956,6.104799332717903e-09
1957,7.951533653738352e-09
1958,7.445019267748876e-09
1959,9.300897829689347e-09
1960,2.076250060767393e-09
1961,8.33779090214648e-09
1962,1.4586500007851555e-08
1963,3.2330267352165265e-09
1964,1.0951143103454797e-08
1965,8.755269398363907e-09
1966,7.754704434148607e-09
1967,1.4791006641701188e-08
1968,5.3896989093971115e-09
1969,6.358460868938209e-09
1970,5.978342709767048e-09
1971,1.0790635052160269e-08
1972,8.721249500354133e-09
1973,7.718485406371656e-09
1974,1.1251143128276908e-08
1975,1.4278700888326057e-08
1976,3.9994687561772935e-09
1977,1.057820764316375e-08
1978,8.910887139279566e-09
1979,9.363157360553487e-09
1980,7.95921106799824e-09
1981,1.2651098835192442e-08
1982,6.2075020679230875e-09
1983,1.0736036948344463e-08
1984,1.797692661398287e-08
1985,1.142956040922627e-08
1986,1.2588419195935785e-08
1987,7.944062296871834e-09
1988,1.199310784016916e-08
1989,4.939309850016116e-09
1990,9.262707045820662e-09
1991,1.641210189973208e-08
1992,7.713921945651236e-09
1993,9.416652346772025e-09
1994,6.857404422078162e-09
1995,1.0302656505700725e-08
1996,4.804283193493575e-09
1997,1.006927874414032e-08
1998,8.582632382569955e-09
1999,6.8553016596695215e-09
2000,1.4579503826439577e-08
2001,1.4019877703219663e-08
2002,1.1829298429688606e-08
2003,4.166922806803086e-09
2004,1.2333415178034102e-08
2005,1.0808999029165989e-08
2006,1.1530091548195287e-08
2007,1.1983438241713884e-08
2008,1.3198063086861112e-08
2009,1.4781396551200032e-08
2010,1.842279218067233e-08
2011,1.5678285336662157e-08
2012,2.3489343803362317e-08
2013,2.4265387921218462e-08
2014,2.5119163638009923e-08
2015,2.1944096317838557e-08
2016,2.5891750965456595e-08
2017,2.1382696502314502e-08
2018,2.6072813241739823e-08
2019,2.3213988953330045e-08
