year,pas_ADV latin_ADJ
1913,2.2802856491921375e-08
1914,1.2054139020278853e-08
1915,3.416420923940677e-08
1916,2.6369908923129515e-08
1917,4.1672411299487067e-08
1918,1.4932290071101306e-08
1919,1.012863304339362e-08
1920,2.0445025228355007e-08
1921,1.5145495524393482e-08
1922,7.377935595798135e-09
1923,2.229349149729387e-08
1924,3.2229060309418855e-08
1925,3.079489729884699e-08
1926,1.2260752413340015e-08
1927,1.4493992672726108e-08
1928,9.14083297942625e-09
1929,2.6736975300423182e-08
1930,2.4158287814657342e-08
1931,2.737285598186645e-08
1932,1.53433514782364e-08
1933,1.605892663292252e-08
1934,2.2765002327673756e-08
1935,3.590485242455088e-09
1936,1.576212937948185e-08
1937,4.280980192561401e-08
1938,1.6854778905894818e-08
1939,2.141167065872196e-08
1940,2.028626333583361e-08
1941,1.4757512545315876e-08
1942,2.730790527039062e-08
1943,1.7419411690866582e-08
1944,1.927911696952833e-08
1945,1.089252066321933e-08
1946,9.744772988540262e-09
1947,9.536696765621855e-09
1948,1.4133454406817236e-08
1949,1.570721330779179e-08
1950,1.4889506516624351e-08
1951,1.1727541604500402e-08
1952,2.8470971358274255e-08
1953,1.0773827163745864e-08
1954,1.4658803948464083e-08
1955,1.6894095011821264e-08
1956,1.4825940475304833e-08
1957,1.3252556385623393e-08
1958,1.3235589513271862e-08
1959,1.4726420971555854e-08
1960,2.2146666722733244e-08
1961,1.945484662257968e-08
1962,5.7077609305622445e-09
1963,1.0345685197421517e-08
1964,1.5818317322668918e-08
1965,1.3680108601477059e-08
1966,1.606331601067268e-08
1967,3.69775179365206e-08
1968,2.1558795637588446e-08
1969,1.589615195030092e-08
1970,1.3336302728816918e-08
1971,1.644287195290417e-08
1972,1.128632298730281e-08
1973,1.4334330167287135e-08
1974,1.1813700240281833e-08
1975,2.1132477101559743e-08
1976,1.8283285996290033e-08
1977,9.402850942308305e-09
1978,2.3762364520507617e-08
1979,1.0533551808578068e-08
1980,1.3075846183596695e-08
1981,1.3283654176632353e-08
1982,1.738100685599875e-08
1983,8.209910973278056e-09
1984,1.4497521405587577e-08
1985,1.5038894574104233e-08
1986,1.1389522214244607e-08
1987,1.2221633483022742e-08
1988,1.3792074149421296e-08
1989,1.5366742545097622e-08
1990,1.198703181159999e-08
1991,1.0550637696837839e-08
1992,1.4876849085965205e-08
1993,1.1078414630105726e-08
1994,1.635227242502424e-08
1995,1.138714633697191e-08
1996,6.939520069693117e-09
1997,1.2466725429760572e-08
1998,7.152193948201102e-09
1999,1.5995704316651427e-08
2000,7.95245647111642e-09
2001,7.0099388516098315e-09
2002,1.927737436346888e-08
2003,1.750107614384433e-08
2004,7.928623979580607e-09
2005,1.261049931144953e-08
2006,2.141302779534726e-08
2007,1.1983438241713884e-08
2008,1.0643598891135753e-08
2009,8.582746957586096e-09
2010,9.447585824773341e-09
2011,1.0324724186716594e-08
2012,8.510632198976964e-09
2013,8.646287241731443e-09
2014,2.9666599843380936e-08
2015,9.97458915463767e-09
2016,1.1806638333666797e-08
2017,8.049956257139002e-09
2018,7.744399788123246e-09
2019,1.4540630033366142e-08
