year,six_DET ans_NOUN
1969,7.3544682663850836e-06
1970,7.620087359327954e-06
1971,7.716331481333327e-06
1972,7.689064261739986e-06
1973,7.4979571991207195e-06
1974,7.482572868866555e-06
1975,7.6202567811378685e-06
1976,7.636699990598572e-06
1977,7.18083981610107e-06
1978,7.406729224612718e-06
1979,7.044020520652339e-06
1980,7.2963225079547556e-06
1981,7.269321571357068e-06
1982,7.458934646820126e-06
1983,7.215879918476276e-06
1984,7.240641991757002e-06
1985,7.67284419112002e-06
1986,7.674140249491757e-06
1987,7.637909988034153e-06
1988,7.595834659923639e-06
1989,8.255782063315564e-06
1990,8.078714387238506e-06
1991,7.856121783333947e-06
1992,7.919993919358603e-06
1993,7.532214397087955e-06
1994,7.59694933094579e-06
1995,7.62396564368828e-06
1996,8.184897012597503e-06
1997,7.957606953823415e-06
1998,8.393814994178683e-06
1999,7.698960786228781e-06
2000,7.680305770918494e-06
2001,7.92561212392684e-06
2002,7.602295653441615e-06
2003,7.675888923586172e-06
2004,7.529990540433573e-06
2005,7.52756716337899e-06
2006,8.04553349098569e-06
2007,8.097608827029035e-06
2008,8.237293855017924e-06
2009,8.09448346217323e-06
2010,8.470233694879425e-06
2011,7.940860314192832e-06
2012,8.63386549099232e-06
2013,8.719083496089297e-06
2014,9.545498869556468e-06
2015,9.12608402359183e-06
2016,8.932861476296239e-06
2017,8.926898260597227e-06
2018,8.934197921917075e-06
2019,9.003711227251188e-06
