year,des_DET livre_NOUN
1998,7.1521940592234046e-09
1999,3.6561609018104235e-09
2000,8.836063103423442e-09
2001,2.628727069353687e-09
2002,3.943099236014547e-09
2003,2.9168460979889232e-09
2004,7.047665923076707e-09
2005,1.8014998381943315e-09
2006,5.765045940631097e-09
2007,3.1955834922658966e-09
2008,2.9802077194940324e-09
2009,3.814554005998616e-09
2010,1.417137907022692e-09
2011,1.147191591721608e-09
2012,2.042551627834399e-09
2013,1.6734750252211938e-09
2014,8.661780875884872e-10
2015,2.2165753954528356e-10
2016,1.657072062899445e-09
2017,3.773417134311785e-09
2018,5.162933414126769e-10
2019,2.040790147983529e-09
