year,divers_DET livres_NOUN
1926,6.241837535725381e-08
1927,6.801027141456473e-08
1928,3.427812511613837e-08
1929,5.681607251339926e-08
1930,4.516549489963495e-08
1931,4.790249974462313e-08
1932,5.6989590491163256e-08
1933,7.455930095545682e-08
1934,5.391711255242626e-08
1935,7.061287643495007e-08
1936,5.092379984361628e-08
1937,5.917825451895453e-08
1938,4.278520893130633e-08
1939,5.8117390011602765e-08
1940,5.57872228412748e-08
1941,4.427253941230447e-08
1942,4.551317678291866e-08
1943,3.193558839598154e-08
1944,5.1410976809052045e-08
1945,6.099811411530709e-08
1946,4.733175629212383e-08
1947,6.198853008676508e-08
1948,5.979538153511044e-08
1949,3.632292921995628e-08
1950,5.3176806291688195e-08
1951,4.797630615005488e-08
1952,5.483297915720442e-08
1953,7.6494173217867e-08
1954,7.23167672411762e-08
1955,4.786660001698806e-08
1956,5.494319088583666e-08
1957,4.152467802942539e-08
1958,4.053399360604004e-08
1959,3.100299084124458e-08
1960,4.706166578660742e-08
1961,4.1688956953223055e-08
1962,3.614915222716064e-08
1963,4.8495398141668034e-08
1964,4.988854085397065e-08
1965,6.29284970798949e-08
1966,6.369936034200663e-08
1967,7.395503298646133e-08
1968,6.153239623385431e-08
1969,6.767219226655463e-08
1970,5.7024190175392064e-08
1971,6.011924957860515e-08
1972,4.258021907288523e-08
1973,4.575959244856875e-08
1974,5.794338875375615e-08
1975,5.483021103813712e-08
1976,4.913633011582874e-08
1977,4.995264435425639e-08
1978,4.5742553633765226e-08
1979,6.027532417629544e-08
1980,4.548120591252314e-08
1981,4.9339287211402905e-08
1982,5.0280767882604493e-08
1983,5.999550412028043e-08
1984,6.146949016461178e-08
1985,4.451512869430019e-08
1986,5.694761218144606e-08
1987,5.316410789379944e-08
1988,6.056519485930778e-08
1989,5.103953459872912e-08
1990,4.3589208520433687e-08
1991,5.333933345008646e-08
1992,6.391535123384529e-08
1993,4.486757915200812e-08
1994,4.800183317499318e-08
1995,4.825981075873287e-08
1996,6.192186630116225e-08
1997,4.4113027564129936e-08
1998,7.152193648440885e-08
1999,6.169771432640303e-08
2000,5.6992607078143465e-08
2001,3.5925938085545894e-08
2002,5.476526793168901e-08
2003,5.792022722550527e-08
2004,4.757174459912861e-08
2005,6.08006198721256e-08
2006,6.670981972378698e-08
2007,5.072988998322536e-08
2008,4.3425883833325685e-08
2009,3.242370882894363e-08
2010,2.8815138275462004e-08
2011,3.671013079631358e-08
2012,2.6553170551224525e-08
2013,2.482321309615898e-08
2014,2.3603351717582655e-08
2015,2.5268959952251535e-08
2016,2.7341688579873846e-08
2017,2.364674617227891e-08
2018,2.1942466066349198e-08
2019,2.678537197597919e-08
