year,procédures_NOUN légales_ADJ
1995,1.3339229248954254e-07
1996,1.2437754959293557e-07
1997,1.2035185237291302e-07
1998,1.0346840118025113e-07
1999,1.147120504418897e-07
2000,1.2326307796683977e-07
2001,1.161021151163677e-07
2002,1.1347363981784042e-07
2003,1.1959068535460915e-07
2004,1.2861990122958744e-07
2005,1.252042323152125e-07
2006,1.400082559888105e-07
2007,1.1264432231428145e-07
2008,1.0260429661457238e-07
2009,9.870158379499117e-08
2010,1.0061679456274675e-07
2011,9.024574154636866e-08
2012,8.612759216930499e-08
2013,1.0877587502955421e-07
2014,7.75229399840871e-08
2015,6.694057930189956e-08
2016,7.871091867173163e-08
2017,7.446209396300141e-08
2018,6.402037533437266e-08
2019,6.300939447978493e-08
