year,compartiments_NOUN égaux_ADJ
2007,1.5977917877663117e-09
2008,2.9802078582719105e-09
2009,1.430457752249481e-09
2010,1.4171379625338432e-09
2011,7.64794394481072e-10
2012,3.4042526575461807e-09
2013,1.9523875849358774e-09
2014,4.330890368553497e-10
2015,2.659890530054554e-09
2016,3.935546111222266e-09
2017,2.515611330355938e-10
2018,1.0325866828253538e-09
2019,1.7856913725466939e-09
