year,tranches_NOUN égales_ADJ
2001,2.2782300490575835e-08
2002,1.3143664823189738e-08
2003,1.9584538435424292e-08
2004,7.928623979580607e-09
2005,9.908249332113428e-09
2006,1.6471560115860484e-08
2007,1.5977917655618512e-08
2008,1.2772319202269955e-08
2009,8.582746957586096e-09
2010,1.4643758206034363e-08
2011,1.1471915861704929e-08
2012,9.872333173177594e-09
2013,1.4224537991935904e-08
2014,1.277612682315521e-08
2015,1.3742767812630063e-08
2016,9.942432654952427e-09
2017,1.0817128526241504e-08
2018,1.058401366549333e-08
2019,1.3265136544760026e-08
