year,trois_DET livres_NOUN
1885,1.6739315613634176e-06
1886,1.5888428173127522e-06
1887,1.363892364159014e-06
1888,1.5293562238838376e-06
1889,1.3250764525629677e-06
1890,1.132597989617068e-06
1891,1.3347616336645274e-06
1892,1.5621132734011667e-06
1893,1.3006575771967732e-06
1894,1.8098020708734452e-06
1895,1.4101613352579534e-06
1896,1.5615333275320609e-06
1897,1.5201895821048694e-06
1898,1.42647129519613e-06
1899,1.5770181072127798e-06
1900,1.3341006839251435e-06
1901,1.4798980370045456e-06
1902,1.09695745331706e-06
1903,1.1799481711705084e-06
1904,1.2818481591736486e-06
1905,1.314445343680859e-06
1906,1.3246275587519563e-06
1907,1.4173676712303518e-06
1908,1.2558421822461696e-06
1909,1.2437723935221356e-06
1910,1.268166917256508e-06
1911,1.239115106965727e-06
1912,1.1450307511040592e-06
1913,1.1762031508766313e-06
1914,1.065451966653086e-06
1915,8.541052363142398e-07
1916,9.657979394006588e-07
1917,7.303638547284663e-07
1918,8.488431912923033e-07
1919,1.2513466245422933e-06
1920,1.0116501645285325e-06
1921,9.481079876749732e-07
1922,9.539670333680306e-07
1923,1.060533159069621e-06
1924,9.74606800596689e-07
1925,1.0602243145640955e-06
1926,8.716280133214127e-07
1927,1.0736703766056621e-06
1928,9.049424725127153e-07
1929,9.58074971357803e-07
1930,9.474250455276945e-07
1931,9.877038911199065e-07
1932,1.209932832146876e-06
1933,1.0197418500723643e-06
1934,1.222121165156409e-06
1935,9.431007930160717e-07
1936,8.256930659200634e-07
1937,9.027831970875866e-07
1938,8.712624284257231e-07
1939,9.604663953055592e-07
1940,9.483828184997378e-07
1941,1.1304254421418136e-06
1942,1.4594559125669093e-06
1943,1.7738767699171376e-06
1944,8.868393734928759e-07
1945,7.84261484199078e-07
1946,9.981431929872997e-07
1947,8.404213789336978e-07
1948,9.371567224469857e-07
1949,7.431475061991932e-07
1950,1.0061052151399963e-06
1951,9.60592274168448e-07
1952,7.149377241333355e-07
1953,8.791443146805022e-07
1954,7.58348821960908e-07
1955,8.043465786755633e-07
1956,7.482739370345826e-07
1957,8.04871934434459e-07
1958,6.783239485663728e-07
1959,6.301357853288891e-07
1960,7.841304121569692e-07
1961,8.886695699317215e-07
1962,8.18112361855583e-07
1963,9.052474636561669e-07
1964,9.004273060497781e-07
1965,9.209449149949478e-07
1966,1.0418999529804296e-06
1967,1.045724175696705e-06
1968,1.0280850766264393e-06
1969,9.24247725464511e-07
1970,1.1551996692560351e-06
1971,9.901691662150824e-07
1972,7.915816766512762e-07
1973,1.0056083539211613e-06
1974,8.708385159650334e-07
1975,7.270714235119158e-07
1976,1.0021526115622237e-06
1977,8.092328336317678e-07
1978,8.726728992769495e-07
1979,9.240266187759971e-07
1980,9.13603719787659e-07
1981,8.672328197789625e-07
1982,8.367713133505816e-07
1983,8.32990203036843e-07
1984,9.562565308485205e-07
1985,7.856318866572565e-07
1986,8.176478254462438e-07
1987,9.263998279607222e-07
1988,8.257254853205609e-07
1989,1.1980570588931982e-06
1990,8.935787749742019e-07
1991,1.0105165975105024e-06
1992,9.410984578295256e-07
1993,9.26709409654336e-07
1994,9.399919127517364e-07
1995,8.551204793150191e-07
1996,9.512480527718026e-07
1997,1.0932359391091495e-06
1998,8.821039223505522e-07
1999,8.747364912409239e-07
2000,9.127653015639225e-07
2001,9.231213429217178e-07
2002,9.87527314588732e-07
2003,9.425579570176978e-07
2004,8.778749140958553e-07
2005,9.55695671933654e-07
2006,1.0130008982756067e-06
2007,9.263198021969288e-07
2008,8.008244147816868e-07
2009,7.233348151558516e-07
2010,5.701617999953612e-07
2011,5.013227351025051e-07
2012,5.184677003278182e-07
2013,4.889336300273328e-07
2014,5.708113781643931e-07
2015,5.924906085752468e-07
2016,5.656829407119091e-07
2017,4.482819253581738e-07
2018,5.258447542955125e-07
2019,5.252483536999364e-07
