year,documents_NOUN légaux_ADJ
1922,2.951174193910333e-09
1923,9.554353752605493e-09
1924,5.156649773851996e-09
1925,2.1996355847875293e-09
1926,6.687683296036084e-09
1927,1.1149224654616319e-08
1928,2.2852082448565625e-09
1929,2.2280812750352652e-09
1930,2.205756755024879e-08
1931,1.2545892325022123e-08
1932,4.383814644626227e-09
1933,1.0323596200123575e-08
1934,1.0783422155213884e-08
1935,1.196828414151696e-08
1936,2.424942913137329e-09
1937,1.7627564963262898e-08
1938,6.482607339819424e-09
1939,1.3764645423464117e-08
1940,1.0143131667916805e-08
1941,8.854508237732261e-09
1942,1.2136847082899749e-08
1943,3.193558839598154e-08
1944,3.855823393905666e-08
1945,3.485606470121638e-08
1946,2.227376683094917e-08
1947,1.3112957830685446e-08
1948,1.195907639583993e-08
1949,1.7670615193310368e-08
1950,1.914365022059883e-08
1951,2.4521224162299404e-08
1952,2.6362009020175492e-08
1953,1.2928592529881655e-08
1954,8.795282724349818e-09
1955,9.385607846468247e-09
1956,1.9186511934776718e-08
1957,7.951533653738352e-09
1958,1.2408365002158916e-08
1959,7.750747599288843e-09
1960,1.1073333361366622e-08
1961,8.33779090214648e-09
1962,1.395230386780355e-08
1963,1.2932106940866106e-08
1964,6.6923653285755336e-09
1965,1.4774516998716791e-08
1966,1.38476865529924e-08
1967,1.627010703941778e-08
1968,9.88111459321317e-09
1969,1.3171097990039016e-08
1970,2.0694262303777577e-08
1971,1.7984391087466634e-08
1972,1.487742551375959e-08
1973,1.6539611680244093e-08
1974,2.1939730143749614e-08
1975,1.3707552426467373e-08
1976,2.1140049655254955e-08
1977,1.2928919990162768e-08
1978,1.4257419245211622e-08
1979,3.160065709106874e-08
1980,1.762396628635088e-08
1981,3.542307780435294e-08
1982,2.4830008826803862e-08
1983,2.0209011353244932e-08
1984,2.8415141017923418e-08
1985,2.7671567481846182e-08
1986,3.2370223002065046e-08
1987,2.383218494772521e-08
1988,2.0987938498251424e-08
1989,1.865961507530045e-08
1990,1.9070278467481216e-08
1991,1.817054240405014e-08
1992,3.140668147771919e-08
1993,2.6588196533339215e-08
1994,3.217705202285259e-08
1995,2.711225349782964e-08
1996,3.0427125041754266e-08
1997,3.116681313031222e-08
1998,2.3840646790063147e-08
1999,3.153438657421681e-08
2000,3.887867827678804e-08
2001,3.1982846593336944e-08
2002,3.285916050366211e-08
2003,3.375207474620723e-08
2004,5.32979735068384e-08
2005,4.2335246641656e-08
2006,2.7178073458422602e-08
2007,3.674920989737984e-08
2008,3.7465470892339425e-08
2009,4.8635564908749984e-08
2010,4.1569378605998963e-08
2011,4.053410138094016e-08
2012,4.799996272675244e-08
2013,4.797295127811907e-08
2014,4.4391625403372714e-08
2015,3.790344056675554e-08
2016,4.2876739270170106e-08
2017,3.723104727293425e-08
2018,4.595010594243831e-08
2019,4.719327451052635e-08
